hold_days,drawdown_min,drawdown_max,vol_shrink_ratio,last_limit_up_days_min,last_limit_up_days_max,limit_up_count_10_max,picks_per_day,valid_folds,total_test_trades,avg_test_win_rate,median_test_win_rate,avg_test_day_win_rate,avg_test_return,avg_test_max_drawdown,avg_test_profit_factor,win_rate_std,score
2,0.04,0.1,0.6,2,4,2,2,4,24,0.53125,0.5208333333333333,0.6208333333333333,0.021975036574130087,-0.025346597011168925,3.8214092729181477,0.23081791464750354,0.6080921857424821
3,0.04,0.08,0.6,2,4,2,3,4,25,0.4952380952380952,0.5333333333333333,0.6708333333333334,0.024693261346675613,-0.017267978574731363,34.343001412510205,0.20832993194502245,0.6079171711552507
2,0.04,0.08,0.6,2,5,1,3,4,39,0.5426470588235294,0.5686274509803921,0.6087301587301587,0.014503720646011806,-0.03193636258644919,3.9677829319548925,0.1492862359307443,0.6075664106070008
3,0.04,0.06,0.7,2,4,1,3,4,36,0.5476190476190477,0.5,0.5642857142857143,0.020522797527517067,-0.017007042401222278,5.331273734724209,0.19121879052629775,0.6065747229884844
2,0.04,0.1,0.6,2,5,1,3,4,41,0.5380952380952381,0.5833333333333333,0.6156746031746032,0.015419443769605672,-0.03448507666204237,4.049365648566906,0.1642339462950527,0.6065041853982553
2,0.04,0.1,0.6,2,5,1,1,4,25,0.5656746031746032,0.5777777777777777,0.5656746031746032,0.01713538900523509,-0.03982545046465591,8.4678967324352,0.215571812949121,0.6062261597780858
4,0.03,0.08,0.7,2,4,1,2,4,40,0.5388933982683982,0.5539772727272727,0.5625,0.021354604359935997,-0.040026776253407614,6.723069386942855,0.1356629325863728,0.6049713066953838
3,0.03,0.08,0.7,2,4,1,3,4,53,0.5459325396825396,0.5347222222222222,0.6625,0.020969825547809937,-0.025891684684374305,2.6813032265745536,0.12863766389871287,0.6044396763664571
2,0.04,0.06,0.6,2,5,1,3,4,33,0.5321428571428571,0.5476190476190476,0.5753968253968254,0.02127860037439834,-0.03022960967697924,9.239158127901394,0.15534231821259908,0.6040230326246833
3,0.03,0.06,0.7,2,4,2,1,4,29,0.5892857142857142,0.5142857142857142,0.5892857142857142,0.009941863374569074,-0.1310942285526756,6.143778762748777,0.19255929381012246,0.6038298994040662
4,0.03,0.06,0.6,2,4,1,3,3,22,0.47222222222222215,0.3333333333333333,0.7333333333333334,0.01849606820736094,-0.020905275528847873,12.463075621554344,0.19641855032959654,0.6031398314256703
3,0.04,0.1,0.55,2,4,1,2,3,11,0.5333333333333333,0.6,0.5833333333333334,0.01457209764147293,0.0,3.8966686607110534,0.14401645996461912,0.6026318670392647
3,0.04,0.08,0.7,2,4,2,2,4,38,0.5075757575757576,0.5,0.6339285714285714,0.020418236258834696,-0.06706919574950074,5.265807957292381,0.12859165086496208,0.6013610531462696
3,0.02,0.06,0.7,2,4,1,1,4,28,0.55625,0.6125,0.55625,0.02452516297227506,-0.10498567723785554,3.7462063435654676,0.21964104238506973,0.6008231309073817
2,0.02,0.08,0.6,2,4,1,2,4,27,0.5053030303030303,0.4772727272727273,0.6499999999999999,0.014025580334526229,-0.01753895245542586,2.9578224316504,0.0996636906785486,0.600765085020892
4,0.04,0.06,0.7,2,4,1,1,3,16,0.5261904761904762,0.42857142857142855,0.5261904761904762,0.031667850660938475,-0.05488166058978172,4.223169565715465,0.1586865019328727,0.600744510891532
2,0.03,0.06,0.6,2,4,1,3,3,22,0.6666666666666666,0.5555555555555556,0.7999999999999999,0.02304146154199811,-0.00880722497339744,1.659533873979329,0.24002743327436518,0.6001534021099871
2,0.04,0.08,0.6,2,5,2,1,4,28,0.5464285714285714,0.4642857142857143,0.5464285714285714,0.021219093862805745,-0.054120628627459144,7.3083330379176505,0.1830509575534214,0.5995029320243694
3,0.03,0.1,0.7,2,4,1,1,4,25,0.5375,0.55,0.5375,0.02799175633107706,-0.06466197493526571,3.538364452203357,0.19803724397193576,0.5993626910873057
3,0.03,0.08,0.7,2,4,1,1,4,25,0.5375,0.55,0.5375,0.02692724208257046,-0.06466197493526571,3.5369512703354964,0.19803724397193576,0.5980852739890977
2,0.04,0.06,0.55,2,5,1,1,2,8,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.007684151427456246,-0.013179948815075226,2.262050675184553,0.033333333333333326,0.5976034418699027
2,0.04,0.08,0.55,2,5,1,1,2,8,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.007684151427456246,-0.013179948815075226,2.262050675184553,0.033333333333333326,0.5976034418699027
4,0.03,0.1,0.7,2,4,1,2,4,41,0.5269886363636364,0.5539772727272727,0.5625,0.019918971371972048,-0.04002677625340759,6.692112619172664,0.15402561022869096,0.5964223900412987
4,0.03,0.1,0.6,2,4,1,2,4,22,0.46130952380952384,0.4642857142857143,0.6666666666666666,0.02414883317459557,-0.018078693866100504,4.327052727142615,0.14949248041517094,0.595772377159988
3,0.04,0.06,0.7,2,4,2,1,4,22,0.5380952380952381,0.5476190476190476,0.5380952380952381,0.024422902559512846,-0.03575172422692158,39.06056434993464,0.2472983270971197,0.5949953147583199
