hold_days,drawdown_min,drawdown_max,vol_shrink_ratio,days_min,days_max,limit_up_count_10_min,limit_up_count_10_max,picks_per_day,total_trades,total_signal_days,win_rate,day_win_rate,annual_return,sharpe_ratio,max_drawdown,total_return,avg_return,profit_factor,score
2,0.02,0.1,0.85,1,6,1,2,1,73,73,0.5205479452054794,0.5205479452054794,37.58495517238898,4.114757761814192,-0.5789115761984729,4.144817528206114,0.02806589381485743,2.064347541586606,0.6818713073796691
2,0.02,0.08,0.8,2,6,1,2,1,71,71,0.5211267605633803,0.5211267605633803,37.592366878157115,4.096221133135029,-0.5789115761984728,4.07121169008215,0.02887065293197132,2.0518933593022544,0.6815315100212692
2,0.02,0.1,0.7000000000000001,2,6,1,1,2,128,71,0.546875,0.5633802816901409,10.084770348744694,3.7890068867073525,-0.40021212801437334,1.9128825762374775,0.020606165708904778,1.862835742353002,0.6809560673477755
2,0.02,0.08,0.8,1,6,1,1,1,73,73,0.5342465753424658,0.5342465753424658,30.23069144220717,4.048733223075634,-0.5823632791596853,3.6793913514014553,0.02630946845238296,2.012441748265054,0.6802728841670009
2,0.02,0.08,0.85,2,6,1,2,1,71,71,0.5211267605633803,0.5211267605633803,35.04802826536728,4.062840128861771,-0.5789115761984729,3.9197987742755176,0.02831356631635804,2.033022618544303,0.6775171706235503
3,0.01,0.08,0.7000000000000001,1,6,1,2,3,171,72,0.49122807017543857,0.5833333333333334,30.283633214271948,4.410524886748247,-0.39381460748885944,3.619398358760619,0.020501766358213165,1.6200786479604676,0.6759519942164152
2,0.02,0.08,0.7000000000000001,2,6,1,2,2,122,71,0.5,0.5774647887323944,32.2197682159654,4.318741104889513,-0.49044361405051884,3.7443450343946685,0.022329413130445924,1.7620541943011852,0.6759084739812758
2,0.02,0.08,0.7000000000000001,2,6,1,1,3,159,71,0.5157232704402516,0.5774647887323944,9.25037619840973,3.796027340036438,-0.40500149850585765,1.813310654619999,0.02002311874216212,1.9063832891046992,0.6744020337819374
3,0.01,0.08,0.8,1,6,1,2,2,127,72,0.4881889763779528,0.5555555555555556,40.87422260949482,4.360072754688292,-0.43086964765219005,4.258540529690052,0.02380332291194988,1.7162362592302083,0.6734676445625634
2,0.02,0.08,0.7000000000000001,1,6,1,1,2,128,73,0.5234375,0.5616438356164384,11.46866977839129,3.7892085609932855,-0.41571909900393733,2.1001282340684613,0.02107313281729034,1.9040555589147807,0.6732942390124194
3,0.02,0.08,0.8,1,6,1,2,1,72,72,0.5277777777777778,0.5277777777777778,33.96630766397039,3.849521284292702,-0.5020107123885771,3.85362888435582,0.02857665845556511,1.9288221628766131,0.6724610949970382
3,0.01,0.08,0.7000000000000001,1,6,1,1,1,72,72,0.5,0.5,22.929603971408152,3.8423498551399975,-0.34928592178142925,3.1007210465275987,0.024438545532422366,1.9970092733622256,0.6716217423108399
2,0.01,0.08,0.85,2,6,1,2,3,160,71,0.46875,0.6197183098591549,21.54434726204624,4.3362573104895725,-0.3734833158841583,2.9934667568050877,0.01779002255735849,1.6268109249789313,0.6712543529175207
3,0.01,0.08,0.8,1,6,1,1,3,162,72,0.49382716049382713,0.5277777777777778,20.475955474643683,4.280922770991951,-0.40818542653384615,2.908218953814926,0.021750579908654796,1.7771550206333777,0.6693374675211637
3,0.02,0.1,0.7000000000000001,2,6,1,2,3,154,70,0.5194805194805194,0.5714285714285714,18.88879019335115,3.8070546678289743,-0.35675012581700294,2.7325537133368973,0.0236238623947412,1.6957718706562277,0.669289612187369
2,0.01,0.08,0.7000000000000001,2,7,1,2,1,71,71,0.5211267605633803,0.5211267605633803,19.02896779513717,3.690273354812402,-0.3912028118754267,2.788915495000127,0.023738156530824096,1.9607174193480117,0.6687663530258431
2,0.02,0.1,0.8,2,6,1,1,2,123,71,0.5365853658536586,0.5633802816901409,10.25082828123065,3.681930730202707,-0.4616871536181216,1.9321967592873848,0.021457224575526904,1.893703018274206,0.6678553731651863
3,0.02,0.1,0.8,2,6,1,2,3,150,70,0.49333333333333335,0.5428571428571428,24.968198048731153,4.092238786818377,-0.30290683618595526,3.197859918371263,0.02268260715235033,1.6499688696057513,0.6673321583432088
