date,symbol,buy_price,sell_price_t2,sell_price_t3,sell_price_t4,sell_price_t5,return_t2,return_t3,return_t4,return_t5
20250924,600635,5.97,5.15,5.67,5.87,6.46,-0.1373534338358458,-0.05025125628140701,-0.01675041876046895,0.0820770519262982
20250924,600103,3.83,3.66,3.8,3.68,3.65,-0.044386422976501284,-0.007832898172323825,-0.03916449086161877,-0.0469973890339426
20250925,601727,9.76,9.26,9.44,10.38,10.46,-0.05122950819672131,-0.03278688524590167,0.06352459016393452,0.07172131147540994
20250925,600157,1.61,1.62,1.63,1.7,1.72,0.006211180124223607,0.012422360248447077,0.055900621118012334,0.06832298136645955
20250925,600170,3.05,2.99,2.95,3.09,3.02,-0.019672131147540857,-0.03278688524590152,0.013114754098360668,-0.009836065573770428
20250925,600103,3.92,3.8,3.68,3.65,3.53,-0.03061224489795921,-0.06122448979591831,-0.06887755102040817,-0.09948979591836737
20250925,600010,2.31,2.34,2.38,2.58,2.54,0.012987012987012903,0.030303030303030234,0.1168831168831169,0.09956709956709955
20250926,601727,9.4,9.44,10.38,10.46,10.77,0.004255319148936079,0.10425531914893621,0.11276595744680856,0.14574468085106373
20250926,600157,1.6,1.63,1.7,1.72,1.74,0.018749999999999878,0.06249999999999992,0.07499999999999993,0.08749999999999994
20250926,600170,2.96,2.95,3.09,3.02,2.96,-0.0033783783783783066,0.04391891891891889,0.02027027027027029,0.0
20250926,600010,2.28,2.38,2.58,2.54,2.79,0.043859649122807064,0.13157894736842118,0.11403508771929835,0.2236842105263159
20250926,600103,3.58,3.68,3.65,3.53,3.47,0.02793296089385477,0.01955307262569828,-0.013966480446927448,-0.030726256983240188
20250929,600157,1.62,1.7,1.72,1.74,1.7,0.049382716049382616,0.06172839506172831,0.074074074074074,0.049382716049382616
20250929,600010,2.34,2.58,2.54,2.79,2.91,0.10256410256410266,0.08547008547008556,0.1923076923076924,0.24358974358974372
20250929,600170,2.97,3.09,3.02,2.96,2.96,0.04040404040404029,0.016835016835016776,-0.0033670033670034445,-0.0033670033670034445
20250929,601727,9.31,10.38,10.46,10.77,10.14,0.11493018259935556,0.1235230934479055,0.1568206229860364,0.0891514500537057
20250929,600030,30.28,29.65,29.68,29.2,29.03,-0.020805812417437335,-0.019815059445178383,-0.035667107001321065,-0.04128137384412153
20250930,600010,2.46,2.54,2.79,2.91,2.77,0.032520325203252064,0.13414634146341467,0.18292682926829276,0.12601626016260165
20250930,600157,1.65,1.72,1.74,1.7,1.69,0.04242424242424246,0.0545454545454546,0.03030303030303033,0.024242424242424267
20250930,600170,2.98,3.02,2.96,2.96,2.98,0.01342281879194632,-0.00671140939597316,-0.00671140939597316,0.0
20250930,601727,9.81,10.46,10.77,10.14,10.01,0.06625891946992868,0.09785932721712529,0.033639143730886854,0.02038735983690105
20250930,603077,2.1,2.25,2.24,2.25,2.27,0.07142857142857138,0.06666666666666672,0.07142857142857138,0.08095238095238091
20251009,600010,2.56,2.79,2.91,2.77,2.73,0.08984374999999999,0.13671875000000003,0.08203124999999999,0.06640624999999997
20251009,600157,1.69,1.74,1.7,1.69,1.66,0.029585798816568074,0.0059171597633136145,0.0,-0.017751479289940846
20251009,601618,4.01,4.0,3.94,3.94,3.82,-0.0024937655860348597,-0.01745635910224435,-0.01745635910224435,-0.04738154613466333
20251009,600170,3.05,2.96,2.96,2.98,2.91,-0.02950819672131143,-0.02950819672131143,-0.022950819672131098,-0.045901639344262196
20251009,603077,2.32,2.24,2.25,2.27,2.19,-0.034482758620689495,-0.03017241379310338,-0.02155172413793096,-0.05603448275862065
20251010,600157,1.67,1.7,1.69,1.66,1.63,0.017964071856287442,0.011976047904191628,-0.005988023952095814,-0.023952095808383256
20251010,600010,2.79,2.91,2.77,2.73,2.71,0.04301075268817208,-0.007168458781362013,-0.02150537634408604,-0.028673835125448053
20251010,601727,9.9,10.14,10.01,9.64,9.13,0.024242424242424263,0.011111111111111053,-0.02626262626262624,-0.07777777777777774
20251010,600016,3.93,4.02,4.03,4.06,4.01,0.022900763358778477,0.025445292620865163,0.03307888040712454,0.020356234096692016
20251010,601818,3.33,3.42,3.44,3.47,3.43,0.027027027027026983,0.033033033033032996,0.04204204204204208,0.030030030030030058
20251013,600010,2.93,2.77,2.73,2.71,2.66,-0.05460750853242325,-0.06825938566552907,-0.07508532423208197,-0.09215017064846416
20251013,600157,1.75,1.69,1.66,1.63,1.67,-0.034285714285714315,-0.051428571428571476,-0.06857142857142863,-0.045714285714285756
20251013,601727,11.01,10.01,9.64,9.13,9.16,-0.09082652134423251,-0.12443233424159848,-0.17075386012715704,-0.16802906448683014
20251013,601288,6.88,7.27,7.49,7.62,7.75,0.05668604651162786,0.08866279069767447,0.10755813953488376,0.12645348837209305
