trade_date,universe_n,after_filter_n,score_gate_n,breakout_pass_n,momentum_pass_n,quality_pass_n,trigger_pass_n,signal_ready_n,score_total_median,score_total_p75,score_total_p90,profile,after_filter_n_rate,score_gate_n_rate,breakout_pass_n_rate,momentum_pass_n_rate,quality_pass_n_rate,trigger_pass_n_rate,signal_ready_n_rate
20260213,24,13,13,5,12,4,7,7,79.51282063441465,89.06255583551015,95.36764711938153,neutral,0.5416666666666666,0.5416666666666666,0.20833333333333334,0.5,0.16666666666666666,0.2916666666666667,0.2916666666666667
20260224,97,25,25,8,25,18,20,20,0.0,70.04826079317687,88.20628331900035,neutral,0.25773195876288657,0.25773195876288657,0.08247422680412371,0.25773195876288657,0.18556701030927836,0.20618556701030927,0.20618556701030927
20260225,112,29,28,16,27,14,26,26,0.0,53.2153703385566,87.22561731404646,neutral,0.25892857142857145,0.25,0.14285714285714285,0.24107142857142858,0.125,0.23214285714285715,0.23214285714285715
20260226,114,28,27,13,26,14,19,19,0.0,0.0,83.00701596881281,neutral,0.24561403508771928,0.23684210526315788,0.11403508771929824,0.22807017543859648,0.12280701754385964,0.16666666666666666,0.16666666666666666
20260227,109,26,26,14,26,17,21,21,0.0,0.0,86.04984388037512,neutral,0.23853211009174313,0.23853211009174313,0.12844036697247707,0.23853211009174313,0.1559633027522936,0.1926605504587156,0.1926605504587156
20260302,91,25,24,13,24,10,16,15,0.0,59.3432621695338,85.32855709844321,neutral,0.27472527472527475,0.26373626373626374,0.14285714285714285,0.26373626373626374,0.10989010989010989,0.17582417582417584,0.16483516483516483
20260303,41,15,15,15,15,6,14,14,0.0,69.85542725760938,86.0471032438808,neutral,0.36585365853658536,0.36585365853658536,0.36585365853658536,0.36585365853658536,0.14634146341463414,0.34146341463414637,0.34146341463414637
20260304,28,11,11,6,11,7,10,10,0.0,84.87735928080907,90.59390140139026,neutral,0.39285714285714285,0.39285714285714285,0.21428571428571427,0.39285714285714285,0.25,0.35714285714285715,0.35714285714285715
20260305,33,14,14,7,14,7,11,11,0.0,81.09015960446605,94.84567485729096,neutral,0.42424242424242425,0.42424242424242425,0.21212121212121213,0.42424242424242425,0.21212121212121213,0.3333333333333333,0.3333333333333333
20260306,74,16,16,8,16,13,14,14,0.0,0.0,85.20353647339356,neutral,0.21621621621621623,0.21621621621621623,0.10810810810810811,0.21621621621621623,0.17567567567567569,0.1891891891891892,0.1891891891891892
20260309,37,12,11,11,12,8,11,11,0.0,85.42385560097195,93.3152917475359,neutral,0.32432432432432434,0.2972972972972973,0.2972972972972973,0.32432432432432434,0.21621621621621623,0.2972972972972973,0.2972972972972973
20260310,58,15,15,9,15,6,11,11,0.0,50.400189457697664,90.6955999993344,neutral,0.25862068965517243,0.25862068965517243,0.15517241379310345,0.25862068965517243,0.10344827586206896,0.1896551724137931,0.1896551724137931
