ts_code,trade_date,name,industry,label_true_breakout,path_source,score_total,rank_global_after_merge,rank_bucket,buy_date,buy_open_t1,close_t1,close_t2,close_t3,ret_t1,ret_t2,ret_t3,win_t1,win_t2,win_t3
000783.SZ,20260106,长江证券,证券,C,B,0.8283568028879618,2,top2,20260107,8.85,8.75,8.46,8.64,-0.011299435028248594,-0.04406779661016935,-0.023728813559321882,False,False,False
002501.SZ,20260106,利源股份,铝,G,A,0.8634988892415107,1,top1,20260107,2.85,2.76,2.79,2.7,-0.03157894736842115,-0.021052631578947434,-0.05263157894736836,False,False,False
002339.SZ,20260107,积成电子,电气设备,G,A,0.8519002030093747,1,top1,20260108,9.7,9.61,9.65,9.81,-0.009278350515463885,-0.005154639175257603,0.011340206185567192,False,False,True
601156.SH,20260107,东航物流,仓储物流,C,B,0.7583761399511423,2,top2,20260108,18.55,18.29,18.13,18.02,-0.014016172506738589,-0.02264150943396237,-0.02857142857142858,False,False,False
605222.SH,20260107,起帆电缆,电气设备,A,B,0.7563977069050007,3,top3,20260108,19.29,19.45,19.67,19.77,0.00829445308449972,0.01969932607568703,0.02488335925349916,True,True,True
001379.SZ,20260108,腾达科技,机械基件,C,B,0.7783207451056983,3,top3,20260109,25.12,24.9,25.36,24.38,-0.008757961783439572,0.009554140127388422,-0.029458598726114782,False,True,False
600498.SH,20260108,烽火通信,通信设备,A,A,0.880850523643288,1,top1,20260109,38.5,38.93,42.82,44.32,0.011168831168831161,0.1122077922077922,0.15116883116883129,True,True,True
603901.SH,20260108,永创智能,专用机械,G,B,0.79007811866627,2,top2,20260109,14.62,14.97,15.11,15.21,0.02393980848153232,0.03351573187414503,0.04035567715458277,True,True,True
001216.SZ,20260109,华瓷股份,家居用品,A,B,0.7794402165823291,3,top3,20260112,17.9,17.95,18.43,19.89,0.0027932960893854997,0.02960893854748603,0.11117318435754209,True,True,True
600345.SH,20260109,长江通信,通信设备,C,A,0.8798746429704857,1,top1,20260112,41.68,41.98,37.78,39.35,0.007197696737044179,-0.09357005758157388,-0.05590211132437617,True,False,False
600367.SH,20260109,红星发展,化工原料,A,B,0.7887214893318761,2,top2,20260112,18.66,18.19,18.95,19.9,-0.02518756698821001,0.015541264737406246,0.06645230439442651,False,True,True
000959.SZ,20260112,首钢股份,普钢,G,B,0.7743037411711091,3,top3,20260113,5.19,5.18,5.23,5.18,-0.0019267822736032114,0.007707129094412402,-0.0019267822736032114,False,True,False
000977.SZ,20260112,浪潮信息,IT设备,C,B,0.8207370502636853,2,top2,20260113,71.12,67.66,69.55,68.13,-0.04865016872890904,-0.022075365579302675,-0.04204161979752541,False,False,False
600215.SH,20260112,派斯林,专用机械,C,A,0.8358940950970465,1,top1,20260113,8.32,7.95,7.85,7.6,-0.044471153846153855,-0.05649038461538469,-0.08653846153846156,False,False,False
000739.SZ,20260113,普洛药业,化学制药,G,B,0.7888720705208444,2,top2,20260114,17.5,17.55,18.13,17.64,0.0028571428571428914,0.03600000000000003,0.008000000000000007,True,True,True
603138.SH,20260113,海量数据,软件服务,G,A,0.8108285276027264,1,top1,20260114,16.93,17.16,16.93,16.52,0.013585351447135352,0.0,-0.02421736562315413,True,False,False
603190.SH,20260113,亚通精工,汽车配件,G,B,0.7301144851077845,3,top3,20260114,28.2,28.18,28.27,27.78,-0.0007092198581559739,0.0024822695035460196,-0.014893617021276562,False,True,False
000657.SZ,20260114,中钨高新,小金属,A,A,0.8377768962234212,1,top1,20260115,34.61,36.73,37.5,40.26,0.061253972840219495,0.08350187806992193,0.16324761629586826,True,True,True
000978.SZ,20260114,桂林旅游,旅游景点,C,B,0.7196885953352916,2,top2,20260115,7.35,7.31,7.19,7.42,-0.0054421768707483276,-0.021768707482993088,0.00952380952380949,False,False,True
000960.SZ,20260115,锡业股份,小金属,C,A,0.8690923516344019,1,top1,20260116,39.99,38.62,37.51,38.12,-0.034258564641160394,-0.0620155038759691,-0.046761690422605806,False,False,False
601113.SH,20260115,华鼎股份,化纤,G,B,0.6921748867969139,3,top3,20260116,4.77,4.76,5.01,4.82,-0.002096436058700135,0.05031446540880502,0.01048218029350112,False,True,True
601156.SH,20260115,东航物流,仓储物流,G,B,0.7293691593065003,2,top2,20260116,18.9,18.42,19.03,19.4,-0.025396825396825196,0.006878306878306928,0.02645502645502651,False,True,True
000680.SZ,20260116,山推股份,工程机械,G,B,0.7091428686921545,2,top2,20260119,12.38,12.45,12.85,12.53,0.005654281098545821,0.03796445880452337,0.012116316639741331,True,True,True
600348.SH,20260116,华阳股份,煤炭开采,A,B,0.705673346389769,3,top3,20260119,9.16,9.28,9.1,8.97,0.013100436681222627,-0.0065502183406114245,-0.020742358078602585,True,False,False
603090.SH,20260116,宏盛股份,专用机械,A,A,0.8830799746112346,1,top1,20260119,78.74,82.18,82.49,90.74,0.04368808737617491,0.04762509525019043,0.1524003048006095,True,True,True
000823.SZ,20260119,超声电子,元器件,G,B,0.7609498953443183,2,top2,20260120,14.66,14.34,14.59,15.24,-0.021828103683492528,-0.004774897680764001,0.0395634379263301,False,False,True
002182.SZ,20260119,宝武镁业,小金属,A,A,0.8688543319581087,1,top1,20260120,18.41,18.67,19.27,18.76,0.014122759369907811,0.04671374253123295,0.019011406844106515,True,True,True
605376.SH,20260119,博迁新材,小金属,A,B,0.7376127868778561,3,top3,20260120,73.71,73.99,73.99,77.74,0.003798670465337217,0.003798670465337217,0.05467372134038806,True,True,True
600577.SH,20260120,精达股份,电气设备,C,A,0.8520184068549668,1,top1,20260121,15.32,15.35,15.65,15.49,0.001958224543080922,0.021540469973890364,0.011096605744125299,True,True,True
601677.SH,20260120,明泰铝业,铝,G,B,0.7802224636942953,2,top2,20260121,17.02,16.29,16.21,16.62,-0.04289071680376033,-0.04759106933019974,-0.023501762632197387,False,False,False
605366.SH,20260120,宏柏新材,化工原料,C,B,0.7284706122640668,3,top3,20260121,7.1,6.96,6.93,7.0,-0.019718309859154903,-0.023943661971830954,-0.014084507042253502,False,False,False
000059.SZ,20260121,华锦股份,石油加工,A,B,0.7776197085036116,2,top2,20260122,5.58,5.71,6.08,6.09,0.023297491039426577,0.08960573476702516,0.09139784946236551,True,True,True
603097.SH,20260121,江苏华辰,电气设备,G,A,0.8848809901618534,1,top1,20260122,35.27,35.9,35.2,34.18,0.017862205840657674,-0.0019846895378509144,-0.030904451375106445,True,False,False
603798.SH,20260121,康普顿,石油加工,C,B,0.7707884336349606,3,top3,20260122,18.2,18.1,18.51,16.66,-0.005494505494505364,0.017032967032967194,-0.08461538461538454,False,True,False
000933.SZ,20260122,神火股份,铝,A,B,0.6986625035284237,3,top3,20260123,31.61,31.93,33.35,32.75,0.010123378677633577,0.05504587155963314,0.036064536539069936,True,True,True
600888.SH,20260122,新疆众和,铝,A,B,0.7212073087830564,2,top2,20260123,8.97,9.16,9.22,9.12,0.021181716833890585,0.027870680044593144,0.01672240802675562,True,True,True
603186.SH,20260122,华正新材,元器件,C,A,0.8882211996191686,1,top1,20260123,71.32,69.2,66.49,71.07,-0.029725182277061002,-0.06772293886707792,-0.00350532809871007,False,False,False
000155.SZ,20260123,川能动力,新型电力,C,B,0.7374225546124443,3,top3,20260126,14.08,13.73,13.55,13.67,-0.024857954545454475,-0.037642045454545414,-0.029119318181818232,False,False,False
000880.SZ,20260123,潍柴重机,专用机械,C,A,0.8901015550618852,1,top1,20260126,38.99,36.96,36.6,35.22,-0.05206463195691202,-0.06129776865863046,-0.09669145934855095,False,False,False
601388.SH,20260123,怡球资源,铝,A,B,0.7564956548866889,2,top2,20260126,3.66,3.72,3.61,3.97,0.016393442622950838,-0.013661202185792476,0.08469945355191255,True,False,True
000923.SZ,20260126,河钢资源,普钢,C,B,0.7218106304462492,2,top2,20260127,25.72,25.08,25.82,26.42,-0.02488335925349927,0.0038880248833592645,0.027216174183514852,False,True,True
600487.SH,20260126,亨通光电,通信设备,A,B,0.6499347127831022,3,top3,20260127,30.7,31.86,33.62,31.83,0.03778501628664488,0.09511400651465785,0.03680781758957652,True,True,True
600961.SH,20260126,株冶集团,铅锌,C,A,0.8493446524912727,1,top1,20260127,23.0,22.87,25.16,25.48,-0.005652173913043401,0.0939130434782609,0.10782608695652174,False,True,True
000852.SZ,20260127,石化机械,化工机械,G,B,0.7452067134527497,3,top3,20260128,8.21,8.3,8.22,8.1,0.010962241169305775,0.0012180267965895553,-0.013398294762484886,True,True,False
603124.SH,20260127,江南新材,铜,C,B,0.7691026629360848,2,top2,20260128,96.09,97.16,98.97,99.08,0.011135393901550605,0.02997190134249128,0.03111666146321146,True,True,True
605288.SH,20260127,凯迪股份,电气设备,C,A,0.8831513805141227,1,top1,20260128,131.0,134.36,120.92,129.0,0.025648854961832113,-0.07694656488549612,-0.01526717557251911,True,False,False
000426.SZ,20260128,兴业银锡,铅锌,C,A,0.8621342430974295,1,top1,20260129,71.5,68.36,61.52,55.37,-0.043916083916083926,-0.13958041958041956,-0.22559440559440558,False,False,False
000825.SZ,20260128,太钢不锈,特种钢,C,B,0.7120980363260223,3,top3,20260129,5.53,5.44,5.23,4.82,-0.016274864376130127,-0.054249547920434016,-0.12839059674502706,False,False,False
600201.SH,20260128,生物股份,农业综合,C,B,0.7452394021121711,2,top2,20260129,18.66,18.37,18.05,16.28,-0.015541264737406135,-0.03269024651661301,-0.127545551982851,False,False,False
601168.SH,20260129,西部矿业,铜,C,A,0.8296445572834023,1,top1,20260130,37.0,35.6,32.04,33.1,-0.037837837837837784,-0.13405405405405413,-0.10540540540540533,False,False,False
603162.SH,20260129,海通发展,水运,G,B,0.7771372131073727,2,top2,20260130,14.36,15.36,14.52,14.55,0.0696378830083566,0.011142061281337101,0.013231197771587766,True,True,True
603995.SH,20260129,甬金股份,特种钢,C,B,0.6925865242635986,3,top3,20260130,19.28,19.26,18.42,18.73,-0.0010373443983402453,-0.04460580912863066,-0.028526970954356856,False,False,False
001210.SZ,20260130,金房能源,供气供热,G,B,0.8020058603240939,2,top2,20260202,23.9,23.53,23.22,23.93,-0.015481171548117012,-0.028451882845188292,0.001255230125523088,False,False,True
001226.SZ,20260130,拓山重工,工程机械,G,B,0.7590046985434039,3,top3,20260202,51.8,51.53,52.97,52.16,-0.005212355212355191,0.02258687258687253,0.006949806949806847,False,True,True
603926.SH,20260130,铁流股份,汽车配件,G,A,0.887221516978737,1,top1,20260202,26.35,25.75,25.97,26.9,-0.022770398481973486,-0.014421252371916604,0.020872865275142205,False,False,True
002830.SZ,20260202,名雕股份,装修装饰,A,A,0.7538511583624247,2,top2,20260203,24.88,28.14,30.95,27.86,0.1310289389067525,0.2439710610932475,0.11977491961414799,True,True,True
600316.SH,20260202,洪都航空,航空,A,B,0.7092918967387614,3,top3,20260203,42.39,42.64,44.96,45.9,0.005897617362585539,0.060627506487379135,0.08280254777070062,True,True,True
603291.SH,20260202,联合水务,水务,C,B,0.8469136915575055,1,top1,20260203,12.78,12.71,11.44,11.44,-0.00547730829420956,-0.10485133020344284,-0.10485133020344284,False,False,False
002487.SZ,20260203,大金重工,电气设备,C,A,0.8507179945394004,1,top1,20260204,63.13,63.42,62.53,61.2,0.00459369554886746,-0.009504197687311922,-0.03057183589418655,True,False,False
601872.SH,20260203,招商轮船,水运,A,B,0.760028132955978,3,top3,20260204,11.7,12.0,11.65,11.36,0.025641025641025772,-0.004273504273504147,-0.029059829059829068,True,False,False
603031.SH,20260203,安孚科技,电气设备,G,B,0.823548210631194,2,top2,20260204,56.95,59.9,54.88,54.0,0.05179982440737474,-0.03634767339771727,-0.05179982440737496,True,False,False
600683.SH,20260204,京投发展,区域地产,A,A,0.8932354807997461,1,top1,20260205,6.0,6.6,6.05,6.66,0.09999999999999987,0.008333333333333304,0.1100000000000001,True,True,True
