trade_date,stock_code,stock_name,ts_code,label_class,label_A_high,label_A_mid,label_A_low,label_C,label_G,path_source,in_C2A,in_ech2_s2,in_mainline_current,mainline_channel,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,ret_t1_close,ret_t2_close,ret_t3_close
20260130,002150.SZ,正泰电源,002150.SZ,A,0,1,0,0,0,,False,False,False,none,,0.1596380846325167,0.4690254718511708,0.7213695019845716,0.760089686098655,0.8763302752293578,,0.002870028700286964,0.03608036080360799,0.03403034030340302
20260130,002207.SZ,准油股份,002207.SZ,C,0,0,0,1,0,,False,False,False,none,,0.1880456570155902,0.35084635768752365,0.6594551097806055,0.7257683215130025,0.9827522935779817,,0.0,-0.058941058941058944,-0.0009990009990009652
20260130,002321.SZ,华英农业,002321.SZ,C,0,0,0,1,0,,False,False,False,none,,0.4864643652561247,0.4463860797144557,0.5077236161253076,0.6666666666666674,0.6653211009174312,,-0.05284552845528456,-0.008130081300813052,-0.012195121951219412
20260130,002350.SZ,北京科锐,002350.SZ,A,0,1,0,0,0,,False,False,False,none,,0.5777227171492204,0.5499770158455465,0.7077434991580637,0.46601941747572845,0.8113761467889908,,0.01772679874869665,0.03649635036496357,0.05318039624608972
20260130,002562.SZ,兄弟科技,002562.SZ,G,0,0,0,0,1,,False,False,False,none,,0.5378285077951002,0.32291384998107187,0.9542106309352901,0.5656565656565661,0.815045871559633,,-0.013642564802182733,0.03547066848567537,0.027285129604365688
20260130,002768.SZ,国恩股份,002768.SZ,C,0,0,0,1,0,,False,False,False,none,,0.4831236080178174,0.40124249634957543,0.8798094791244234,0.5522514868309263,0.7365137614678899,,-0.039752194114610284,-0.040612631216658035,-0.05042161418000346
20260130,002782.SZ,可立克,002782.SZ,C,0,0,0,1,0,A,False,False,False,none,0.8679051971229248,0.30381959910913137,0.620585690335839,0.9156929291601839,0.6321112515802781,0.9438532110091743,2.0,-0.05336617405582922,-0.05049261083743839,-0.059113300492610765
20260130,002919.SZ,名臣健康,002919.SZ,G,0,0,0,0,1,,False,False,False,none,,0.43957683741648107,0.39447569087664275,0.7691350035480118,0.5560821484992102,0.68,,0.010865191146881337,0.011267605633802802,0.051911468812877226
20260130,002983.SZ,芯瑞达,002983.SZ,A,0,1,0,0,0,,False,False,False,none,,0.4142538975501113,0.620585690335839,0.9702138134371682,0.682119205298013,0.6385321100917432,,-0.003658536585365857,0.06829268292682933,0.05853658536585349
20260130,600097.SH,开创国际,600097.SH,C,0,0,0,1,0,,False,False,False,none,,0.5056681514476614,0.31092152939267753,0.780235984551056,0.623076923076924,0.6506422018348624,,-0.023026315789473673,-0.01891447368421051,0.008223684210526327
20260130,600113.SH,浙江东日,600113.SH,C,0,0,0,1,0,,False,False,False,none,,0.6119933184855233,0.32640203342166463,0.7842699283256717,0.4688346883468836,0.23486238532110093,,-0.04370179948586117,-0.03293701799485871,-0.046433161953727486
20260130,600216.SH,浙江医药,600216.SH,G,0,0,0,0,1,,False,False,False,none,,0.3916815144766147,0.32291384998107187,0.6582135073000723,0.7350993377483441,0.64,,-0.03301886792452835,-0.008086253369272156,-0.010107816711590334
20260130,600251.SH,冠农股份,600251.SH,C,0,0,0,1,0,,False,False,False,none,,0.3880512249443207,0.4463860797144557,0.8652428285270721,0.572289156626506,0.8532110091743119,,-0.03925233644859816,-0.020560747663551315,-0.008411214953271018
20260130,600312.SH,平高电气,600312.SH,G,0,0,0,0,1,,False,False,False,none,,0.4711581291759465,0.5499770158455465,0.6055590146042465,0.5021645021645023,0.8924770642201835,,-0.00965073529411764,0.01746323529411753,0.009191176470588092
20260130,600338.SH,西藏珠峰,600338.SH,C,0,0,0,1,0,,False,False,False,none,,0.43382516703786195,0.25903142069114704,0.38802860028553837,0.5083612040133781,0.9159633027522935,,-0.012571428571428456,0.04800000000000004,0.03942857142857159
20260130,600351.SH,亚宝药业,600351.SH,C,0,0,0,1,0,,False,False,False,none,,0.5663028953229399,0.2011451516954194,0.6429907647976094,0.6078431372549015,0.544954128440367,,-0.007363770250368162,-0.002945508100147376,0.010309278350515427
20260130,600362.SH,江西铜业,600362.SH,C,0,0,0,1,0,,False,False,False,none,,0.5327728285077951,0.26574414580065975,0.8416654522424245,0.4287598944591029,0.8179816513761468,,0.0,0.03451296426068673,0.03118430273300632
