ts_code,trade_date,name,industry,label_true_breakout,selected_class,path_source,score_total,rank_global_after_merge,score_trend_axis_single,score_platform_axis_single,score_chip_axis_single,score_industry_axis_single,ret_t1,ret_t2,ret_t3,a_quality_layer,a_quality_score,selected_c_reason,selected_g_reason
603012.SH,20260211,创力集团,专用机械,G,selected_G,B,0.6827675479248234,3,0.7426602760219202,0.6539044092898013,0.7019925611775111,0.5028377520241307,0.003708281829418958,0.0024721878862792313,-0.006180469715698522,,,,path_mixed_unclear
000539.SZ,20260212,粤电力Ａ,火力发电,G,selected_G,B,0.7484592283620767,2,0.5733220312462077,0.8618815213732749,0.5553370829836936,0.4682489284013336,-0.0325203252032521,-0.010162601626016232,-0.004065040650406471,,,,grey_uncertain
000962.SZ,20260212,东方钽业,小金属,G,selected_G,A,0.8763240196856645,1,0.9032253274225448,0.3445136317738135,0.9454640532510828,0.7721860612795682,-0.016704475149515452,-0.037945968240874484,0.058362548979171036,,,,path_mixed_unclear
603045.SH,20260212,福达合金,小金属,A,selected_A,B,0.7309635708950226,3,0.8195395837087928,0.6769774486704813,0.6943923185086068,0.7721860612795682,0.07206884187880958,0.06489781283614193,0.05521692362854069,A_mid,0.6721153846153846,,
000338.SZ,20260213,潍柴动力,汽车配件,A,selected_A,A,0.8428504524527703,1,0.9025782781372451,0.47150790979468193,0.6156184314970631,0.5865216701063661,0.06671554252199408,0.045454545454545414,0.07111436950146621,A_high,0.6826923076923077,,
600372.SH,20260213,中航机载,航空,G,selected_G,B,0.7098416967504141,3,0.7499417196951523,0.6972568158869067,0.6434371101988978,0.4523337037625019,0.0037174721189590088,0.0006195786864930941,0.011771995043370342,,,,weak_continuation
603163.SH,20260213,圣晖集成,建筑工程,A,selected_A,B,0.7208310567396423,2,0.9080636972903195,0.5226186469202289,0.886180788333749,0.443522781393872,0.04235912499033767,0.005333539460462333,0.10589781247584429,A_mid,0.6086538461538461,,
600101.SH,20260224,明星电力,水力发电,A,selected_A,B,0.8115793707048707,2,0.4431918368993759,0.9003870750589026,0.7141241126709454,0.5717971106524845,-0.0009560229445507717,0.010516252390057268,0.05831739961759075,A_low,0.4057692307692307,,
600714.SH,20260224,金瑞矿业,化工原料,A,selected_A,B,0.7750972364361048,3,0.8920957992890319,0.6930158195893638,0.7948508039824915,0.8869066518494999,0.011356843992827326,-0.0017931858936043321,0.0735206216377764,A_low,0.3692307692307692,,
603124.SH,20260224,江南新材,铜,A,selected_A,A,0.8584557409751916,1,0.8902986948048118,0.3887243352406597,0.8433541151656726,0.6628433084616605,0.001124081279723299,0.021011673151750898,-0.006485084306095956,A_low,0.28076923076923077,,
600010.SH,20260225,包钢股份,普钢,A,selected_A,A,0.8769586451746653,1,0.8779947598661642,0.3351733423089869,0.6308297348785522,0.802428956977298,-0.00666666666666671,0.08000000000000007,0.10666666666666669,A_high,0.6971153846153846,,
600929.SH,20260225,雪天盐业,食品,G,selected_G,B,0.7986383035398771,2,0.7208456885260692,0.8356109054190507,0.6181651055723131,0.38190585807270994,0.021739130434782483,0.01863354037267073,0.01863354037267073,,,,grey_uncertain
603601.SH,20260225,再升科技,玻璃,C,selected_C,B,0.7530495456606245,3,0.9009329756516639,0.5829182093571188,0.9098489896355431,0.5181377996507381,0.00992366412213741,0.0,-0.02442748091603053,,,mixed_pseudo_C,
000733.SZ,20260226,振华科技,元器件,C,selected_C,B,0.747040438263286,2,0.37648011453332686,0.7760518343991921,0.7008972172453678,0.9090331798698207,0.0033014769765422614,-0.006429192006950468,-0.0872284969591659,,,mixed_pseudo_C,
002028.SZ,20260226,思源电气,电气设备,C,selected_C,A,0.8636299983640408,1,0.8145810166272691,0.5030629417704476,,0.9267145578663281,-0.037480922883562195,-0.0011221833198671316,-0.015171918484603641,,,mixed_pseudo_C,
603867.SH,20260226,新化股份,化工原料,G,selected_G,B,0.7215085470006594,3,0.8956172184482813,0.6074722315718613,0.808530276914703,0.6501031909826956,0.03312516969861523,0.04968775454792285,-0.027694814010317592,,,,path_mixed_unclear
000767.SZ,20260227,晋控电力,火力发电,C,selected_C,A,0.8893737101127164,1,0.8918517583223337,0.30780881857960285,0.8368098224207924,0.8555524686458167,0.002732240437158362,-0.03825136612021862,-0.013661202185792476,,,industry_heat_C,
600725.SH,20260227,云维股份,商贸代理,C,selected_C,B,0.776363706275903,3,0.8327698292088557,0.7025580612588355,0.7403586737123806,0.3920265121447849,0.009451795841209698,-0.03780718336483935,-0.051039697542533125,,,mixed_pseudo_C,
603028.SH,20260227,赛福天,钢加工,C,selected_C,B,0.7927512401980007,2,0.606036130656099,0.7302928306967351,0.8726028507926429,0.5418717256707414,0.001980198019801982,-0.06237623762376232,-0.07425742574257421,,,mixed_pseudo_C,
000070.SZ,20260302,特发信息,通信设备,C,selected_C,A,0.8907866327988571,1,0.9026267962252319,0.19917536183103332,0.9779098836550019,0.819118113986347,-0.061037639877924654,-0.022889114954221745,-0.10935910478128175,,,industry_heat_C,
000933.SZ,20260302,神火股份,铝,A,selected_A,B,0.741315947881687,3,0.6016416810949472,0.7117132278694042,0.7814395368879414,0.5940625496110494,-0.004129793510324498,0.04483775811209445,0.07020648967551635,A_mid,0.5480769230769231,,
600028.SH,20260302,中国石化,石油加工,G,selected_G,B,0.7450960062790047,2,0.8144118953052788,0.7540474587680916,0.5978606127956819,0.6182528972852834,0.0937062937062938,0.034965034965035,-0.016783216783216814,,,,path_mixed_unclear
000421.SZ,20260303,南京公用,供气供热,C,selected_C,B,0.7685785316230829,2,0.6165835560878042,0.7924015483002356,0.6679685891184541,0.8328504524527703,-0.06865284974093255,-0.0984455958549223,-0.0893782383419689,,,mixed_pseudo_C,
600149.SH,20260303,廊坊发展,综合类,A,selected_A,B,0.757324464348997,3,0.8454296635865741,0.6896162908111747,0.7492767332683192,0.14170900142879822,0.11878009630818598,0.10272873194221499,0.14446227929373978,A_high,0.9096153846153846,,
601898.SH,20260303,中煤能源,煤炭开采,C,selected_C,A,0.852788537863153,1,0.8935713571330328,0.31489397509256145,0.5856608758759894,0.6966581997142404,0.0117647058823529,0.03117647058823536,0.01941176470588224,,,trend_chase_C,
000592.SZ,20260304,平潭发展,林业,C,selected_C,B,0.7369819747768295,3,0.8763605965286728,0.6101312689330192,0.8302856235683669,0.17707175742181297,-0.026336791699920203,-0.03910614525139666,-0.07262569832402233,,,mixed_pseudo_C,
001278.SZ,20260304,一彬科技,汽车配件,C,selected_C,B,0.7762823381722039,2,0.8933052903598269,0.6903904409289802,0.8286247817113828,0.3128671217653596,-0.06702208682406707,-0.07692307692307698,-0.09634424980959633,,,mixed_pseudo_C,
