trade_date,top5_avg_t1,top5_win_t1,rank6_10_avg_t1
20260225,-0.005589584655929136,0.6,-0.00012427694482233242
20260226,0.008907974336154822,0.6,0.0311316239340653
20260227,0.010070617852836005,0.4,0.020933500855841336
20260302,-0.00390900980182114,0.4,-0.05249470645700431
20260303,-0.024772112180449744,0.4,0.002271693822725118
20260304,-0.005678333400180246,0.4,-0.022524121513229356
20260305,0.01224632250972002,0.8,0.029822145642943453
20260306,0.018150764722378844,0.8,0.028195853108654488
20260309,0.002358698419166405,0.6,-0.006027912569292737
20260310,-0.018258275188321748,0.2,-0.014228312168596236
20260311,0.0040886376061530115,0.4,-0.004457713364053495
20260312,-0.03937137868694698,0.2,-0.005943292300680403
20260313,-0.0054721180704115245,0.2,-0.02424547145523621
20260316,-0.04692926720567867,0.2,-0.02803813276569491
20260317,0.008388453695913877,0.4,0.017657210059533867
20260318,0.011694078111828854,0.6,-0.001339399728809032
20260319,-0.05278656643581716,0.2,-0.04379753347393937
20260320,0.028165105651253675,0.6,-0.03263908184569431
20260323,0.06753847152678905,0.8,-0.023728813559322104
20260324,0.01324821652989836,0.6,-0.012410189418680662
20260325,0.01815525896063257,0.6,-0.019936824523051587
20260326,0.027035608655218656,0.6,0.0026974672793080856
20260327,-0.0037015134383687975,0.4,0.004232344834925983
