trade_date,stock_code,stock_name,ts_code,input_tier,path_source,in_C2A,in_ech2_s2,in_mainline_current,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,label_A_high,label_A_mid,label_A_low,label_C,label_G,ret_t1_close,ret_t2_close,ret_t3_close
20250611,601838.SH,成都银行,601838.SH,main_channel,B,True,False,True,0.6919771156229642,0.8351948775055679,0.0723122059380239,0.9746026144666946,0.27985074626865675,0.7412124299541518,3.0,0,0,0,0,1,0.013989637305699354,0.006217616580310947,0.015544041450777257
20250612,000661.SZ,长春高新,000661.SZ,main_channel,B,True,False,True,0.762277964824316,0.7659632516703786,0.30704802336271697,0.9373841748404381,0.276259607173356,0.9184505606523955,3.0,0,0,0,1,0,-0.01073345259391778,-0.027280858676207442,-0.06976744186046513
20250613,600685.SH,中船防务,600685.SH,main_channel,B,True,False,True,0.7461179425759751,0.8017873051224944,0.09801389865339895,0.811430196445769,0.36610169491525496,0.6889002036659878,3.0,0,0,0,0,1,0.0015923566878981443,-0.0011942675159236638,0.01194267515923575
20250616,601319.SH,中国人保,601319.SH,main_channel,B,True,False,True,0.6815567615541304,0.745695991091314,0.2808798875128441,0.9996593489070483,0.3293413173652697,0.7974554707379135,3.0,0,0,0,1,0,-0.010332950631458226,-0.02640642939150406,-0.03788748564867972
20250617,600195.SH,中牧股份,600195.SH,main_channel,B,True,False,True,0.7804069657960031,0.8595601336302896,0.23543886214915366,0.8815481091650743,0.3548387096774189,0.6680223690899848,3.0,0,0,0,0,1,-0.01109570041608876,-0.02496532593619971,-0.015256588072122046
20250618,601838.SH,成都银行,601838.SH,main_channel,B,True,False,True,0.7479824935810023,0.8485244988864142,0.5026026174895895,0.9999465773088256,0.24482758620689574,0.9171326893746823,3.0,0,0,0,0,1,-0.007916872835230127,-0.006927263730826305,0.002474022761009387
20250619,600273.SH,嘉化能源,600273.SH,main_channel,B,True,False,True,0.7486985523435394,0.8371269487750557,0.5585284733113406,0.8540322531317411,0.4038461538461524,0.6837824097610574,2.0,0,0,0,0,1,-0.010676156583629859,-0.015421115065243018,0.007117437722419906
20250620,601998.SH,中信银行,601998.SH,main_channel,A,True,False,True,0.8208599778604557,0.6556291759465478,0.5636999080633822,0.9954690213505009,0.42857142857142927,0.9303507880020335,1.0,0,0,0,1,0,0.0,-0.011507479861910253,0.0011507479861909697
20250623,601916.SH,浙商银行,601916.SH,main_channel,A,True,False,True,0.8550935590287168,0.5524554565701558,0.6188010383429776,0.9995060465619422,0.5510204081632647,0.9450661241098678,1.0,0,0,0,0,1,-0.0027855153203342198,0.011142061281337101,0.025069637883008422
20250624,000988.SZ,华工科技,000988.SZ,main_channel,A,True,False,True,0.8311293600739984,0.621347438752784,0.7653723433021471,0.9658721471628834,0.5381355932203389,0.8830111902339777,1.0,0,0,0,0,1,0.004310344827586299,0.0010775862068965747,-0.0015086206896551824
