ts_code,trade_date,name,industry,label_true_breakout,a_quality_layer,path_source,score_total,score_trend_axis_single,score_platform_axis_single,score_chip_axis_single,score_industry_axis_single,f_strength_rs20_xsec_q,f_platform_compress_ratio,f_chip_winner_rate,f_ind_peer_strong_count,ret_t1,ret_t2,ret_t3,selected_c_reason,firewall_reason,core_keep,failure_quadrant,ahigh_subtype
605366.SH,20260120,宏柏新材,化工原料,C,,B,0.7285205317670449,0.6802821284760143,0.8036856277347694,0.5631757875399723,0.8509684076837593,0.8206820682068207,0.2932330827067667,0.9153711216600137,34.0,-0.0197183098591549,-0.0239436619718309,-0.0140845070422535,mixed_pseudo_C,platform_integrity_firewall,False,dropped_C,
000059.SZ,20260121,华锦股份,石油加工,A,A_high,B,0.7776012106728007,0.5014926475973902,0.8225849882194547,0.6438691062073345,0.2128512462295602,0.7087307410124725,0.3181818181818185,0.9795742234603715,1.0,0.0232974910394265,0.0896057347670251,0.0913978494623655,,platform_integrity_firewall,False,dropped_Ahigh,mixed_Ahigh
603798.SH,20260121,康普顿,石油加工,C,,B,0.7707689760607094,0.6968500482579728,0.6746381689666778,0.864797677635906,0.2128512462295602,0.8257520176082171,0.4778156996587036,0.9972570645510664,1.0,-0.0054945054945053,0.0170329670329671,-0.0846153846153845,mixed_pseudo_C,,False,dropped_C,
000933.SZ,20260122,神火股份,铝,A,A_mid,B,0.6986688973264605,0.678902424077204,0.6218949848535846,0.7872597237656771,0.6154349896809017,0.8070432868672047,0.44768856447688565,0.9602606345626319,10.0,0.0101233786776335,0.0550458715596331,0.0360645365390699,,,False,,
600888.SH,20260122,新疆众和,铝,A,A_mid,B,0.7212011910182525,0.4915597963750831,0.6895658027600134,0.6882175628784615,0.6154349896809017,0.6982758620689655,0.45751633986928075,0.9585226063403272,10.0,0.0211817168338905,0.0278706800445931,0.0167224080267556,,,False,,
603186.SH,20260122,华正新材,元器件,C,,A,0.8881989204635657,0.9045629948851326,0.255604173678896,0.8449047354455356,0.8216978885537386,0.9900953778429934,0.678688524590164,0.9760748941500935,30.0,-0.029725182277061,-0.0677229388670779,-0.00350532809871,industry_heat_C,,True,kept_C,
000155.SZ,20260123,川能动力,新型电力,C,,B,0.7373576286000099,0.6432661394236155,0.7089195557051498,0.7220174971083846,0.6169630100015875,0.7939127246057939,0.4637681159420285,0.987425169981746,10.0,-0.0248579545454544,-0.0376420454545454,-0.0291193181818182,mixed_pseudo_C,,False,dropped_C,
000880.SZ,20260123,潍柴重机,专用机械,C,,A,0.8900801714557867,0.8675005651857417,0.3355604173678895,0.6265563468124192,0.7488291792347992,0.9548954895489549,0.6518987341772154,0.9982462788128351,23.0,-0.052064631956912,-0.0612977686586304,-0.0966914593485509,trend_chase_C,,True,kept_C,
601388.SH,20260123,怡球资源,铝,A,A_low,B,0.7564753126910797,0.7885027513569225,0.6837596768764724,0.8139971537432246,0.7603389426893158,0.8830216354968831,0.44285714285714284,0.9951226735788186,17.0,0.0163934426229508,-0.0136612021857924,0.0846994535519125,,,False,,
000923.SZ,20260126,河钢资源,普钢,C,,B,0.7217575449634165,0.8803566018358912,0.6186974082800404,0.8017873698773048,0.4217732973487855,0.9321100917431193,0.44016506189821175,0.9736782632701875,3.0,-0.0248833592534992,0.0038880248833592,0.0272161741835148,mixed_pseudo_C,,True,kept_C,
600487.SH,20260126,亨通光电,通信设备,A,A_mid,B,0.6498619895236327,0.788933670012929,0.4255132951868058,0.8944768784160751,0.5102000317510716,0.8759633027522936,0.5782383419689118,0.9999999999999999,12.0,0.0377850162866448,0.0951140065146578,0.0368078175895765,,,True,,
600961.SH,20260126,株冶集团,铅锌,C,,A,0.8493038577551993,0.903035069748823,0.3669808145405587,0.7876791327421587,0.6954080012700429,0.9790825688073395,0.6273653566229984,0.9982310599370612,11.0,-0.0056521739130434,0.0939130434782609,0.1078260869565217,platform_false_break_C,,True,kept_C,
603124.SH,20260127,江南新材,铜,C,,B,0.7691101004493197,0.7065882182322002,0.6331033322113766,0.8913417209080807,0.4303063978409271,0.8297872340425532,0.4177170868347338,0.9934926601149551,3.0,0.0111353939015506,0.0299719013424912,0.0311166614632114,mixed_pseudo_C,,False,dropped_C,
605288.SH,20260127,凯迪股份,电气设备,C,,A,0.8831266867756787,0.9040565487481068,0.4837596768764725,0.847302973261062,0.6492300365137323,0.9849596478356566,0.5151746516510785,0.9989538686449903,20.0,0.0256488549618321,-0.0769465648854961,-0.0152671755725191,mixed_pseudo_C,,True,kept_C,
000426.SZ,20260128,兴业银锡,铅锌,C,,A,0.862099539609462,0.9089325420790584,0.4342140693369236,0.8483794026262672,0.7283695824734084,0.9963302752293578,0.5403762662807524,1.0,13.0,-0.0439160839160839,-0.1395804195804195,-0.2255944055944055,platform_false_break_C,,True,kept_C,
000825.SZ,20260128,太钢不锈,特种钢,C,,B,0.7121142588938749,0.5489372630895092,0.6701110737125546,0.6950396661601614,0.37333306874107,0.7324770642201834,0.4166666666666674,0.9194268816836454,3.0,-0.0162748643761301,-0.054249547920434,-0.128390596745027,mixed_pseudo_C,,False,dropped_C,
600201.SH,20260128,生物股份,农业综合,C,,B,0.7452186838839061,0.784488726332926,0.574671827667452,0.901391127843422,0.2374384822987776,0.8719266055045871,0.4816955684007706,0.9922218671632714,2.0,-0.0155412647374061,-0.032690246516613,-0.127545551982851,mixed_pseudo_C,,False,dropped_C,
601168.SH,20260129,西部矿业,铜,C,,A,0.8295943800603272,0.9053700203483646,0.2825647929989902,0.7353498060916699,0.6505794570566756,0.9750458715596331,0.6711647727272728,0.9843768154116065,9.0,-0.0378378378378377,-0.1340540540540541,-0.1054054054054053,platform_false_break_C,,True,kept_C,
603995.SH,20260129,甬金股份,特种钢,C,,B,0.692594260366448,0.4212491601630619,0.7797290474587681,0.6286531649014583,0.1931258929988887,0.655045871559633,0.3866666666666667,0.9148297921895997,1.0,-0.0010373443983402,-0.0446058091286306,-0.0285269709543568,mixed_pseudo_C,,False,dropped_C,
002830.SZ,20260202,名雕股份,装修装饰,A,A_high,A,0.753860136529608,0.8991938838274007,0.5272551329518681,,0.1107913954595967,0.9651504035216434,0.5681818181818182,1.0,1.0,0.1310289389067525,0.2439710610932475,0.1197749196141479,,,False,dropped_Ahigh,high_momentum_frontline_A
600316.SH,20260202,洪都航空,航空,A,A_mid,B,0.7093092093581845,0.8488323678671696,0.6843655334904072,0.6538055587054635,0.1421455786632799,0.921496698459281,0.3434420015163004,0.8915878599462825,2.0,0.0058976173625855,0.0606275064873791,0.0828025477707006,,platform_integrity_firewall,False,,
603291.SH,20260202,联合水务,水务,C,,B,0.8469084594355338,0.8915698371356886,0.7997307303938067,0.8459173678361644,0.0939236386728052,0.9611151870873074,0.2788844621513942,0.9976010843666165,1.0,-0.0054773082942095,-0.1048513302034428,-0.1048513302034428,mixed_pseudo_C,platform_integrity_firewall,False,dropped_C,
002487.SZ,20260203,大金重工,电气设备,C,,A,0.8508771384796743,0.8110862614186802,0.4317233254796364,,0.8035204000635022,0.8917828319882611,0.586576424139876,0.9524710614655156,90.0,0.0045936955488674,-0.0095041976873119,-0.0305718358941865,mixed_pseudo_C,,False,dropped_C,
601872.SH,20260203,招商轮船,水运,A,A_low,B,0.7600230828866378,0.8857785634778932,0.7287277011107371,0.6658008073843921,0.3778972852833783,0.9402054292002935,0.2887537993920975,0.9943033567801863,6.0,0.0256410256410257,-0.0042735042735041,-0.029059829059829,,platform_integrity_firewall,False,,
600683.SH,20260204,京投发展,区域地产,A,A_mid,A,0.893215589776155,0.8894710026320696,0.1663412992258499,0.6853504751321071,0.75619145896174,0.9758064516129032,0.8976377952755906,0.9999381349386283,24.0,0.0999999999999998,0.0083333333333333,0.1100000000000001,,,True,,
601096.SH,20260204,宏盛华源,钢加工,C,,B,0.7908292647511108,0.9013954738732368,0.6866879838438236,0.8324179234799174,0.5225432608350531,0.9816715542521994,0.37426900584795303,0.999999999355143,9.0,-0.0621019108280255,-0.071656050955414,-0.054140127388535,mixed_pseudo_C,platform_integrity_firewall,False,dropped_C,
600754.SH,20260205,锦江酒店,酒店餐饮,C,,B,0.6735746947960345,0.7028885318016904,0.5715079097946819,0.6440071213117728,0.3807548817272583,0.8361436950146628,0.5710784313725492,0.9914408355425055,3.0,-0.0224956063268892,-0.0203866432337433,-0.009841827768014,mixed_pseudo_C,,False,dropped_C,
002842.SZ,20260206,翔鹭钨业,小金属,A,A_high,A,0.8647507540879505,0.9084478490413836,0.3781050151464153,,0.5805881886013654,0.9981664833149981,0.5733256351039261,0.9622511274924366,19.0,0.0265125764785858,0.0819170632222976,0.1900067980965327,,,False,dropped_Ahigh,high_momentum_frontline_A
605196.SH,20260206,华通线缆,电气设备,A,A_mid,B,0.6570025490300329,0.8892874481961022,0.5233591383372601,0.7561892590660649,0.8473964121289094,0.9482948294829483,0.49506903353057213,0.9072962869718222,40.0,0.0395348837209303,0.0390697674418605,0.0609302325581395,,,True,,
600261.SH,20260209,阳光照明,家用电器,C,,B,0.7666359924198873,0.6997961748813899,0.8611410299562436,0.5565882679790444,0.6269844419749167,0.8360836083608361,0.3409090909090908,0.982899164850393,12.0,0.0078125,-0.0052083333333333,-0.0078125,mixed_pseudo_C,platform_integrity_firewall,False,dropped_C,
002806.SZ,20260210,华锋股份,汽车配件,A,A_mid,A,0.8807056675662803,0.899824002244481,0.2714910804442948,,0.6629226861406573,0.9560117302052786,0.7879858657243817,1.0,18.0,0.0062189054726369,0.0584577114427862,0.0634328358208957,,,False,,
600388.SH,20260210,龙净环保,环境保护,A,A_low,B,0.7618383554561688,0.8069245502183339,0.7308397845843151,0.7612620597373733,0.2311874900777901,0.8955278592375366,0.4028571428571429,0.9824790822974232,2.0,0.012405609492988,0.0253505933117585,0.0080906148867314,,,False,,
603186.SH,20260210,华正新材,元器件,A,A_mid,B,0.7910619712302503,0.9041977735699188,0.6663076405250757,0.8561563740276235,0.6963010001587554,0.9725073313782991,0.3422867513611617,0.9769559726401349,22.0,0.0241796200345423,0.0310880829015545,0.0619104556928391,,platform_integrity_firewall,False,,
000899.SZ,20260211,赣能股份,火力发电,A,A_low,B,0.7497299139473326,0.3487696092785828,0.8299394143386065,0.6116744948177715,0.1904667407525004,0.6055718475073314,0.37795275590551225,0.8418093512564895,2.0,0.0082949308755759,-0.032258064516129,0.0110599078341013,,,False,,
002859.SZ,20260211,洁美科技,元器件,A,A_low,A,0.8364446737577393,0.9015341909227136,0.6921070346684618,,0.5244880139704715,0.9805718475073314,0.3346425765907304,0.9853614561278234,10.0,0.0036585365853658,-0.0017073170731707,0.0780487804878049,,platform_integrity_firewall,False,,
603045.SH,20260212,福达合金,小金属,A,A_mid,B,0.7309635708950226,0.8195395837087928,0.6769774486704813,0.6943923185086068,0.7721860612795682,0.8981311835837303,0.3265107212475631,0.8578445898662392,17.0,0.0720688418788095,0.0648978128361419,0.0552169236285406,,platform_integrity_firewall,False,,
000338.SZ,20260213,潍柴动力,汽车配件,A,A_high,A,0.8428504524527703,0.9025782781372452,0.4715079097946819,0.6156184314970631,0.5865216701063661,0.9644297763109644,0.5224416517055656,0.9502035424065454,14.0,0.066715542521994,0.0454545454545454,0.0711143695014662,,mixed_pseudo_firewall,False,dropped_Ahigh,high_momentum_frontline_A
603163.SH,20260213,圣晖集成,建筑工程,A,A_mid,B,0.7208310567396423,0.9080636972903195,0.5226186469202289,0.886180788333749,0.443522781393872,0.9842317565089842,0.47961587244065956,0.9999999999999999,7.0,0.0423591249903376,0.0053335394604623,0.1058978124758442,,,True,,
600101.SH,20260224,明星电力,水力发电,A,A_low,B,0.8115793707048707,0.4431918368993759,0.9003870750589026,0.7141241126709454,0.5717971106524845,0.6747341400806748,0.21374045801526825,0.9682544655894547,13.0,-0.0009560229445507,0.0105162523900572,0.0583173996175907,,platform_integrity_firewall,False,,
600714.SH,20260224,金瑞矿业,化工原料,A,A_low,B,0.7750972364361048,0.8920957992890319,0.6930158195893638,0.7948508039824915,0.8869066518494999,0.9482948294829483,0.3295454545454543,0.9617204952152167,93.0,0.0113568439928273,-0.0017931858936043,0.0735206216377764,,platform_integrity_firewall,False,,
603124.SH,20260224,江南新材,铜,A,A_low,A,0.8584557409751916,0.8902986948048118,0.3887243352406597,0.8433541151656726,0.6628433084616605,0.9416941694169417,0.6464110929853182,1.0,13.0,0.0011240812797232,0.0210116731517508,-0.0064850843060959,,,True,,
600010.SH,20260225,包钢股份,普钢,A,A_high,A,0.8769586451746653,0.8779947598661642,0.3351733423089869,0.6308297348785522,0.802428956977298,0.941651376146789,0.7346938775510198,0.9914973540940887,21.0,-0.0066666666666667,0.08,0.1066666666666666,,,True,kept_Ahigh,high_momentum_frontline_A
603601.SH,20260225,再升科技,玻璃,C,,B,0.7530495456606245,0.900932975651664,0.5829182093571188,0.9098489896355432,0.5181377996507381,0.9809174311926605,0.42451154529307256,0.9877648461769306,5.0,0.0099236641221374,0.0,-0.0244274809160305,mixed_pseudo_C,mixed_pseudo_firewall,False,dropped_C,
000733.SZ,20260226,振华科技,元器件,C,,B,0.747040438263286,0.3764801145333268,0.7760518343991921,0.7008972172453678,0.9090331798698208,0.6286238532110092,0.4310099573257463,0.9109050673262137,45.0,0.0033014769765422,-0.0064291920069504,-0.0872284969591659,mixed_pseudo_C,,False,dropped_C,
002028.SZ,20260226,思源电气,电气设备,C,,A,0.8636299983640408,0.8145810166272691,0.5030629417704476,,0.926714557866328,0.893211009174312,0.5117802696232834,0.996127593139464,56.0,-0.0374809228835621,-0.0011221833198671,-0.0151719184846036,mixed_pseudo_C,,False,dropped_C,
000767.SZ,20260227,晋控电力,火力发电,C,,A,0.8893737101127164,0.8918517583223337,0.3078088185796028,0.8368098224207924,0.8555524686458167,0.9471559633027523,0.6947368421052632,0.9896534923166417,27.0,0.0027322404371583,-0.0382513661202186,-0.0136612021857924,industry_heat_C,,True,kept_C,
600725.SH,20260227,云维股份,商贸代理,C,,B,0.776363706275903,0.8327698292088557,0.7025580612588355,0.7403586737123806,0.3920265121447849,0.9075229357798165,0.42718446601941773,0.9999980563377068,3.0,0.0094517958412096,-0.0378071833648393,-0.0510396975425331,mixed_pseudo_C,,False,dropped_C,
603028.SH,20260227,赛福天,钢加工,C,,B,0.7927512401980007,0.606036130656099,0.7302928306967351,0.8726028507926429,0.5418717256707414,0.7717431192660551,0.4473684210526327,0.9833240700254594,6.0,0.0019801980198019,-0.0623762376237623,-0.0742574257425742,mixed_pseudo_C,,False,dropped_C,
000070.SZ,20260302,特发信息,通信设备,C,,A,0.8907866327988571,0.902626796225232,0.1991753618310333,0.977909883655002,0.819118113986347,0.9955947136563876,0.721913236929922,0.9974799959497899,24.0,-0.0610376398779246,-0.0228891149542217,-0.1093591047812817,industry_heat_C,,True,kept_C,
000933.SZ,20260302,神火股份,铝,A,A_mid,B,0.741315947881687,0.6016416810949472,0.7117132278694042,0.7814395368879414,0.5940625496110494,0.7712922173274597,0.3736128236744757,0.9570909802367354,8.0,-0.0041297935103244,0.0448377581120944,0.0702064896755163,,platform_integrity_firewall,False,,
000421.SZ,20260303,南京公用,供气供热,C,,B,0.7685785316230829,0.6165835560878042,0.7924015483002356,0.6679685891184541,0.8328504524527703,0.7940528634361234,0.45588235294117607,0.965627457653965,22.0,-0.0686528497409325,-0.0984455958549223,-0.0893782383419689,mixed_pseudo_C,,False,dropped_C,
600149.SH,20260303,廊坊发展,综合类,A,A_high,B,0.757324464348997,0.8454296635865741,0.6896162908111747,0.7492767332683192,0.1417090014287982,0.922173274596182,0.42968750000000044,0.9152960251714629,2.0,0.1187800963081859,0.1027287319422149,0.1444622792937397,,,False,dropped_Ahigh,steady_structure_chip_A
