k,combo,support_keptC,support_keptAhigh,diff_C_minus_A,nC,nA
2,f_platform_compress_ratio>=q60(0.6772) & f_chip_winner_rate>=q60(0.9925),0.16129032258064516,0.0,0.16129032258064516,5,0
2,f_platform_compress_ratio>=q60(0.6772) & score_total>=q40(0.8377),0.3548387096774194,0.25,0.10483870967741937,11,2
2,f_platform_compress_ratio>=q60(0.6772) & score_trend_axis_single>=q60(0.9030),0.16129032258064516,0.125,0.03629032258064516,5,1
2,f_platform_compress_ratio>=q60(0.6772) & score_industry_axis_single<=q40(0.6460),0.16129032258064516,0.0,0.16129032258064516,5,0
2,f_platform_compress_ratio>=q60(0.6772) & score_industry_axis_single<=q60(0.7378),0.1935483870967742,0.0,0.1935483870967742,6,0
2,f_platform_compress_ratio>=q60(0.6772) & f_strength_rs20_xsec_q>=q40(0.9473),0.25806451612903225,0.125,0.13306451612903225,8,1
2,f_platform_compress_ratio>=q60(0.6772) & f_chip_winner_rate<=q60(0.9925),0.2903225806451613,0.25,0.04032258064516131,9,2
2,f_chip_winner_rate>=q60(0.9925) & score_total>=q40(0.8377),0.2903225806451613,0.25,0.04032258064516131,9,2
2,f_chip_winner_rate>=q60(0.9925) & score_platform_axis_single>=q40(0.3080),0.2903225806451613,0.25,0.04032258064516131,9,2
2,f_chip_winner_rate>=q60(0.9925) & score_trend_axis_single>=q60(0.9030),0.16129032258064516,0.125,0.03629032258064516,5,1
2,f_chip_winner_rate>=q60(0.9925) & score_industry_axis_single<=q40(0.6460),0.16129032258064516,0.25,-0.08870967741935484,5,2
2,f_chip_winner_rate>=q60(0.9925) & score_industry_axis_single<=q60(0.7378),0.25806451612903225,0.25,0.008064516129032251,8,2
2,f_chip_winner_rate>=q60(0.9925) & f_strength_rs20_xsec_q>=q40(0.9473),0.2903225806451613,0.125,0.1653225806451613,9,1
2,f_chip_winner_rate>=q60(0.9925) & f_platform_compress_ratio<=q60(0.6772),0.2903225806451613,0.25,0.04032258064516131,9,2
2,score_total>=q40(0.8377) & score_platform_axis_single>=q40(0.3080),0.16129032258064516,0.75,-0.5887096774193549,5,6
2,score_total>=q40(0.8377) & score_trend_axis_single>=q60(0.9030),0.25806451612903225,0.5,-0.24193548387096775,8,4
2,score_total>=q40(0.8377) & score_industry_axis_single<=q40(0.6460),0.0967741935483871,0.5,-0.4032258064516129,3,4
2,score_total>=q40(0.8377) & score_industry_axis_single<=q60(0.7378),0.22580645161290322,0.625,-0.39919354838709675,7,5
2,score_total>=q40(0.8377) & f_strength_rs20_xsec_q>=q40(0.9473),0.3870967741935484,0.625,-0.23790322580645162,12,5
2,score_total>=q40(0.8377) & f_platform_compress_ratio<=q60(0.6772),0.16129032258064516,0.625,-0.46370967741935487,5,5
2,score_total>=q40(0.8377) & f_chip_winner_rate<=q60(0.9925),0.22580645161290322,0.625,-0.39919354838709675,7,5
2,score_platform_axis_single>=q40(0.3080) & score_trend_axis_single>=q60(0.9030),0.16129032258064516,0.5,-0.33870967741935487,5,4
2,score_platform_axis_single>=q40(0.3080) & score_industry_axis_single<=q40(0.6460),0.1935483870967742,0.625,-0.4314516129032258,6,5
2,score_platform_axis_single>=q40(0.3080) & score_industry_axis_single<=q60(0.7378),0.3225806451612903,0.75,-0.4274193548387097,10,6
2,score_platform_axis_single>=q40(0.3080) & f_strength_rs20_xsec_q>=q40(0.9473),0.25806451612903225,0.625,-0.36693548387096775,8,5
