profile,metric,count_base,mean_base,std_base,min_base,p10_base,p25_base,median_base,p75_base,p90_base,max_base,count_tune1,mean_tune1,std_tune1,min_tune1,p10_tune1,p25_tune1,median_tune1,p75_tune1,p90_tune1,max_tune1,mean_delta,std_delta,min_delta,p10_delta,p25_delta,median_delta,p75_delta,p90_delta,max_delta,count_delta
neutral,score_axis_industry_share_of_total,486,0.8346502028576437,0.3173992080767914,0.0,0.391919846541563,0.7029594336132796,0.9300932723479676,1.0341633992297854,1.1351654971132263,1.591084983953157,498,0.8180053232886706,0.3325190120439804,0.0,0.3135536811885561,0.695909815807636,0.919594287114606,1.0307931934509806,1.1325475804068947,1.591084983953157,-0.016644879568973092,0.015119803967188983,0.0,-0.07836616535300689,-0.007049617805643615,-0.010498985233361569,-0.003370205778804758,-0.0026179167063316022,0.0,12
neutral,score_axis_strength,1529,28.89446512549279,42.94106062720682,0.0,0.0,0.0,0.0,75.0,100.0,100.0,1529,29.60786882289717,43.23219739165118,0.0,0.0,0.0,0.0,75.0,100.0,100.0,0.7134036974043809,0.2911367644443601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
neutral,score_axis_strength_share_of_total,486,1.0859847357947976,0.1578395005592619,0.6951338362037421,0.8732876712328768,1.0,1.068862616428291,1.168873727580447,1.3015359691245127,1.7391605779284365,498,1.0921797802782376,0.1622573985138683,0.6951338362037421,0.8748809683902928,1.0024994516271233,1.073296867369344,1.1726060714178357,1.3220519362742074,1.7391605779284365,0.006195044483439993,0.004417897954606398,0.0,0.0015932971574160737,0.0024994516271232836,0.004434250941052875,0.0037323438373886297,0.020515967149694614,0.0,12
neutral,score_total,1529,26.83290990737329,39.79324421776501,0.0,0.0,0.0,0.0,74.54744673427203,90.21770128952244,100.0,1529,27.36285201845013,39.89073098063286,0.0,0.0,0.0,0.0,75.7745746148355,90.21770128952244,100.0,0.5299421110768421,0.0974867628678524,0.0,0.0,0.0,0.0,1.2271278805634722,0.0,0.0,0
strict,score_axis_chip,1529,16.856403473797187,32.51700793047702,0.0,0.0,0.0,0.0,0.0,77.801350169723,100.0,1529,17.6005739595248,33.149641485977654,0.0,0.0,0.0,0.0,0.0,78.3161666699034,100.0,0.744170485727615,0.6326335555006324,0.0,0.0,0.0,0.0,0.0,0.5148165001804017,0.0,0
strict,score_axis_chip_share_of_total,342,0.8984998001806612,0.2096326962021346,0.1039405368592009,0.5936619040428293,0.8115942028985506,0.9178341894100348,1.0403669138520415,1.1363636363636365,1.4645679432091014,355,0.9117389383703935,0.2212379025683438,0.1039405368592009,0.5965681008878861,0.8115942028985506,0.9218106995884778,1.0496039244893665,1.1545417381892011,1.5215983444430174,0.013239138189732325,0.011605206366209209,0.0,0.0029061968450568854,0.0,0.003976510178443027,0.00923701063732496,0.018178101825564674,0.057030401233916006,13
strict,score_axis_industry,1529,17.332053506761973,34.49165690722046,0.0,0.0,0.0,0.0,0.0,90.6170752324599,100.0,1529,17.46867524304516,34.4896509269279,0.0,0.0,0.0,0.0,0.0,90.6170752324599,100.0,0.1366217362831854,-0.002005980292558718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
strict,score_axis_industry_share_of_total,342,0.9049148250115264,0.2709086143829839,0.0,0.5612808946679996,0.73089978232689,0.9843992180406697,1.0778418169247463,1.1717709720372838,1.402462927593067,355,0.8798888326686812,0.2985175206782857,0.0,0.5077361304730661,0.730791234357814,0.9715133619703394,1.0718268139438507,1.1717709720372838,1.402462927593067,-0.025025992342845194,0.02760890629530177,0.0,-0.05354476419493348,-0.0001085479690760005,-0.012885856070330215,-0.006015002980895634,0.0,0.0,13
strict,score_axis_strength,1529,20.898524961461504,39.26739523461247,0.0,0.0,0.0,0.0,0.0,100.0,100.0,1529,21.710946134243414,39.819972830938966,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.8124211727819102,0.5525775963264934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
strict,score_axis_strength_share_of_total,342,1.1197791165586153,0.1433944205242119,0.8450704225352113,0.9501924708674055,1.0423007490619751,1.108611651921532,1.192796004619309,1.2744772405897982,1.81700646062127,355,1.1291080346817717,0.1508292524488151,0.8450704225352113,0.9518637017436722,1.0460258393021518,1.1106107136534715,1.2052980902660426,1.3118661424667313,1.81700646062127,0.009328918123156393,0.007434831924603202,0.0,0.0016712308762666384,0.003725090240176643,0.001999061731939422,0.012502085646733718,0.03738890187693311,0.0,13
strict,score_total,1529,18.818053153135565,35.37277972278025,0.0,0.0,0.0,0.0,0.0,86.03784024646019,100.0,1529,19.41067182320429,35.638743941447224,0.0,0.0,0.0,0.0,0.0,86.03784024646019,100.0,0.5926186700687239,0.26596421866697284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
