scope,scenario,selected_n,signal_days,avg_days_per_signal,A_recall_rate,A_high_recall_rate,A_high_over_C,A_low_plus_C_share,mean_ret_t2,median_ret_t2,win_t2
full_year,R2_ind60_plat75,90,90,2.477777777777778,0.008121561435682474,0.014285714285714285,0.47368421052631576,0.5111111111111111,0.011938421863258079,-0.0005711022272987,0.4888888888888889
main_window,R2_ind60_plat75,19,19,3.0,0.004207573632538569,0.00597609561752988,0.2727272727272727,0.7368421052631579,0.004997829705534852,-0.0017073170731707,0.42105263157894735
confirm_window,R2_ind60_plat75,30,30,2.0,0.01847290640394089,0.036231884057971016,1.1111111111111112,0.4,0.024318186575034314,0.011038697821129151,0.6
full_year,R2_ind55_score45,59,59,3.7796610169491527,0.005501702908042965,0.009523809523809525,0.5454545454545454,0.4406779661016949,0.0065688411929041264,-0.0040514129682619,0.4745762711864407
main_window,R2_ind55_score45,9,9,6.333333333333333,0.002805049088359046,0.00398406374501992,0.6666666666666666,0.4444444444444444,0.004417606911911811,0.0183089899197697,0.5555555555555556
confirm_window,R2_ind55_score45,18,18,3.3333333333333335,0.011083743842364532,0.021739130434782608,1.2,0.3888888888888889,0.019881058942326054,0.01148245981380665,0.5555555555555556
full_year,R2_ind55_rs20q30,82,82,2.7195121951219514,0.007597589730154571,0.013492063492063493,0.5666666666666667,0.43902439024390244,0.011498844622047078,0.0038880248833592,0.5365853658536586
main_window,R2_ind55_rs20q30,18,18,3.1666666666666665,0.004207573632538569,0.00796812749003984,0.5,0.5555555555555556,0.011316562142452656,0.00751504308234815,0.6111111111111112
confirm_window,R2_ind55_rs20q30,27,27,2.2222222222222223,0.01847290640394089,0.03260869565217391,1.125,0.4074074074074074,0.023296826939764,0.0107632093933462,0.5925925925925926
full_year,R2_ind60_rs20q30,91,91,2.4505494505494507,0.008383547288446425,0.01507936507936508,0.5428571428571428,0.46153846153846156,0.010593426811638948,0.0029423006177468503,0.5164835164835165
main_window,R2_ind60_rs20q30,20,20,2.85,0.004908835904628331,0.00796812749003984,0.4444444444444444,0.6,0.006516737526778155,0.0035349617080751503,0.55
confirm_window,R2_ind60_rs20q30,30,30,2.0,0.019704433497536946,0.036231884057971016,1.0,0.43333333333333335,0.02231478730092765,0.01067051597248795,0.5666666666666667
full_year,R2_ind75_rs20q30,115,115,1.9391304347826086,0.00995546240503013,0.01746031746031746,0.5116279069767442,0.45217391304347826,0.011074099022875152,0.00456868435769005,0.5304347826086957
main_window,R2_ind75_rs20q30,25,25,2.28,0.006311360448807854,0.0099601593625498,0.4166666666666667,0.6,0.006243089423830328,0.0038880248833592,0.56
confirm_window,R2_ind75_rs20q30,36,36,1.6666666666666667,0.022167487684729065,0.03985507246376811,1.0,0.4166666666666667,0.026272102955290297,0.01152410746604665,0.6111111111111112
full_year,R2_ind60_rs20q40,75,75,2.973333333333333,0.006287660466334818,0.011904761904761904,0.46875,0.49333333333333335,0.009494181485545155,-0.0011392096502347,0.48
main_window,R2_ind60_rs20q40,14,14,4.071428571428571,0.004207573632538569,0.00597609561752988,0.42857142857142855,0.7142857142857143,0.002434283608777577,-0.0011392096502347,0.42857142857142855
confirm_window,R2_ind60_rs20q40,26,26,2.3076923076923075,0.014778325123152709,0.028985507246376812,0.8,0.46153846153846156,0.018927275012105182,0.006640262627166151,0.5384615384615384
