section,window,group,field,count,mean,median,p25,p75,min,max,bucket,a_high_share,c_share,a_c_gap
bucket,confirm,A_high_vs_C,score_platform_axis_single,2,,,,,,,"(0.665, 0.704]",0.0,1.0,-1.0
bucket,confirm,A_high_vs_C,score_industry_axis_single,2,,,,,,,"(0.481, 0.559]",0.5,0.5,0.0
bucket,confirm,A_high_vs_C,score_industry_axis_single,1,,,,,,,"(0.559, 0.571]",0.0,1.0,-1.0
bucket,confirm,A_high_vs_C,score_industry_axis_single,1,,,,,,,"(0.571, 0.626]",1.0,0.0,1.0
bucket,confirm,A_high_vs_C,score_industry_axis_single,2,,,,,,,"(0.626, 0.795]",0.0,0.5,-0.5
bucket,confirm,A_high_vs_C,f_platform_compress_ratio,2,,,,,,,"(0.241, 0.41]",0.0,0.5,-0.5
bucket,confirm,A_high_vs_C,f_platform_compress_ratio,1,,,,,,,"(0.41, 0.437]",0.0,1.0,-1.0
bucket,confirm,A_high_vs_C,f_platform_compress_ratio,1,,,,,,,"(0.437, 0.453]",1.0,0.0,1.0
bucket,confirm,A_high_vs_C,f_platform_compress_ratio,2,,,,,,,"(0.453, 0.514]",0.5,0.5,0.0
bucket,confirm,A_high_vs_C,f_chip_winner_rate,2,,,,,,,"(0.96, 0.969]",0.5,0.0,0.5
bucket,confirm,A_high_vs_C,f_chip_winner_rate,1,,,,,,,"(0.969, 0.979]",1.0,0.0,1.0
bucket,confirm,A_high_vs_C,f_chip_winner_rate,1,,,,,,,"(0.979, 0.983]",0.0,1.0,-1.0
bucket,confirm,A_high_vs_C,f_chip_winner_rate,2,,,,,,,"(0.983, 0.99]",0.0,1.0,-1.0
