ts_code,event_interval_days
000507.SZ,190
000507.SZ,17
000509.SZ,25
000509.SZ,100
000509.SZ,19
000510.SZ,17
000510.SZ,69
000510.SZ,19
000510.SZ,30
000510.SZ,32
000510.SZ,17
000510.SZ,19
000510.SZ,17
000510.SZ,21
000510.SZ,19
000510.SZ,27
000513.SZ,7
000513.SZ,13
000513.SZ,36
000513.SZ,19
000513.SZ,23
000513.SZ,11
000513.SZ,67
000513.SZ,59
000513.SZ,17
000513.SZ,54
000513.SZ,17
000514.SZ,39
000514.SZ,35
000514.SZ,24
000514.SZ,40
000514.SZ,16
000514.SZ,74
000516.SZ,24
000516.SZ,13
000516.SZ,19
000516.SZ,147
000516.SZ,17
000516.SZ,42
000516.SZ,20
000519.SZ,35
000519.SZ,19
000519.SZ,19
000519.SZ,17
000519.SZ,64
000519.SZ,19
000519.SZ,19
000519.SZ,7
000519.SZ,32
000519.SZ,11
000519.SZ,17
000519.SZ,32
000520.SZ,20
000520.SZ,53
000520.SZ,80
000520.SZ,24
000520.SZ,21
000520.SZ,68
000521.SZ,41
000521.SZ,29
000523.SZ,18
000523.SZ,21
000523.SZ,19
000524.SZ,22
000524.SZ,22
000524.SZ,19
000524.SZ,9
000524.SZ,14
000524.SZ,19
000524.SZ,17
000524.SZ,40
000524.SZ,52
000524.SZ,26
000524.SZ,21
000524.SZ,33
000524.SZ,7
000525.SZ,19
000525.SZ,21
000525.SZ,36
000525.SZ,21
000525.SZ,25
000525.SZ,32
000525.SZ,102
000525.SZ,20
000525.SZ,25
000526.SZ,30
000526.SZ,150
000528.SZ,13
000528.SZ,13
000528.SZ,17
000528.SZ,39
000528.SZ,25
000528.SZ,19
000528.SZ,28
000528.SZ,19
000528.SZ,59
000528.SZ,55
000530.SZ,22
000530.SZ,20
000530.SZ,19
000530.SZ,28
000530.SZ,70
000530.SZ,17
000530.SZ,25
000530.SZ,17
000530.SZ,25
000531.SZ,20
000531.SZ,117
000531.SZ,18
000532.SZ,21
000532.SZ,20
000532.SZ,22
000532.SZ,26
000532.SZ,7
000532.SZ,113
000532.SZ,19
000533.SZ,19
000533.SZ,20
000533.SZ,34
000533.SZ,14
000533.SZ,17
000533.SZ,50
000533.SZ,24
000533.SZ,17
000533.SZ,22
000533.SZ,25
000533.SZ,17
000533.SZ,19
000533.SZ,27
000534.SZ,30
000534.SZ,19
000534.SZ,70
000534.SZ,17
000534.SZ,22
000534.SZ,19
000534.SZ,26
000534.SZ,17
000534.SZ,27
000534.SZ,21
000536.SZ,46
000536.SZ,14
000536.SZ,16
000536.SZ,11
000536.SZ,17
000536.SZ,67
000536.SZ,8
000536.SZ,17
000536.SZ,19
000536.SZ,33
000536.SZ,52
000536.SZ,7
000537.SZ,23
000537.SZ,23
000537.SZ,25
000537.SZ,115
000537.SZ,20
000537.SZ,15
000537.SZ,7
000537.SZ,19
000538.SZ,7
000538.SZ,12
000538.SZ,19
000538.SZ,7
000538.SZ,7
000538.SZ,70
000538.SZ,38
000538.SZ,18
000538.SZ,31
000538.SZ,33
000538.SZ,23
000539.SZ,30
000539.SZ,19
000539.SZ,57
000539.SZ,32
000539.SZ,18
000539.SZ,74
000539.SZ,23
000539.SZ,15
000539.SZ,7
000539.SZ,19
000541.SZ,49
000541.SZ,19
000541.SZ,30
000543.SZ,23
000543.SZ,24
000543.SZ,17
000543.SZ,28
000543.SZ,19
000543.SZ,30
000543.SZ,19
000543.SZ,41
000543.SZ,14
000543.SZ,21
000543.SZ,45
000543.SZ,14
000545.SZ,41
000545.SZ,28
000545.SZ,20
000545.SZ,65
000545.SZ,24
000545.SZ,37
000545.SZ,20
000545.SZ,30
000545.SZ,19
000546.SZ,10
000546.SZ,25
000546.SZ,91
000546.SZ,20
000546.SZ,20
000546.SZ,21
000546.SZ,49
000546.SZ,30
000547.SZ,25
000547.SZ,17
000547.SZ,20
000547.SZ,7
000547.SZ,19
000547.SZ,58
000547.SZ,19
000547.SZ,17
000547.SZ,19
000547.SZ,21
000547.SZ,28
000547.SZ,27
000550.SZ,36
000550.SZ,28
000550.SZ,27
000550.SZ,163
000551.SZ,122
000551.SZ,25
000551.SZ,17
000551.SZ,75
000552.SZ,64
000552.SZ,28
000552.SZ,8
000552.SZ,19
000552.SZ,76
000552.SZ,17
000552.SZ,15
000552.SZ,19
000554.SZ,21
000554.SZ,21
000554.SZ,61
000554.SZ,64
000554.SZ,17
000554.SZ,27
000555.SZ,20
000555.SZ,20
000555.SZ,20
000555.SZ,37
000555.SZ,7
000555.SZ,63
000555.SZ,19
000555.SZ,45
000555.SZ,13
000555.SZ,32
000555.SZ,25
000558.SZ,20
000558.SZ,17
000558.SZ,19
000558.SZ,29
000558.SZ,19
000558.SZ,49
000558.SZ,20
000558.SZ,46
000558.SZ,20
000558.SZ,7
000559.SZ,56
000559.SZ,33
000559.SZ,13
000559.SZ,27
000559.SZ,25
000559.SZ,19
000559.SZ,19
000559.SZ,37
000559.SZ,21
000559.SZ,27
000560.SZ,27
000560.SZ,17
000560.SZ,26
000560.SZ,21
000560.SZ,62
000560.SZ,17
000560.SZ,39
000560.SZ,15
000560.SZ,17
000560.SZ,38
000561.SZ,19
000561.SZ,17
000561.SZ,21
000561.SZ,11
000561.SZ,17
000561.SZ,45
000561.SZ,21
000561.SZ,32
000561.SZ,19
000561.SZ,21
000561.SZ,47
000563.SZ,21
000563.SZ,20
000563.SZ,17
000563.SZ,33
000563.SZ,12
000563.SZ,22
000563.SZ,29
000563.SZ,14
000563.SZ,51
000563.SZ,18
000563.SZ,17
000563.SZ,19
000563.SZ,29
000564.SZ,19
000564.SZ,8
000564.SZ,26
000564.SZ,14
000564.SZ,17
000564.SZ,42
000564.SZ,40
000565.SZ,33
000565.SZ,20
000565.SZ,30
000565.SZ,23
000565.SZ,130
000565.SZ,17
000566.SZ,20
000566.SZ,27
000566.SZ,17
000566.SZ,62
000566.SZ,41
000566.SZ,19
000566.SZ,17
000566.SZ,19
000566.SZ,97
000567.SZ,26
000567.SZ,36
000567.SZ,29
000567.SZ,19
000567.SZ,22
000567.SZ,27
000568.SZ,57
000568.SZ,8
000568.SZ,19
000568.SZ,14
000568.SZ,19
000568.SZ,53
000568.SZ,10
000568.SZ,80
000568.SZ,60
000571.SZ,41
000571.SZ,22
000571.SZ,23
000571.SZ,25
000571.SZ,28
000571.SZ,21
000571.SZ,25
000572.SZ,20
000572.SZ,27
000572.SZ,31
000572.SZ,18
000572.SZ,8
000572.SZ,19
000572.SZ,25
000572.SZ,19
000572.SZ,27
000572.SZ,105
000573.SZ,104
000573.SZ,22
000573.SZ,48
000576.SZ,19
000576.SZ,17
000576.SZ,22
000576.SZ,24
000576.SZ,136
000576.SZ,11
000576.SZ,36
000581.SZ,59
000581.SZ,11
000581.SZ,16
000581.SZ,15
000581.SZ,7
000581.SZ,20
000581.SZ,9
000581.SZ,41
000581.SZ,43
000581.SZ,18
000581.SZ,10
000581.SZ,13
000581.SZ,27
000582.SZ,20
000582.SZ,41
000582.SZ,23
000582.SZ,12
000582.SZ,8
000582.SZ,7
000582.SZ,34
