trade_date,stock_code,stock_name,ts_code,path_source,label_class,label_A_high,label_A_mid,label_A_low,label_C,label_G,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,ret_t1_close,ret_t2_close,ret_t3_close,quality_tag,quality_tag_reason,quality_tag_industry_cap,quality_tag_rs20_floor,signal_triggered,signal_type,signal_time,signal_price,signal_reason,non_trigger_reason
20251107,600241.SH,时代万恒,600241.SH,A,A,0,0,1,0,0,0.8278702619582948,0.5114420935412026,0.901729219620356,0.9584123281698216,0.5746268656716416,0.8846380223660977,1.0,-0.0064377682403433,0.0010729613733906,-0.0107296137339055,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20251110,600510.SH,黑牡丹,600510.SH,B,A,1,0,0,0,0,0.7534517994203574,0.6307572383073496,0.5496728138013087,1.0,0.4395604395604391,0.8917647058823529,3.0,0.0655737704918031,0.0437158469945355,0.0918032786885245,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251111,600343.SH,航天动力,600343.SH,B,G,0,0,0,0,1,0.7247225951598865,0.6000501113585746,0.5136485317181332,0.98433480869944,0.5020242914979753,0.7977660199882423,3.0,0.0453709380748008,0.0324954015941141,0.0177805027590436,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-11-11 13:40:00,16.65,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=16.587,drawdown=2.059%)::tag0_gate_pass",
20251112,601968.SH,宝钢包装,601968.SH,B,C,0,0,0,1,0,0.7666873566447548,0.8088390868596881,0.2178695040830674,0.9943568539456552,0.2954545454545452,0.6573529411764706,3.0,-0.0087412587412587,-0.027972027972028,-0.0367132867132866,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-11-12 14:10:00,5.66590738,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=5.653,drawdown=1.552%)::tag0_gate_pass",
20251113,600201.SH,生物股份,600201.SH,B,A,0,1,0,0,0,0.8063103452177672,0.7460968819599109,0.3980855551349305,0.9995133101433278,0.2846441947565542,0.7394117647058823,3.0,0.0127334465195245,0.0212224108658742,0.0263157894736842,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251114,600157.SH,永泰能源,600157.SH,B,C,0,0,0,1,0,0.799066142653885,0.7959493318485523,0.1305770374776918,0.9936876088490084,0.363636363636363,0.7229411764705882,3.0,0.0056179775280897,-0.0393258426966292,-0.0674157303370787,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251117,605255.SH,天普股份,605255.SH,A,A,1,0,0,0,0,0.8400210902282457,0.6534521158129175,0.575124384835866,0.9745583408139104,0.2890365448504983,0.9234844025897588,2.0,0.0926192532872636,0.1460792782416737,0.0556675304731739,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251118,601360.SH,三六零,601360.SH,A,C,0,0,0,1,0,0.8465353415174951,0.6007572383073496,0.594856957438754,0.9838066163956888,0.425824175824176,0.9793996468510888,1.0,-0.0194244604316546,-0.0640287769784173,-0.0928057553956834,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251119,603489.SH,八方股份,603489.SH,A,G,0,0,0,0,1,0.7965055973176141,0.558413140311804,0.3181074576821156,0.9561255754996816,0.4455337690631808,0.969429747207525,2.0,-0.0250555026958453,-0.052965429749445,-0.0393276244846179,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20251120,600734.SH,实达集团,600734.SH,A,A,1,0,0,0,0,0.8470031366610784,0.5578396436525612,0.6104456221945812,0.9663457473925686,0.5135135135135135,0.9535020600353148,1.0,0.0221238938053098,0.1238938053097347,0.2367256637168142,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251121,000065.SZ,北方国际,000065.SZ,B,A,0,1,0,0,0,0.6854052066284932,0.7426447661469933,0.1059434319398626,0.8002866023673445,0.3736842105263162,0.888235294117647,3.0,0.032,0.016,0.0431999999999999,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-11-21 11:30:00,12.08,"tagged_prod_v1::quality_tag1::pullback_reclaim_support(support=12.000,drawdown=1.065%)",
20251124,600151.SH,航天机电,600151.SH,B,C,0,0,0,1,0,0.7481394496638146,0.63641425389755,0.6632821372559624,0.9825255555928823,0.4545454545454543,0.9252501471453796,3.0,0.0168918918918916,-0.0292792792792794,-0.0484234234234235,0,baseline_only,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-11-24 13:05:00,8.9,"tagged_prod_v1::quality_tag0::pullback_reclaim_support(support=8.887,drawdown=1.111%)::tag0_gate_pass",
20251125,600901.SH,江苏金租,600901.SH,B,C,0,0,0,1,0,0.7302800743347011,0.8265673719376391,0.184697961170299,0.9995654673217366,0.2934782608695648,0.8775750441436139,3.0,-0.018348623853211,-0.0198776758409785,-0.0122324159021406,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251126,603778.SH,国晟科技,603778.SH,A,A,1,0,0,0,0,0.8560237412795414,0.5033685968819599,0.5145340976691364,0.975890732415288,0.4475138121546959,0.9994114184814596,1.0,0.0343473994111873,0.1373895976447499,0.251226692836114,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,no_tagged_pattern_triggered
20251127,600803.SH,新奥股份,600803.SH,B,G,0,0,0,0,1,0.7053146030344057,0.7284910913140311,0.1114325888269969,0.9846524139812912,0.3926380368098161,0.909358446144791,3.0,-0.0042075736325385,0.0271154745208039,0.0172978027115475,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,1,pullback_confirm,2025-11-27 13:40:00,21.31,"tagged_prod_v1::quality_tag1::pullback_reclaim_support(support=21.243,drawdown=0.421%)",
