ts_code,trade_date,quadrant,selection_state,a_subtype,score_trend_axis,score_platform_axis,score_chip_axis,score_industry_axis,score_total
002386.SZ,20260115,missed_A,missed_A,mixed_A,0.30899856169120127,0.6118400418191322,,0.7458426408538099,
002487.SZ,20260115,missed_A,missed_A,mixed_A,0.044276660496704666,0.6326189231573445,,0.8025564656242243,
002546.SZ,20260115,missed_A,missed_A,mixed_A,0.6360276744525699,0.6742812336644015,,0.8025564656242243,
003039.SZ,20260115,missed_A,missed_A,mixed_A,0.7406972477271515,0.21863565081024566,,0.11178332092330603,
600096.SH,20260115,selected_A,selected_A,high_momentum_frontline_A,0.74393131216184,0.54594877156299,0.6494134433644762,0.676656738644825,0.6904124048750618
600346.SH,20260115,missed_A,missed_A,mixed_A,0.8165331257197281,0.4421066387872451,0.5882793452167656,0.06568006949615289,0.6093990734672029
600724.SH,20260115,missed_A,missed_A,chip_support_A,0.6493047535929846,0.29317825405122844,0.6135996846687548,0.15192975924547036,0.5301595872556244
600770.SH,20260115,missed_A,missed_A,mixed_A,0.4343698732072978,0.31241505488761107,0.29725200615737607,0.15192975924547036,0.3455289075185746
600860.SH,20260115,missed_A,missed_A,mixed_A,0.11590717509706236,0.6694981704129639,0.2319120703609828,0.5220277984611565,0.26118559194924673
600893.SH,20260115,missed_A,missed_A,mixed_A,0.4263357974388623,0.3726084683742812,0.41889844952490285,0.21093943906676596,0.3867942737980999
600969.SH,20260115,missed_A,missed_A,chip_support_A,0.5785014284317784,0.20407736539466803,0.7892722021568025,0.3308823529411765,0.5566088542357331
601121.SH,20260115,missed_A,missed_A,steady_structure_A,0.42713402823079377,0.6795870360690015,0.6651957440294393,0.08137875403325887,0.4600314668346457
601717.SH,20260115,missed_A,missed_A,mixed_A,0.05233057638678698,0.4180867746994249,0.5253706327205291,0.5220277984611565,0.27762079361264175
603119.SH,20260115,missed_A,missed_A,mixed_A,0.7258848066198926,0.500810245687402,0.5639699947207517,0.5834574336063539,0.6415345415998275
603239.SH,20260115,missed_A,missed_A,chip_support_A,0.45352998379795606,0.4297177208572922,0.7799382463274258,0.5834574336063539,0.5522399406075168
603285.SH,20260115,missed_A,missed_A,mixed_A,0.5541586800600172,0.24200209095661263,0.45352358339323234,0.7458426408538099,0.5265368411020495
603356.SH,20260115,selected_A,selected_A,mixed_A,0.834206615408659,0.2255096706743335,0.7712338031152493,0.23476669148672125,0.6676777292735835
603360.SH,20260115,missed_A,missed_A,mixed_A,0.20098325416319168,0.5095138525875588,0.6379713708140407,0.676656738644825,0.4124343658405856
603728.SH,20260115,missed_A,missed_A,mixed_A,0.5540106698815727,0.4818086774699425,0.3114932810242665,0.8025564656242243,0.5234429927874809
603730.SH,20260115,missed_A,missed_A,chip_support_A,0.4952958732877031,0.35810245687401987,0.7229311412836827,0.5834574336063539,0.5517095826931273
603949.SH,20260115,missed_A,missed_A,mixed_A,0.5495480133907505,0.3955044432828019,0.3689401891439913,0.5834574336063539,0.4940781133506064
603991.SH,20260115,missed_A,missed_A,mixed_A,0.1335177476391465,0.3984056455828542,0.656192631001664,0.6656428394142467,0.3704940220404117
605066.SH,20260115,missed_A,missed_A,mixed_A,0.40860299724798343,0.35005227391531624,0.4839146803387386,0.8025564656242243,0.4806688659438416
000420.SZ,20260116,missed_A,missed_A,mixed_A,0.5813982239535402,0.7118923157344484,0.5178709516734842,0.22735170017374037,0.5254588364946471
000682.SZ,20260116,missed_A,missed_A,chip_support_A,0.4569451177394043,0.3419236800836382,0.6467643034266929,0.8386696450732193,0.5501564494957221
000720.SZ,20260116,missed_A,missed_A,mixed_A,0.11428838345039449,0.8387872451646629,0.4333875924914681,0.8386696450732193,0.37517026112551344
000830.SZ,20260116,missed_A,missed_A,chip_support_A,0.5959041033143568,0.59636696288552,0.7478854846641709,0.5540456689004716,0.6276669694468439
001389.SZ,20260116,missed_A,missed_A,steady_structure_A,0.22583660256188004,0.7082070047046524,0.8260227477795125,0.7878505832712832,0.5084222761869759
002009.SZ,20260116,missed_A,missed_A,mixed_A,0.8932284804086066,0.5999215891270255,,0.3440680069496153,
002064.SZ,20260116,missed_A,missed_A,mixed_A,0.745989726654505,0.652038682697334,,0.22735170017374037,
002125.SZ,20260116,missed_A,missed_A,mixed_A,0.3677182317873251,0.5852848928384735,,0.5540456689004716,
002160.SZ,20260116,missed_A,missed_A,mixed_A,0.7156311171855725,0.357135389440669,,0.37000496401092087,
002326.SZ,20260116,missed_A,missed_A,mixed_A,0.6596120901161499,0.6861212754835337,,0.5540456689004716,
002426.SZ,20260116,missed_A,missed_A,high_momentum_frontline_A,0.8086780141299257,0.547961317302666,,0.7878505832712832,
002460.SZ,20260116,missed_A,missed_A,mixed_A,0.4002512735968913,0.23962362780972293,,0.41806279473814845,
002466.SZ,20260116,missed_A,missed_A,mixed_A,0.4225493245295534,0.3487454260324098,,0.41806279473814845,
002498.SZ,20260116,missed_A,missed_A,mixed_A,0.5325366897084166,0.5766074228959749,,0.8386696450732193,
002533.SZ,20260116,missed_A,missed_A,mixed_A,0.3840555347349597,0.6833507579717721,,0.8386696450732193,
002636.SZ,20260116,missed_A,missed_A,mixed_A,0.6396358465208456,0.41523784631468896,,0.7878505832712832,
002658.SZ,20260116,missed_A,missed_A,mixed_A,0.47293890903914404,0.5030841610036592,,0.3254529659965252,
600021.SH,20260116,missed_A,missed_A,mixed_A,0.3755189551016694,0.28770256142185047,0.38119372025240583,0.2357905187391412,0.3471967415669924
600348.SH,20260116,missed_A,missed_A,steady_structure_A,0.5750563085233676,0.6999738630423419,0.6643050459022387,0.1462211466865227,0.5455349740444561
600416.SH,20260116,missed_A,missed_A,high_momentum_frontline_A,0.6653294734471366,0.30274438055410346,0.477200433165882,0.8386696450732193,0.6080397298314321
600418.SH,20260116,missed_A,missed_A,mixed_A,0.133645270415997,0.2640616832200732,0.2680791843440133,0.10976669148672127,0.1767136033390173
600509.SH,20260116,missed_A,missed_A,mixed_A,0.24984898869517716,0.6044955567171981,0.6305379678390604,0.2357905187391412,0.37837711978994465
600563.SH,20260116,missed_A,missed_A,mixed_A,0.2241936261778484,0.7825666492420282,0.154536682405851,0.7878505832712832,0.3471652361052822
600576.SH,20260116,missed_A,missed_A,mixed_A,0.48467917924767334,0.7161787767903816,0.21757573538896263,0.16288160833953835,0.39278364240104624
600862.SH,20260116,missed_A,missed_A,mixed_A,0.6628350429293339,0.31960271824359643,0.45661791594926693,0.023982377761231074,0.48112962894052796
601096.SH,20260116,missed_A,missed_A,mixed_A,0.6132168434392739,0.3208572922111866,0.5215519973103916,0.17873541821792008,0.49589246300104156
601616.SH,20260116,selected_A,selected_A,high_momentum_frontline_A,0.7503943993333,0.33783324621014116,0.5563765403315719,0.8386696450732193,0.67387510613154
601958.SH,20260116,selected_A,selected_A,mixed_A,0.8691967074712451,0.2152901202300052,0.6429048279582231,0.41806279473814845,0.6795629919589011
603080.SH,20260116,missed_A,missed_A,mixed_A,0.23977164483900787,0.6406429691583899,0.41767013060135955,0.26904939190866217,0.32872506077198216
603090.SH,20260116,selected_A,selected_A,high_momentum_frontline_A,0.9044958979100811,0.3428646105593309,0.8451895245445934,0.6390543559195829,0.7936899445350595
603161.SH,20260116,missed_A,missed_A,high_momentum_frontline_A,0.7179111393043959,0.4116309461578672,0.5624527407934454,0.812391412261107,0.6625905613055121
603290.SH,20260116,missed_A,missed_A,mixed_A,0.4276794117392955,0.4149503397804495,0.3990113709955173,0.8298275006205014,0.47956170768964723
603306.SH,20260116,missed_A,missed_A,steady_structure_A,0.24634131849425875,0.6716675378985886,0.8614063912774834,0.812391412261107,0.5275477226955252
603312.SH,20260116,missed_A,missed_A,mixed_A,0.11569274362458427,0.5816779926816518,0.28419977069805213,0.8386696450732193,0.31286456051595324
603399.SH,20260116,missed_A,missed_A,mixed_A,0.1367223307553227,0.2733925771040251,0.37492414160588183,0.41806279473814845,0.25214087770025656
603608.SH,20260116,missed_A,missed_A,mixed_A,0.81687405864104,0.40109775222164135,0.48929407321657975,0.12248696947133285,0.589243368267529
603638.SH,20260116,missed_A,missed_A,mixed_A,0.4739979275133989,0.7660219550444329,0.5543653532375622,0.6390543559195829,0.5480506509584707
603936.SH,20260116,missed_A,missed_A,mixed_A,0.22764857009428927,0.5863826450601151,0.4015285219035613,0.7878505832712832,0.39102226751973895
603997.SH,20260116,missed_A,missed_A,mixed_A,0.2130747376266552,0.6818870883429168,0.5596105003615061,0.812391412261107,0.4364874145771619
000025.SZ,20260119,missed_A,missed_A,mixed_A,0.12257811863365208,0.7407997909043387,0.2094097457786547,0.241530156366344,0.22395099830687518
000048.SZ,20260119,missed_A,missed_A,mixed_A,0.5992847356899127,0.44273392577104026,0.35813919052204013,0.5312422437329362,0.5131368946125109
000534.SZ,20260119,missed_A,missed_A,chip_support_A,0.5489242484970563,0.5140616832200732,0.8624305685763716,0.11528915363613801,0.5587693077600491
000571.SZ,20260119,missed_A,missed_A,steady_structure_A,0.6104799908444469,0.7203868269733402,0.7110179609429492,0.3048523206751055,0.6007610164565607
000655.SZ,20260119,missed_A,missed_A,mixed_A,0.5564198901745476,0.7542341871406167,0.5345573187207119,0.4751489203276247,0.5585450315306572
000722.SZ,20260119,missed_A,missed_A,mixed_A,0.2565097891312901,0.586983795086252,0.19751682511060492,0.5682551501613303,0.321570752876121
000816.SZ,20260119,missed_A,missed_A,steady_structure_A,0.45635001843195566,0.7634866701515943,0.6120077789320837,0.32132663191859023,0.5057246157519467
000932.SZ,20260119,missed_A,missed_A,mixed_A,0.08937535840743119,0.5078541557762677,0.5039088417983174,0.4751489203276247,0.2927226432800654
002001.SZ,20260119,missed_A,missed_A,mixed_A,0.35033423988605966,0.7323052796654469,,0.47266691486721274,
002008.SZ,20260119,missed_A,missed_A,high_momentum_frontline_A,0.8424956205672277,0.5681651855723994,,0.6392405063291139,
002169.SZ,20260119,missed_A,missed_A,high_momentum_frontline_A,0.8796681411332864,0.7010977522216414,,0.9391288160833955,
002170.SZ,20260119,missed_A,missed_A,mixed_A,0.2568179358984475,0.754861474124412,,0.8517932489451476,
002182.SZ,20260119,missed_A,missed_A,high_momentum_frontline_A,0.8908122200231479,0.45151594354417146,,0.6544117647058824,
002183.SZ,20260119,missed_A,missed_A,mixed_A,0.3882376455357567,0.559762153685311,,0.4223752792256143,
002192.SZ,20260119,missed_A,missed_A,mixed_A,0.3530477212790067,0.29276006272869837,,0.6544117647058824,
002195.SZ,20260119,missed_A,missed_A,mixed_A,0.9008262880648852,0.1010977522216414,,0.19570613055348723,
002196.SZ,20260119,missed_A,missed_A,mixed_A,0.9009188335634774,0.6872190277051751,,0.3615351203772649,
002237.SZ,20260119,missed_A,missed_A,high_momentum_frontline_A,0.6822919774989793,0.4616048092002091,,0.6193224125093075,
002239.SZ,20260119,missed_A,missed_A,mixed_A,0.24100535994743266,0.7260585467851541,,0.80994043186895,
002245.SZ,20260119,missed_A,missed_A,mixed_A,0.544742027725209,0.7499215891270256,,0.9391288160833955,
002250.SZ,20260119,missed_A,missed_A,high_momentum_frontline_A,0.9058633516432527,0.17553580763199164,,0.8681434599156117,
002290.SZ,20260119,missed_A,missed_A,mixed_A,0.9039592408824647,0.2173810768426555,,0.5362993298585257,
002340.SZ,20260119,missed_A,missed_A,high_momentum_frontline_A,0.7596039922712157,0.5728959749085206,,0.6544117647058824,
002405.SZ,20260119,missed_A,missed_A,mixed_A,0.6907296504106979,0.28614741244119185,,0.19570613055348723,
002434.SZ,20260119,missed_A,missed_A,mixed_A,0.4701722125982396,0.5703084161003659,,0.80994043186895,
002478.SZ,20260119,missed_A,missed_A,mixed_A,0.6923036126217801,0.28204391008886565,,0.4515698684537106,
002493.SZ,20260119,missed_A,missed_A,high_momentum_frontline_A,0.7984451572481239,0.7205959226346054,,0.7611690245718541,
002539.SZ,20260119,missed_A,missed_A,high_momentum_frontline_A,0.6688305751831599,0.7243335075797177,,0.8517932489451476,
002540.SZ,20260119,missed_A,missed_A,mixed_A,0.4149505446901954,0.7766074228959747,,0.6282266070985356,
002553.SZ,20260119,missed_A,missed_A,mixed_A,0.4785592570929118,0.76871406168322,,0.80994043186895,
002579.SZ,20260119,missed_A,missed_A,mixed_A,0.16387446462798155,0.6048614741244119,,0.6792938694465128,
002601.SZ,20260119,missed_A,missed_A,mixed_A,0.4423246060361412,0.5808677469942498,,0.8681434599156117,
002716.SZ,20260119,missed_A,missed_A,high_momentum_frontline_A,0.9090898572589748,0.14918975431259798,,0.6544117647058824,
002734.SZ,20260119,missed_A,missed_A,mixed_A,0.3538031590752001,0.44309984317825407,,0.8517932489451476,
002738.SZ,20260119,missed_A,missed_A,high_momentum_frontline_A,0.7895312357056965,0.5288290642969158,,0.6544117647058824,
002838.SZ,20260119,missed_A,missed_A,mixed_A,0.4532597256317141,0.22114479874542603,,0.5188942665673864,
002993.SZ,20260119,missed_A,missed_A,mixed_A,0.5507129947180982,0.5413486670151595,,0.6792938694465128,
003022.SZ,20260119,missed_A,missed_A,mixed_A,0.47852724958817683,0.8150026136957658,,0.8681434599156117,
600078.SH,20260119,missed_A,missed_A,mixed_A,0.27238801052754147,0.24304756926293777,0.5519322604154859,0.8681434599156117,0.42870334628127776
600166.SH,20260119,missed_A,missed_A,steady_structure_A,0.34921073638024563,0.779273392577104,0.5808570146613542,0.40689377016629436,0.45878102663811593
600189.SH,20260119,missed_A,missed_A,chip_support_A,0.40995074457901015,0.3122582331416623,0.6113411613892566,0.2812422437329362,0.4312228225109259
600282.SH,20260119,missed_A,missed_A,mixed_A,0.21596916222333487,0.345739675901725,0.453205545643439,0.4751489203276247,0.32713227316184335
600313.SH,20260119,missed_A,missed_A,mixed_A,0.10210820022677307,0.8616048092002091,0.3397754164438298,0.418807396376272,0.2849795446008057
600328.SH,20260119,missed_A,missed_A,mixed_A,0.3691774056489256,0.5765290120230004,0.5005707556552843,0.8681434599156117,0.4976058119279257
600361.SH,20260119,missed_A,missed_A,mixed_A,0.27921606373404906,0.4889832723470988,0.4428584614679408,0.6282266070985356,0.3934549655334999
600470.SH,20260119,missed_A,missed_A,mixed_A,0.1796805410582475,0.7110559330893884,0.41307621462017774,0.8517932489451476,0.3919839048348791
600610.SH,20260119,missed_A,missed_A,mixed_A,0.16149659857537596,0.5290120230005227,0.16110118204630047,0.8681434599156117,0.3041463160866571
600759.SH,20260119,missed_A,missed_A,mixed_A,0.8300451091451058,0.3680345007841087,0.5634406579715906,0.15860014892032764,0.6164761914819106
600801.SH,20260119,missed_A,missed_A,mixed_A,0.11843031034919482,0.4116832200731835,0.613404702919278,0.28291759741871436,0.2961722925245424
600841.SH,20260119,missed_A,missed_A,mixed_A,0.3296398409451282,0.2938839519079979,0.3662752482259684,0.80994043186895,0.40726819250019847
600938.SH,20260119,missed_A,missed_A,mixed_A,0.11191992795233097,0.46327757449032936,0.5344420106762999,0.15860014892032764,0.2596882464323226
600989.SH,20260119,selected_A,selected_A,chip_support_A,0.6326873440308179,0.6049921589127025,0.6059975984074488,0.8681434599156117,0.6585638064958832
601118.SH,20260119,missed_A,missed_A,chip_support_A,0.5090968555258168,0.5678254051228437,0.6380054641667013,0.18804293869446512,0.4990387751210379
601865.SH,20260119,missed_A,missed_A,mixed_A,0.2757026999574319,0.6654469419759539,0.2451461266048066,0.3021841648051626,0.3110102005482874
601965.SH,20260119,missed_A,missed_A,mixed_A,0.297002034324335,0.3654208050182959,0.35955279549456165,0.1535740878629933,0.29796740971708646
601991.SH,20260119,missed_A,missed_A,mixed_A,0.26801859407165535,0.3185311029796131,0.508700543811855,0.6514954082898983,0.3907618545302375
603050.SH,20260119,missed_A,missed_A,mixed_A,0.43973177765570926,0.6044432828018818,0.5790207060894865,0.9391288160833955,0.5659347160429238
603077.SH,20260119,missed_A,missed_A,mixed_A,0.1675419754028711,0.34137480397281755,0.5111927690646844,0.8681434599156117,0.3759281793522301
603379.SH,20260119,missed_A,missed_A,mixed_A,0.22259725068931258,0.5317302665969681,0.722046423279944,0.8681434599156117,0.47520477681168083
603380.SH,20260119,missed_A,missed_A,steady_structure_A,0.5313642141720685,0.7208834291688447,0.6683416018611364,0.6792938694465128,0.6067499308851797
603505.SH,20260119,missed_A,missed_A,chip_support_A,0.3869242719185062,0.5926032409827495,0.624253147504419,0.8681434599156117,0.5390072659209746
603619.SH,20260119,missed_A,missed_A,chip_support_A,0.5915437136447205,0.2673941453214846,0.6799378943253909,0.15860014892032764,0.5162857672739055
603628.SH,20260119,missed_A,missed_A,mixed_A,0.07503643718397729,0.8047307893361212,0.2726108898322022,0.9391288160833955,0.32701334239616064
603806.SH,20260119,missed_A,missed_A,mixed_A,0.5723074992991972,0.7529796131730266,0.2879116517132291,0.5188942665673864,0.5112637638803165
603989.SH,20260119,missed_A,missed_A,mixed_A,0.41884613638843127,0.8071353894406691,0.3217050595286286,0.6792938694465128,0.4724569524374166
605376.SH,20260119,missed_A,missed_A,steady_structure_A,0.464669194872573,0.6514898065865132,0.8563563119479581,0.6544117647058824,0.6097344207878097
000565.SZ,20260120,missed_A,missed_A,mixed_A,0.18808960229513363,0.27192890747516985,0.24619808468652693,0.5495470340034748,0.26521926816723673
000681.SZ,20260120,missed_A,missed_A,mixed_A,0.7618793279092861,0.13476215368531103,0.49164304928568225,0.28977413750310255,0.5607927622700601
000968.SZ,20260120,missed_A,missed_A,mixed_A,0.41049503013627653,0.5098797699947726,0.2220669958433253,0.174795234549516,0.33797152621087423
002043.SZ,20260120,missed_A,missed_A,mixed_A,0.03371297851102488,0.3249869315211709,,0.44527177959791514,
002078.SZ,20260120,missed_A,missed_A,mixed_A,0.16854889390329447,0.4969419759539989,,0.3302308265078183,
002156.SZ,20260120,missed_A,missed_A,mixed_A,0.9043745673467636,0.31008886565603766,,0.5821854058078928,
002165.SZ,20260120,missed_A,missed_A,mixed_A,0.6097740745925675,0.5979090433873496,,0.8486286919831223,
002271.SZ,20260120,missed_A,missed_A,mixed_A,0.5773705578772005,0.7562990067956089,,0.44527177959791514,
002312.SZ,20260120,missed_A,missed_A,mixed_A,0.31806101800793973,0.7065342394145321,,0.8486286919831223,
002318.SZ,20260120,missed_A,missed_A,mixed_A,0.6904528646761542,0.7451646628332461,,0.12655125341275753,
002335.SZ,20260120,missed_A,missed_A,mixed_A,0.6094739925896061,0.31220595922634603,,0.75,
002400.SZ,20260120,missed_A,missed_A,mixed_A,0.871876361113908,0.09030318870883428,,0.33187515512534127,
002470.SZ,20260120,missed_A,missed_A,mixed_A,0.0882428911602352,0.6942498693152117,,0.6715686274509803,
002488.SZ,20260120,missed_A,missed_A,high_momentum_frontline_A,0.9062193147852259,0.40585467851542073,,0.6587862993298585,
002490.SZ,20260120,missed_A,missed_A,mixed_A,0.7522893689773825,0.21366962885520124,,0.056806899975179945,
002603.SZ,20260120,missed_A,missed_A,mixed_A,0.14749852724886656,0.6630423418714062,,0.1295606850335071,
002648.SZ,20260120,missed_A,missed_A,high_momentum_frontline_A,0.7906127385687107,0.5972033455305803,,0.8486286919831223,
002785.SZ,20260120,missed_A,missed_A,mixed_A,0.593585720696761,0.46468897020386823,,0.44527177959791514,
002842.SZ,20260120,missed_A,missed_A,mixed_A,0.9082166793937693,0.2835075797177209,,0.296692727724001,
