feature,family,n_a_nonnull,n_c_nonnull,missing_rate_a,missing_rate_c,missing_rate_gap_abs,missing_rate_max,median_a,median_c,median_diff_a_minus_c,direction,cliffs_delta,abs_cliffs_delta,effect_bucket,mannwhitney_pvalue,heavy_tail_flag,tail_ratio_q99q01_over_iqr,ready_cliffs_delta,ready_delta_shift_abs,winsorize_recheck_suggest
f_trend_ma20_slope5,strength,1412,11187,0.05043712172158709,0.03067325188458539,0.0197638698370017,0.05043712172158709,0.010717444613974725,0.0064934043991635715,0.004224040214811153,A更高,0.12205663645910336,0.12205663645910336,negligible,7.136997910817685e-14,0,6.7304801728983366,0.11421062540106686,0.007846011058036506,0
f_up_down_vol_ratio20,volume,1209,9422,0.18695359784801613,0.18360627328654364,0.0033473245614724922,0.18695359784801613,1.2973004278724232,1.2433721247140261,0.05392830315839703,A更高,0.11342863147493354,0.11342863147493354,negligible,1.2699349991699224e-10,0,5.028256051880459,0.12428573957687883,0.01085710810194529,0
f_chip_concentration,chip,1487,11541,0.0,0.0,0.0,0.0,0.12283812054830648,0.11322347266881028,0.009614647879496202,A更高,0.10873761549639083,0.10873761549639083,negligible,8.17951282671425e-12,0,4.707021315283639,0.11576603190337997,0.007028416406989146,0
f_k_upper_shadow_ratio,kline,1484,11512,0.0020174848688634837,0.0025127805216185774,0.0004952956527550937,0.0025127805216185774,0.17576961271102198,0.20000000000000118,-0.024230387288979194,A更低,-0.09685486982761693,0.09685486982761693,negligible,1.0858173445976853e-09,0,2.6347624786036756,-0.10129919214154515,0.004444322313928217,0
f_k_close_pos,kline,1484,11512,0.0020174848688634837,0.0025127805216185774,0.0004952956527550937,0.0025127805216185774,0.8181818181818183,0.7940053884149092,0.024176429766909147,A更高,0.0960543457290084,0.0960543457290084,negligible,1.4967693996541424e-09,0,2.895996326107293,0.10422904790353238,0.008174702174523985,0
f_chip_low_position120,chip,1100,8542,0.26025554808338935,0.2598561649770384,0.00039938310635095897,0.26025554808338935,0.5305103836474612,0.5097636623346311,0.020746721312830063,A更高,0.08690310976777837,0.08690310976777837,negligible,2.619927998419136e-06,0,2.9220747880622757,0.0868763913298185,2.671843795987172e-05,0
f_k_lower_shadow_ratio,kline,1484,11512,0.0020174848688634837,0.0025127805216185774,0.0004952956527550937,0.0025127805216185774,0.10348647768002524,0.12500000000000833,-0.02151352231998309,A更低,-0.08403313827924075,0.08403313827924075,negligible,1.2654922776356373e-07,0,3.808901098882668,-0.0852030116345498,0.001169873355309048,0
f_ind_peer_strong_count,industry,1487,11541,0.0,0.0,0.0,0.0,3.0,3.0,0.0,A更高,0.0829860291081177,0.0829860291081177,negligible,1.5395155544321666e-07,0,5.666666666665722,0.08752403408709974,0.0045380049789820465,0
f_low_vol_days10,volume,1487,11541,0.0,0.0,0.0,0.0,5.0,6.0,-1.0,A更低,-0.07980226865220785,0.07980226865220785,negligible,4.4287486250845816e-07,0,1.666666666666389,-0.07241982252487811,0.007382446127329745,0
f_platform_compress_ratio,platform,1440,11278,0.03160726294552791,0.022788319902954685,0.008818943042573225,0.03160726294552791,1.0461415319636505,1.027438580429373,0.018702951534277368,A更高,0.07963623869480396,0.07963623869480396,negligible,8.273312651723233e-07,0,3.5922856756314463,0.07726914107021421,0.0023670976245897535,0
f_vol20_vol60,volume,1297,10331,0.12777404169468728,0.10484360107443029,0.022930440620256995,0.12777404169468728,1.021314128677992,0.9921310116928653,0.029183116985126767,A更高,0.06387591537383241,0.06387591537383241,negligible,0.0001729989030644935,0,3.6933152335440047,0.06409693489067037,0.0002210195168379503,0
f_ind_strength_3d,industry,1487,11541,0.0,0.0,0.0,0.0,0.7545454545454545,0.7207207207207207,0.03382473382473383,A更高,0.05263955581419699,0.05263955581419699,negligible,0.000936219098495254,0,2.50459981600058,0.056603118505109684,0.003963562690912692,0
f_ind_breadth,industry,1487,11541,0.0,0.0,0.0,0.0,0.6764705882352942,0.7,-0.0235294117647058,差异弱,-0.04870189710471717,0.04870189710471717,negligible,0.00219699722868958,0,2.385457422318186,-0.04265384509477155,0.006048052009945626,0
f_chip_peak_dominance,chip,1485,11540,0.0013449899125756557,8.664760419374404e-05,0.0012583423083819116,0.0013449899125756557,0.22439413682128395,0.20669344673755602,0.017700690083727932,差异弱,0.04808646838109576,0.04808646838109576,negligible,0.002519827364421937,0,2.9844923243949717,0.03981260090924943,0.00827386747184633,0
f_chip_secondary_peak_ratio,chip,1485,11540,0.0013449899125756557,8.664760419374404e-05,0.0012583423083819116,0.0013449899125756557,0.775605863178716,0.7933065532624439,-0.017700690083727877,差异弱,-0.048086410027484594,0.048086410027484594,negligible,0.0025198578725914808,0,2.9844923243949713,-0.03981252596040574,0.008273884067078852,0
f_platform_len,platform,1487,11541,0.0,0.0,0.0,0.0,14.0,20.0,-6.0,差异弱,-0.045829240588814435,0.045829240588814435,negligible,0.0034148841767885187,0,3.62499999999995,-0.03351520522656093,0.012314035362253506,0
f_ind_strength_5d,industry,1487,11541,0.0,0.0,0.0,0.0,0.7339449541284404,0.7064220183486238,0.02752293577981657,差异弱,0.04564499060598948,0.04564499060598948,negligible,0.0041134720372939925,0,2.499171036627357,0.04234256924690394,0.003302421359085539,0
f_chip_peak_count_sig,chip,1485,11540,0.0013449899125756557,8.664760419374404e-05,0.0012583423083819116,0.0013449899125756557,2.0,2.0,0.0,差异弱,-0.044637828312005134,0.044637828312005134,negligible,0.0028481727981265444,0,4.9999999999949996,-0.037106947652879474,0.0075308806591256605,0
