trade_date,ts_code,name,industry,event_type_candidate,candidate_condition_count,pct_chg,vol_ratio20,close_pos,platform_range_20,entry_date,entry_possible,max_favorable_excursion,max_adverse_excursion
20260306,000815.SZ,美利云,通信设备,trend_high_like,4,9.98,0.9806671486201424,1.0,0.23230490018148828,20260309,True,0.1935874168179068,-0.04355716878402904
20260306,002506.SZ,协鑫集成,电气设备,trend_high_like,4,10.1,0.877677849307278,1.0,0.43379790940766555,20260309,True,0.12566371681415922,-0.04778761061946912
20260306,600775.SH,南京熊猫,通信设备,trend_high_like,3,1.16,2.440068430421174,0.6235294117647054,0.11193029490616621,20260309,True,0.19647887323943647,0.0
20260306,603778.SH,国晟科技,电气设备,trend_high_like,3,10.03,1.0991566511405937,1.0,0.26971428571428574,20260309,True,0.3255406195207482,-0.0005844535359438296
20260305,603316.SH,诚邦股份,建筑工程,breakout_like,6,5.99,2.664530544364422,0.4629629629629629,0.14918566775244294,20260306,True,0.12264763140817658,0.0
20260305,002986.SZ,宇新股份,化工原料,breakout_strong,6,10.03,2.5897183647180517,1.0,0.23131443298969073,20260306,True,0.1380387257963771,-0.026858213616489768
20260305,600513.SH,联环药业,化学制药,breakout_like,6,6.33,1.8565499538622372,0.6270270270270266,0.1855530474040632,20260306,True,0.10177192185370276,-0.00045433893684698745
20260305,000720.SZ,新能泰山,电气设备,breakout_like,6,3.36,1.736153727309033,0.4090909090909089,0.10327455919395469,20260306,True,0.15671641791044788,-0.004975124378109319
20260305,002952.SZ,亚世光电,元器件,breakout_strong,6,10.0,1.4556693642615566,1.0,0.18484500574052806,20260306,True,0.10679611650485432,-0.04699029126213594
20260305,601616.SH,广电电气,电气设备,breakout_like,5,3.7,1.6354723269114768,0.5999999999999994,0.13928571428571418,20260306,True,0.14795008912655971,-0.0017825311942960553
20260305,002857.SZ,三晖电气,电器仪表,trend_high_like,4,10.0,2.3788565374164516,1.0,0.15177832919768397,20260306,True,0.11309523809523814,-0.005952380952380931
20260305,000920.SZ,沃顿科技,塑料,trend_high_like,4,10.01,2.119207602403742,1.0,0.10196649672250549,20260306,True,0.10592592592592598,-0.029629629629629672
20260305,002451.SZ,摩恩电气,电气设备,breakout_strong,4,2.99,1.9009217642868874,0.6969696969696981,0.08925318761384339,20260306,True,0.10091743119266061,0.0
20260305,002198.SZ,嘉应制药,中成药,trend_high_like,4,0.55,1.394986817918547,0.2916666666666676,0.08689839572192518,20260306,True,0.11261872455902289,-0.013568521031207648
20260305,600710.SH,苏美达,商贸代理,trend_high_like,4,5.41,1.1752542733224836,0.8734177215189877,0.2063037249283668,20260306,True,0.10217391304347823,-0.007971014492753725
20260305,601669.SH,中国电建,建筑工程,trend_high_like,3,2.68,1.7035039314278302,0.6666666666666666,0.0764006791171476,20260306,True,0.15451388888888906,-0.005208333333333259
20260304,001696.SZ,宗申动力,摩托车,breakout_like,5,5.75,3.404981680870497,0.6345177664974623,0.11371681415929204,20260305,True,0.14933333333333332,-0.008888888888888835
20260304,603826.SH,坤彩科技,染料涂料,trend_high_like,5,6.74,1.5707342195573604,0.8709677419354847,0.26232558139534884,20260305,True,0.13388734995383178,-0.024930747922437657
20260304,001258.SZ,立新能源,新型电力,trend_high_like,4,2.55,1.5386011404607505,0.843750000000003,0.07872078720787214,20260305,True,0.27250308261405687,-0.008631319358816336
20260304,600482.SH,中国动力,船舶,trend_high_like,4,5.73,1.1112188342429499,0.8720538720538735,0.27491408934707906,20260305,True,0.12492836676217767,-0.005444126074498512
20260303,002350.SZ,北京科锐,电气设备,breakout_strong,6,10.01,2.9086847457757914,1.0,0.28961748633879786,20260304,True,0.2683333333333333,-0.0008333333333333526
20260303,605366.SH,宏柏新材,化工原料,breakout_like,6,4.95,2.664401938930114,0.6261682242990663,0.2927083333333333,20260304,True,0.1366459627329193,0.0
20260303,600149.SH,廊坊发展,综合类,trend_high_like,5,4.62,2.4445752943578993,0.46774193548387094,0.18944099378881996,20260304,True,0.2295345104333868,0.0
20260303,002383.SZ,合众思壮,通信设备,trend_high_like,4,1.98,3.8341112746142234,0.6018518518518505,0.12500000000000003,20260304,True,0.11583333333333345,-0.03500000000000003
20260227,600516.SH,方大炭素,矿物制品,breakout_strong,6,5.87,2.491179159801049,0.7884615384615377,0.12175324675324675,20260302,True,0.10789049919484706,-0.01610305958132041
20260227,002628.SZ,成都路桥,建筑工程,breakout_strong,6,10.02,2.3158527642868516,1.0,0.15831663326653306,20260302,True,0.137142857142857,-0.011428571428571344
20260227,600803.SH,新奥股份,供气供热,breakout_strong,6,3.03,1.4811525310600708,0.8805970149253753,0.05969412925505678,20260302,True,0.1690476190476191,-0.02619047619047621
20260227,001282.SZ,三联锻造,汽车配件,breakout_strong,5,6.36,4.317791394965516,0.8232323232323225,0.10359964881474976,20260302,True,0.1428571428571428,-0.019599303135888424
20260227,603897.SH,长城科技,电气设备,breakout_strong,5,10.02,3.644806801345983,1.0,0.11735941320293397,20260302,True,0.18305647840531547,-0.0009966777408638716
20260227,600956.SH,新天绿能,供气供热,breakout_strong,5,3.44,1.9311397621103072,1.0,0.0677749360613811,20260302,True,0.11508951406649626,-0.008951406649616356
20260227,600301.SH,华锡有色,小金属,trend_high_like,5,10.01,1.411266101319163,1.0,0.30318208603417796,20260302,True,0.17797637079672834,-0.03226295062102391
20260227,603093.SH,南华期货,多元金融,trend_high_like,4,10.02,3.1342575744317633,1.0,0.10309801929913667,20260302,True,0.13679480778831743,0.0
20260227,600025.SH,华能水电,水力发电,breakout_strong,4,1.08,1.2180176096145665,0.8571428571428481,0.045258620689655166,20260302,True,0.10470085470085477,-0.005341880341880212
20260227,000852.SZ,石化机械,化工机械,trend_high_like,4,3.71,1.0932198430915347,0.8750000000000028,0.09327036599763883,20260302,True,0.11525029103608841,-0.02677532013969741
20260227,601139.SH,深圳燃气,供气供热,trend_high_like,4,1.02,0.843419992562857,0.8888888888888911,0.04166666666666667,20260302,True,0.1228813559322035,-0.039548022598870136
20260227,002380.SZ,科远智慧,软件服务,trend_high_like,3,1.85,0.7033513019569007,0.8173076923076943,0.16143234517170532,20260302,True,0.24625000000000008,0.0
20260226,600979.SH,广安爱众,水力发电,breakout_strong,6,10.07,5.162307193789402,1.0,0.05555555555555551,20260227,True,0.11646586345381515,-0.012048192771084487
20260226,603070.SH,万控智造,电气设备,breakout_like,6,5.64,3.120499092828715,0.6043165467625896,0.08425865447419993,20260227,True,0.10797237915881985,0.0
20260226,600644.SH,乐山电力,水力发电,breakout_strong,6,4.32,2.532545412358305,0.8923076923076919,0.10373443983402489,20260227,True,0.17563025210084038,0.0
20260226,002384.SZ,东山精密,元器件,breakout_strong,6,8.01,1.929324053550829,0.7966537966537968,0.17570552147239255,20260227,True,0.17418203450327185,-0.0005948839976204212
20260226,001339.SZ,智微智能,IT设备,breakout_strong,6,10.01,1.8381660443164682,1.0,0.11834520176330955,20260227,True,0.14050000000000007,-0.02533333333333343
20260226,600744.SH,华银电力,火力发电,breakout_strong,5,10.06,3.110962870951621,1.0,0.1072961373390558,20260227,True,0.21505376344086002,-0.0026881720430108613
20260226,000791.SZ,甘肃能源,水力发电,breakout_strong,5,3.92,1.9347676298465655,0.7000000000000015,0.07396870554765297,20260227,True,0.15833333333333321,-0.00694444444444442
20260226,601083.SH,锦江航运,水运,breakout_like,5,1.33,1.3035113201152102,0.6538461538461541,0.05901639344262286,20260227,True,0.12919051512673763,-0.00817661488143906
20260226,002796.SZ,世嘉科技,通信设备,trend_high_like,5,6.64,1.201017162293556,0.8947368421052635,0.2045365662886195,20260227,True,0.14342708956712547,-0.04647915419908244
20260226,002733.SZ,雄韬股份,电气设备,breakout_strong,4,2.9,2.8370066511882515,0.8163265306122452,0.1070615034168564,20260227,True,0.13071593533487302,-0.014318706697459493
20260226,600318.SH,新力金融,多元金融,breakout_strong,4,1.57,2.1982778178223015,0.8076923076923062,0.05843439911797146,20260227,True,0.10816777041942593,-0.0033112582781458233
20260226,600821.SH,金开新能,新型电力,trend_high_like,4,2.75,1.9218442985205373,0.40909090909090806,0.2038123167155426,20260227,True,0.2545454545454544,0.0
20260226,603318.SH,水发燃气,供气供热,trend_high_like,4,1.25,1.3703286650534312,0.7500000000000009,0.06557377049180334,20260227,True,0.4746227709190671,-0.010973936899862813
20260226,002491.SZ,通鼎互联,通信设备,trend_high_like,4,9.97,0.588744094277137,1.0,0.4588014981273408,20260227,True,0.30335968379446654,-0.010869565217391242
20260226,000993.SZ,闽东电力,水力发电,trend_high_like,3,2.26,1.830814201505733,0.46969696969696767,0.12592592592592589,20260227,True,0.15914307574598308,-0.004590665646518777
20260226,000731.SZ,四川美丰,农药化肥,trend_high_like,3,0.28,1.1512388039447465,0.5294117647058817,0.08390646492434656,20260227,True,0.21229050279329598,-0.005586592178770999
20260226,600725.SH,云维股份,商贸代理,trend_high_like,3,1.24,0.9511954237639845,0.6363636363636371,0.1428571428571428,20260227,True,0.11860940695296529,-0.002044989775051076
20260226,603393.SH,新天然气,供气供热,trend_high_like,3,1.71,0.8763288185435673,0.644067796610168,0.1328606658446362,20260227,True,0.29656250000000006,0.0
20260225,601975.SH,招商南油,水运,breakout_like,6,4.63,3.243041373732575,0.4615384615384618,0.18500000000000005,20260226,True,0.3466334164588529,-0.004987531172069737
20260225,600428.SH,中远海特,水运,breakout_like,6,3.71,2.0815212583047367,0.5079365079365092,0.11259079903147697,20260226,True,0.13381995133819946,-0.018248175182481785
20260225,605196.SH,华通线缆,电气设备,breakout_strong,6,9.98,1.4991259279486822,0.9979591836734698,0.2524354087251165,20260226,True,0.1304347826086958,-0.026003744539213614
20260225,600507.SH,方大特钢,特种钢,trend_high_like,5,4.08,1.532369197454328,0.5652173913043474,0.11360239162929756,20260226,True,0.11969696969696964,-0.003030303030302939
20260225,002378.SZ,章源钨业,小金属,trend_high_like,5,10.0,0.8525374110786524,1.0,0.4549382716049382,20260226,True,0.2995780590717301,-0.012095639943741188
20260225,603209.SH,兴通股份,水运,trend_high_like,4,1.45,2.344400478153451,0.45161290322580755,0.05744286596664617,20260226,True,0.11851851851851869,-0.03024691358024678
20260225,001286.SZ,陕西能源,火力发电,trend_high_like,4,0.5,1.2279960633580906,0.33333333333333726,0.05888125613346415,20260226,True,0.11023622047244097,-0.0009842519685039353
20260225,002756.SZ,永兴材料,小金属,trend_high_like,4,3.43,1.0388837820665413,0.6581920903954805,0.21074451546035589,20260226,True,0.1564171122994653,-0.03074866310160429
20260225,600295.SH,鄂尔多斯,特种钢,trend_high_like,3,2.06,0.9212308784450464,0.5048543689320378,0.12278558338423955,20260226,True,0.10458715596330248,-0.012232415902140858
20260225,002353.SZ,杰瑞股份,化工机械,trend_high_like,3,0.96,0.5615890084015822,0.8709677419354864,0.23108614232209732,20260226,True,0.2487031700288187,-0.016426512968299667
20260224,605289.SH,罗曼股份,建筑工程,breakout_strong,6,10.0,1.8067833679235787,1.0,0.27761724827739503,20260225,True,0.3306065442936952,-0.008379888268156277
20260224,603306.SH,华懋科技,汽车配件,breakout_strong,6,9.67,1.7352263523381533,0.968824940047961,0.19912312751187425,20260225,True,0.11243155073983457,-0.013165559827566065
20260224,002457.SZ,青龙管业,塑料,breakout_strong,6,10.04,1.7127638984191653,1.0,0.14436885865457294,20260225,True,0.10183150183150169,-0.02564102564102566
20260224,600152.SH,维科技术,电气设备,breakout_strong,6,6.2,1.4849544558251146,0.8148148148148154,0.11884753901560627,20260225,True,0.14183551847437426,-0.00476758045292025
