feature,family,missing_rate_a,missing_rate_c,missing_rate_gap_abs,missing_rate_max,n_a_nonnull,n_c_nonnull,abs_cliffs_delta,effect_bucket,ready_cliffs_delta,ready_delta_shift_abs,heavy_tail_flag,winsorize_recheck_suggest,high_missing_flag,missing_imbalance_flag,stability_flag
f_platform_compress_ratio,platform,0.03160726294552791,0.022788319902954685,0.008818943042573225,0.03160726294552791,1440,11278,0.07963623869480396,negligible,0.07726914107021421,0.0023670976245897535,0,0,0,0,stable
f_vol20_vol60,volume,0.12777404169468728,0.10484360107443029,0.022930440620256995,0.12777404169468728,1297,10331,0.06387591537383241,negligible,0.06409693489067037,0.0002210195168379503,0,0,0,0,stable
f_ind_strength_3d,industry,0.0,0.0,0.0,0.0,1487,11541,0.05263955581419699,negligible,0.056603118505109684,0.003963562690912692,0,0,0,0,stable
f_ind_breadth,industry,0.0,0.0,0.0,0.0,1487,11541,0.04870189710471717,negligible,-0.04265384509477155,0.006048052009945626,0,0,0,0,stable
f_chip_peak_dominance,chip,0.0013449899125756557,8.664760419374404e-05,0.0012583423083819116,0.0013449899125756557,1485,11540,0.04808646838109576,negligible,0.03981260090924943,0.00827386747184633,0,0,0,0,stable
f_chip_secondary_peak_ratio,chip,0.0013449899125756557,8.664760419374404e-05,0.0012583423083819116,0.0013449899125756557,1485,11540,0.048086410027484594,negligible,-0.03981252596040574,0.008273884067078852,0,0,0,0,stable
f_platform_len,platform,0.0,0.0,0.0,0.0,1487,11541,0.045829240588814435,negligible,-0.03351520522656093,0.012314035362253506,0,0,0,0,stable
f_ind_strength_5d,industry,0.0,0.0,0.0,0.0,1487,11541,0.04564499060598948,negligible,0.04234256924690394,0.003302421359085539,0,0,0,0,stable
f_chip_peak_count_sig,chip,0.0013449899125756557,8.664760419374404e-05,0.0012583423083819116,0.0013449899125756557,1485,11540,0.044637828312005134,negligible,-0.037106947652879474,0.0075308806591256605,0,0,0,0,stable
f_platform_range30,platform,0.10692669804976462,0.07858937700372584,0.028337321046038783,0.10692669804976462,1328,10634,0.0427103845134158,negligible,0.0468141554760213,0.004103770962605502,0,0,0,0,stable
