signal_date,confirm_date,ts_code,name,industry,signal_score,rs20_xsec_q,atr_ratio_q60,box_range,pivot,entry_price,confirm_open,stop_loss,signal_grade,volume_ratio,ret_t1,ret_t1_open,ret_t2,ret_t2_open,ret_t3,ret_t3_open
20251107,20251110,600075.SH,新疆天业,化工原料,66.62,0.809119830328738,0.35,0.06563706563706562,5.01,5.02,5.24,4.88,A,2.64,0.033864541832669515,-0.009541984732824416,0.02589641434262968,-0.01717557251908397,0.09362549800796827,0.04770992366412208
20251110,20251111,000159.SZ,国际实业,石油贸易,72.73,0.8440148305084746,0.2,0.07305936073059367,6.44,6.45,6.6,6.25,A,1.4,0.03875968992248069,0.015151515151515138,0.03875968992248069,0.015151515151515138,0.06201550387596888,0.037878787878787845
20251110,20251111,601226.SH,华电科工,建筑工程,72.96,0.9020127118644068,0.4,0.07656065959952879,7.97,7.99,8.51,7.66,A,3.77,0.0,-0.06110458284371323,0.027534418022528317,-0.03525264394829597,0.003754693366708306,-0.05757931844888364
20251111,20251112,601288.SH,农业银行,银行,80.96,0.8935944944415034,0.26666666666666666,0.05783132530120476,8.34,8.36,8.32,8.09,B,1.18,0.02392344497607679,0.028846153846153966,0.01674641148325362,0.02163461538461542,-0.004784688995215225,0.0
20251111,20251112,603660.SH,苏州科达,IT设备,68.77,0.8411858125992588,0.2833333333333333,0.07292817679558013,9.1,9.12,9.09,8.71,A,1.91,0.0274122807017545,0.030803080308030806,0.04276315789473695,0.0462046204620461,0.11513157894736858,0.11881188118811892
20251112,20251113,603660.SH,苏州科达,IT设备,71.65,0.8856537850714664,0.26666666666666666,0.07395498392282952,9.18,9.2,9.28,8.79,A,1.33,0.033695652173913127,0.024784482758620774,0.10543478260869565,0.09590517241379315,0.12717391304347836,0.1174568965517242
20251114,20251117,600679.SH,上海凤凰,文教休闲,72.7,0.8209745762711864,0.13333333333333333,0.044508255563532016,13.72,13.75,13.88,13.36,A,1.37,0.012363636363636354,0.0028818443804032867,-0.0036363636363636598,-0.012968299711815678,-0.0036363636363636598,-0.012968299711815678
20251114,20251117,600776.SH,东方通信,通信设备,67.11,0.826271186440678,0.43333333333333335,0.05653450807635827,13.42,13.45,13.51,12.9,A,1.29,-0.015613382899628214,-0.01998519615099925,-0.0342007434944237,-0.03849000740192443,-0.04163568773234194,-0.04589193190229457
20251114,20251117,603456.SH,九洲药业,医疗保健,64.73,0.8246822033898306,0.16666666666666666,0.0624417520969245,20.5,20.54,21.52,19.65,A,1.65,0.044790652385589214,-0.0027881040892192566,-0.020447906523855752,-0.06505576208178432,-0.04089581304771173,-0.08457249070631967
20251118,20251119,601058.SH,赛轮轮胎,汽车配件,71.31,0.8310381355932204,0.4166666666666667,0.0649267982176957,16.45,16.48,15.81,15.98,A,1.61,-0.022451456310679685,0.018975332068311035,-0.03276699029126218,0.008222643896268034,-0.04429611650485443,-0.003795066413662229
