signal_date,confirm_date,ts_code,name,signal_score,rs20_xsec_q,atr_ratio_q60,box_range,pivot,entry_price,stop_loss,signal_grade,volume_ratio,ret_t1,ret_t2,ret_t3
20251229,20251230,000425.SZ,徐工机械,68.13,0.8864213197969543,0.2,0.07371225577264655,11.38,11.4,11.01,B,1.18,0.015789473684210575,0.012280701754385781,0.03157894736842093
20251230,20251231,000425.SZ,徐工机械,67.28,0.8289057558507273,0.16666666666666666,0.07855251544571923,11.44,11.46,11.06,B,1.08,0.00698080279232105,0.02617801047120416,0.023560209424083656
20251231,20260105,600869.SH,远东股份,73.53,0.9224928819993673,0.16666666666666666,0.0708074534161491,8.08,8.1,7.76,A,1.46,0.1148148148148147,0.22592592592592586,0.3481481481481481
20251231,20260105,600909.SH,华安证券,70.1,0.8082885162923126,0.03333333333333333,0.06047197640117983,6.85,6.86,6.69,A,1.53,0.10787172011661794,0.09766763848396498,0.036443148688046545
20251231,20260105,603885.SH,吉祥航空,69.97,0.8576399873457766,0.31666666666666665,0.05645161290322579,14.45,14.48,13.89,B,1.04,0.05386740331491713,0.046270718232044095,0.037292817679557944
20260105,20260106,600312.SH,平高电气,66.73,0.8106228264306039,0.11666666666666667,0.06058921623123958,18.25,18.29,17.67,A,1.55,0.013121924548934016,0.030617823947512335,0.03827227993439042
20260105,20260106,600885.SH,宏发股份,76.24,0.8299083148909263,0.016666666666666666,0.05319493999351283,31.48,31.54,30.55,B,1.05,-0.0069752694990488084,-0.015218769816106592,0.0025364616360177283
20260106,20260107,600312.SH,平高电气,69.04,0.8141592920353983,0.06666666666666667,0.061323292092522894,18.3,18.34,17.72,A,1.21,0.027808069792802703,0.03544165757906215,0.03925845147219187
20260106,20260107,601211.SH,国泰海通,78.1,0.8701011378002529,0.38333333333333336,0.026917900403768413,21.08,21.12,20.55,A,1.37,0.009469696969697017,-0.0023674242424243097,-0.0023674242424243097
20260106,20260107,601688.SH,华泰证券,75.56,0.9124525916561315,0.31666666666666665,0.061424100156494535,24.36,24.41,23.42,B,1.1,-0.018844735764031117,-0.018844735764031117,-0.020483408439164297
20260106,20260107,603379.SH,三美股份,71.92,0.8520859671302149,0.31666666666666665,0.06874999999999999,61.18,61.3,59.29,B,1.07,-0.03817292006525275,-0.034584013050570905,-0.06574225122349098
