signal_date,entry_date,exit_date,hold_bars,ts_code,name,setup_type,signal_score,single_peak_dense_score,trigger_price,stop_loss,entry_price,exit_price,exit_reason,pnl_pct,r_multiple,risk_pct,hit_1r,hit_2r,hit_3r,ambiguous_intrabar,volume_ratio,platform_range,chip_concentration,chip_low_position
20260119,20260120,20260126,5,603320.SH,迪贝电气,pullback,61.56,0.1748,21.12,20.36,21.5,22.66,time_exit,0.05395348837209313,1.0175438596491224,0.053023255813953514,1,1,0,0,2.28,13.87,7.83,45.15
20260120,20260121,20260121,1,000422.SZ,湖北宜化,breakout,67.44,0.4107,15.84,15.66,15.9,15.9,intrabar_mid,0.0,0.0,0.015094339622641522,1,0,0,1,1.3,11.17,7.43,47.55
20260120,20260121,20260127,5,001287.SZ,中电港,pullback,62.18,0.3543,25.04,24.65,25.04,25.04,intrabar_mid,0.0,0.0,0.015575079872204496,1,1,1,1,1.4,12.4,9.0,80.74
20260120,20260121,20260126,4,600644.SH,乐山电力,pullback,57.61,0.204,12.02,11.25,12.02,11.25,stop_loss,-0.0640599001663893,-1.0,0.06405990016638932,0,0,0,0,2.5,19.37,10.31,27.27
20260120,20260121,20260121,1,600667.SH,太极实业,breakout,62.38,0.2148,9.66,9.54,9.66,9.5,gap_stop,-0.0165631469979296,-1.3333333333333235,0.012422360248447308,0,0,0,0,2.27,17.74,11.15,55.58
20260120,20260121,20260127,5,603002.SH,宏昌电子,pullback,61.02,0.2043,8.16,8.05,8.16,8.9,time_exit,0.09068627450980404,6.727272727272764,0.013480392156862675,1,1,1,0,1.28,11.75,8.55,40.02
20260120,20260121,20260126,4,603005.SH,晶方科技,pullback,58.02,0.3877,31.05,30.59,31.05,30.59,stop_loss,-0.014814814814814836,-1.0,0.014814814814814841,1,1,1,0,2.03,12.33,8.74,43.42
20260120,20260121,20260121,1,603059.SH,倍加洁,pullback,64.7,0.5385,36.38,35.45,36.38,36.38,intrabar_mid,0.0,0.0,0.025563496426608018,1,1,0,1,1.08,21.57,10.66,28.92
20260120,20260121,20260121,1,603172.SH,万丰股份,breakout,57.78,0.2447,20.5,20.18,20.5,20.5,intrabar_mid,0.0,0.0,0.01560975609756099,1,1,0,1,2.23,15.31,7.6,60.2
20260120,20260121,20260122,2,603291.SH,联合水务,pullback,59.09,0.2651,11.84,11.59,11.84,11.59,stop_loss,-0.021114864864864913,-1.0,0.021114864864864864,0,0,0,0,1.26,18.84,9.82,38.99
20260120,20260121,20260126,4,603324.SH,盛剑科技,pullback,59.67,0.3444,27.41,27.08,27.41,27.08,stop_loss,-0.012039401678219708,-1.0,0.012039401678219696,1,1,0,0,0.86,12.52,8.1,48.18
20260120,20260121,20260127,5,603629.SH,利通电子,pullback,62.02,0.1621,29.84,29.21,29.84,34.65,time_exit,0.16119302949061654,7.634920634920645,0.021112600536192995,1,1,1,0,0.93,13.1,7.08,63.2
20260121,20260122,20260122,1,000422.SZ,湖北宜化,breakout,65.18,0.3981,16.0,15.9,16.17,16.17,intrabar_mid,0.0,0.0,0.016697588126159638,1,0,0,1,1.45,12.78,7.43,47.55
20260121,20260122,20260122,1,600206.SH,有研新材,breakout,64.89,0.3674,22.77,22.49,22.82,22.49,stop_loss,-0.014460999123575902,-1.0,0.014460999123575891,0,0,0,0,1.82,10.65,7.83,42.58
20260121,20260122,20260122,1,600667.SH,太极实业,breakout,60.8,0.1679,9.88,9.7,10.08,9.7,stop_loss,-0.037698412698412787,-1.0,0.03769841269841277,0,0,0,0,2.54,19.08,11.91,57.49
20260121,20260122,20260128,5,603002.SH,宏昌电子,pullback,60.11,0.2127,8.54,8.06,8.69,8.85,time_exit,0.018411967779056404,0.2539682539682546,0.07249712313003441,0,0,0,0,2.48,11.75,9.95,44.86
20260121,20260122,20260122,1,603022.SH,新通联,pullback,60.01,0.3291,11.46,11.23,11.49,11.49,intrabar_mid,0.0,0.0,0.022628372497824175,1,0,0,1,0.75,14.35,7.42,57.12
20260121,20260122,20260122,1,603059.SH,倍加洁,breakout,70.39,0.5313,38.66,37.36,38.66,37.36,stop_loss,-0.033626487325400856,-1.0,0.03362648732540086,0,0,0,0,1.95,21.57,11.26,27.93
20260121,20260122,20260122,1,603283.SH,赛腾股份,breakout,58.37,0.3399,55.84,54.45,57.57,54.45,stop_loss,-0.05419489317352788,-1.0,0.05419489317352783,0,0,0,0,2.71,21.75,13.21,60.97
20260121,20260122,20260126,3,603324.SH,盛剑科技,pullback,61.69,0.3389,27.95,27.1,27.97,27.1,stop_loss,-0.031104755094744307,-1.0,0.03110475509474428,0,0,0,0,0.81,12.61,8.1,48.18
20260121,20260122,20260127,4,603400.SH,华之杰,pullback,60.13,0.1915,59.0,57.9,61.17,57.9,stop_loss,-0.053457577243747,-1.0,0.05345757724374699,0,0,0,0,1.14,14.95,7.31,24.82
20260121,20260122,20260123,2,603690.SH,至纯科技,pullback,60.31,0.384,34.61,33.54,34.86,33.54,stop_loss,-0.03786574870912218,-1.0,0.03786574870912221,0,0,0,0,1.19,16.02,8.58,45.76
20260121,20260122,20260128,5,603988.SH,中电电机,breakout,60.49,0.3749,31.2,30.18,31.2,38.13,time_exit,0.22211538461538471,6.79411764705883,0.03269230769230768,1,1,1,0,2.74,21.19,12.41,40.97
20260122,20260123,20260123,1,000422.SZ,湖北宜化,breakout,62.96,0.3862,16.27,16.17,16.27,16.27,intrabar_mid,0.0,0.0,0.006146281499692555,1,1,0,1,1.44,13.81,7.66,50.69
20260122,20260123,20260127,3,000636.SZ,风华高科,pullback,53.92,0.1998,20.67,20.14,20.83,20.14,stop_loss,-0.03312530004800762,-1.0,0.033125300048007573,0,0,0,0,1.45,23.25,14.67,58.08
20260122,20260123,20260129,5,603220.SH,中贝通信,breakout,67.69,0.4099,25.3,24.65,25.3,25.26,time_exit,-0.0015810276679841806,-0.06153846153846002,0.025691699604743167,1,1,1,0,3.75,15.38,8.08,40.65
20260122,20260123,20260126,2,603629.SH,利通电子,pullback,54.57,0.1506,33.1,32.16,33.1,32.16,stop_loss,-0.028398791540785617,-1.0,0.02839879154078564,1,0,0,0,1.53,19.68,12.06,59.43
20260122,20260123,20260123,1,603666.SH,亿嘉和,pullback,60.26,0.3076,33.56,33.22,33.56,33.22,stop_loss,-0.010131108462455352,-1.0,0.010131108462455405,0,0,0,0,0.75,13.24,7.48,42.45
20260122,20260123,20260128,4,605089.SH,味知香,pullback,59.26,0.2375,31.15,30.15,33.0,30.15,stop_loss,-0.08636363636363642,-1.0,0.0863636363636364,0,0,0,0,2.21,21.98,11.62,35.92
20260123,20260126,20260126,1,000636.SZ,风华高科,pullback,52.46,0.1944,20.88,20.54,20.88,20.88,intrabar_mid,0.0,0.0,0.016283524904214555,1,0,0,1,1.36,23.25,14.56,59.07
20260123,20260126,20260130,5,001333.SZ,光华股份,pullback,53.68,0.2865,25.36,25.23,25.57,26.52,time_exit,0.037152913570590584,2.7941176470588225,0.013296832225263976,1,1,1,0,1.05,17.82,7.28,68.77
20260123,20260126,20260127,2,001360.SZ,南矿集团,pullback,52.63,0.1688,27.03,26.6,27.86,26.6,stop_loss,-0.045226130653266305,-1.0,0.045226130653266264,1,0,0,0,0.97,23.38,10.65,78.58
20260123,20260126,20260126,1,600246.SH,万通发展,pullback,59.72,0.4029,14.05,13.63,14.05,13.63,stop_loss,-0.029893238434163694,-1.0,0.029893238434163694,0,0,0,0,1.18,20.54,8.71,68.18
20260123,20260126,20260127,2,600860.SH,京城股份,breakout,71.61,0.6223,13.66,13.35,13.66,13.66,intrabar_mid,0.0,0.0,0.02269399707174235,1,0,0,1,2.27,9.2,6.7,41.62
20260123,20260126,20260126,1,603022.SH,新通联,pullback,59.81,0.3119,11.65,11.51,11.7,11.51,stop_loss,-0.01623931623931618,-1.0,0.0162393162393162,0,0,0,0,0.74,15.29,7.64,57.81
20260123,20260126,20260127,2,603257.SH,中国瑞林,pullback,63.3,0.5233,65.0,64.44,65.99,64.44,stop_loss,-0.023488407334444572,-1.0,0.023488407334444572,1,0,0,0,1.45,12.74,7.11,31.41
20260123,20260126,20260127,2,603726.SH,朗迪集团,pullback,60.79,0.2602,26.68,26.07,26.68,26.07,stop_loss,-0.022863568215892083,-1.0,0.022863568215892034,1,0,0,0,0.64,15.0,9.91,58.98
20260123,20260126,20260127,2,605366.SH,宏柏新材,pullback,63.73,0.2262,7.0,6.92,7.07,6.92,stop_loss,-0.021216407355021283,-1.0,0.021216407355021265,0,0,0,0,1.31,13.38,8.51,50.06
20260126,20260127,20260127,1,000831.SZ,中国稀土,breakout,67.19,0.3675,57.74,55.94,57.74,55.94,stop_loss,-0.03117422930377567,-1.0,0.031174229303775617,0,0,0,0,1.43,17.5,11.64,73.63
20260126,20260127,20260202,5,603393.SH,新天然气,pullback,61.0,0.4115,30.45,29.65,30.45,29.65,stop_loss,-0.026272577996716007,-1.0,0.02627257799671595,1,1,0,0,2.59,13.04,6.8,49.59
