watch_date,ts_code,name,signal_score,close,pivot,trigger_price,stop_loss,rs20_xsec_q,box_range_pct,industry
20251107,601577.SH,长沙银行,68.85,9.88,10.05,10.07,9.86,0.8086,7.19,银行
20251107,600919.SH,江苏银行,67.2,11.06,11.26,11.28,11.0,0.8144,7.32,银行
20251107,600901.SH,江苏金租,66.93,6.17,6.27,6.28,6.12,0.8187,6.0,多元金融
20251107,600075.SH,新疆天业,66.62,5.18,5.01,5.02,4.88,0.8091,6.56,化工原料
20251107,601825.SH,沪农商行,65.7,8.87,8.93,8.95,8.75,0.8176,5.64,银行
20251107,603326.SH,我乐家居,64.73,9.55,9.43,9.45,9.12,0.8218,7.96,家居用品
20251110,601288.SH,农业银行,77.05,8.12,8.34,8.36,8.09,0.9126,5.91,银行
20251110,601226.SH,华电科工,72.96,8.49,7.97,7.99,7.66,0.902,7.66,建筑工程
20251110,000159.SZ,国际实业,72.73,6.57,6.44,6.45,6.25,0.844,7.31,石油贸易
20251110,601628.SH,中国人寿,67.78,44.45,45.73,45.82,44.46,0.8655,7.04,保险
20251110,601577.SH,长沙银行,67.73,10.05,10.08,10.1,9.88,0.8083,7.36,银行
20251110,603803.SH,瑞斯康达,65.6,9.69,9.8,9.82,9.39,0.8782,6.6,通信设备
20251111,601288.SH,农业银行,80.96,8.3,8.34,8.36,8.09,0.8936,5.78,银行
20251111,603660.SH,苏州科达,68.77,9.05,9.1,9.12,8.71,0.8412,7.29,IT设备
20251112,601288.SH,农业银行,87.86,8.59,8.3,8.32,8.05,0.9259,5.12,银行
20251112,603660.SH,苏州科达,71.65,9.33,9.18,9.2,8.79,0.8857,7.4,IT设备
20251112,600901.SH,江苏金租,67.47,6.41,6.41,6.42,6.25,0.8375,7.96,多元金融
20251112,601628.SH,中国人寿,67.31,44.6,45.73,45.82,44.44,0.8068,7.02,保险
20251113,603329.SH,上海雅仕,70.93,12.5,12.34,12.36,12.02,0.804,6.32,仓储物流
20251113,603313.SH,梦百合,69.58,9.44,9.74,9.76,9.34,0.8061,6.46,家居用品
20251113,601058.SH,赛轮轮胎,68.57,16.2,16.45,16.48,15.97,0.8528,7.9,汽车配件
20251114,600679.SH,上海凤凰,72.7,13.93,13.72,13.75,13.36,0.821,4.45,文教休闲
20251114,600507.SH,方大特钢,71.42,6.29,6.4,6.41,6.17,0.8724,7.95,特种钢
20251114,600560.SH,金自天正,70.05,17.9,18.61,18.65,18.0,0.8273,5.92,电气设备
20251114,601058.SH,赛轮轮胎,68.45,15.98,16.45,16.48,15.96,0.8602,7.7,汽车配件
20251114,600776.SH,东方通信,67.11,13.62,13.42,13.45,12.9,0.8263,5.65,通信设备
20251114,603991.SH,至正股份,66.98,71.68,69.99,70.13,67.23,0.8099,7.91,半导体
20251114,603456.SH,九洲药业,64.73,21.46,20.5,20.54,19.65,0.8247,6.24,医疗保健
20251117,600507.SH,方大特钢,73.66,6.25,6.4,6.41,6.17,0.8813,7.52,特种钢
20251117,600679.SH,上海凤凰,71.98,14.23,14.22,14.25,13.89,0.8569,7.87,文教休闲
20251117,600560.SH,金自天正,71.05,17.98,18.61,18.65,18.09,0.8098,5.9,电气设备
20251118,603356.SH,华菱精工,75.55,15.51,16.58,16.61,15.9,0.893,7.03,运输设备
20251118,600560.SH,金自天正,71.77,17.95,18.61,18.65,18.12,0.8016,5.91,电气设备
20251118,601058.SH,赛轮轮胎,71.31,15.71,16.45,16.48,15.98,0.831,6.49,汽车配件
20251118,600507.SH,方大特钢,68.48,6.04,6.4,6.41,6.17,0.8665,7.78,特种钢
20251119,600507.SH,方大特钢,77.95,6.17,6.4,6.41,6.19,0.8698,7.62,特种钢
20251119,600100.SH,同方股份,71.83,8.98,9.2,9.22,8.88,0.9232,7.57,IT设备
20251119,603338.SH,浙江鼎力,69.71,53.58,55.22,55.33,53.54,0.8121,6.33,工程机械
20251119,600195.SH,中牧股份,69.69,7.93,8.18,8.2,8.02,0.8015,6.81,农业综合
20251120,600507.SH,方大特钢,79.82,6.14,6.4,6.41,6.2,0.8824,7.17,特种钢
20251120,600331.SH,宏达股份,74.26,11.96,11.25,11.27,10.73,0.9428,7.27,农药化肥
20251120,600901.SH,江苏金租,72.48,6.45,6.5,6.51,6.34,0.8267,5.43,多元金融
20251120,603338.SH,浙江鼎力,71.87,54.13,55.22,55.33,53.54,0.8601,5.87,工程机械
20251120,601328.SH,交通银行,71.68,7.65,7.58,7.6,7.43,0.8177,4.05,银行
20251120,603638.SH,艾迪精密,71.38,18.73,19.39,19.43,18.95,0.8532,5.66,专用机械
20251124,600507.SH,方大特钢,80.4,5.94,6.4,6.41,6.21,0.8776,7.74,特种钢
20251124,603638.SH,艾迪精密,74.83,19.3,19.37,19.41,18.86,0.911,5.39,专用机械
20251124,601398.SH,工商银行,73.35,8.2,8.4,8.42,8.22,0.813,5.12,银行
