signal_date,entry_date,exit_date,hold_bars,ts_code,name,setup_type,signal_score,single_peak_dense_score,trigger_price,stop_loss,entry_price,exit_price,exit_reason,pnl_pct,r_multiple,risk_pct,hit_1r,hit_2r,hit_3r,volume_ratio,platform_range,chip_concentration,chip_low_position
20250513,20250514,20250514,1,603087.SH,甘李药业,pullback,57.67,0.2534,50.99,50.52,51.05,50.52,stop_loss,-0.010381978452497442,-1.0,0.010381978452497435,0,0,0,0.88,17.93,9.72,53.74
20250513,20250514,20250514,1,603089.SH,正裕工业,pullback,60.93,0.1198,11.38,11.2,11.38,11.2,stop_loss,-0.015817223198594133,-1.0,0.015817223198594153,0,0,0,1.1,25.17,14.98,56.61
20250513,20250514,20250520,5,603683.SH,晶华新材,pullback,61.16,0.1787,13.52,13.11,13.52,14.56,time_exit,0.0769230769230771,2.53658536585366,0.03032544378698226,1,1,1,1.74,26.4,13.73,53.3
20250513,20250514,20250520,5,603916.SH,苏博特,pullback,53.61,0.0972,8.89,8.7,8.89,8.89,time_exit,0.0,0.0,0.021372328458942776,1,1,0,2.38,21.45,11.83,52.14
20250514,20250515,20250515,1,000007.SZ,全新好,pullback,61.1,0.4843,7.28,7.19,7.28,7.19,stop_loss,-0.012362637362637319,-1.0,0.012362637362637343,0,0,0,0.52,19.68,11.59,71.09
20250514,20250515,20250519,3,000677.SZ,恒天海龙,pullback,51.41,0.5354,5.11,4.97,5.11,4.97,stop_loss,-0.027397260273972712,-1.0,0.027397260273972712,1,1,1,1.16,26.4,13.35,53.2
20250514,20250515,20250520,4,600392.SH,盛和资源,breakout,62.54,0.3892,12.3,12.16,12.6,12.15,gap_stop,-0.0357142857142857,-1.0227272727272723,0.03492063492063488,1,1,0,2.39,17.35,9.44,59.93
20250514,20250515,20250515,1,603916.SH,苏博特,pullback,52.65,0.0942,8.93,8.81,8.93,8.81,stop_loss,-0.013437849944008873,-1.0,0.013437849944008871,0,0,0,1.43,21.41,12.14,53.25
20250515,20250516,20250522,5,001268.SZ,联合精密,pullback,68.55,0.5785,22.59,22.19,22.59,22.37,time_exit,-0.009738822487826426,-0.5499999999999992,0.01770694997786625,1,0,0,0.79,18.27,9.48,52.79
20250515,20250516,20250522,5,603087.SH,甘李药业,pullback,58.58,0.2496,50.33,50.05,50.33,50.05,stop_loss,-0.0055632823365786566,-1.0,0.0055632823365786045,1,1,1,0.59,17.93,9.72,53.74
20250515,20250516,20250519,2,603285.SH,键邦股份,breakout,74.96,0.6042,23.75,23.26,23.75,23.26,stop_loss,-0.020631578947368334,-1.0,0.020631578947368355,0,0,0,1.55,9.88,5.24,29.08
20250515,20250516,20250522,5,603350.SH,安乃达,pullback,57.33,0.5743,38.9,37.82,38.9,41.0,time_exit,0.05398457583547556,1.9444444444444489,0.027763496143958826,1,1,1,1.45,23.83,8.65,67.26
20250515,20250516,20250516,1,603683.SH,晶华新材,pullback,62.25,0.1787,13.97,13.63,13.97,13.63,stop_loss,-0.024337866857551904,-1.0,0.024337866857551887,0,0,0,0.89,26.22,14.46,55.29
20250516,20250519,20250523,5,000007.SZ,全新好,pullback,64.01,0.3905,7.32,7.2,7.32,7.87,time_exit,0.07513661202185795,4.583333333333328,0.016393442622950834,1,1,1,0.42,14.82,11.07,69.57
20250516,20250519,20250519,1,001300.SZ,三柏硕,pullback,67.84,0.2807,13.37,13.23,13.38,13.23,stop_loss,-0.011210762331838597,-1.0,0.01121076233183859,0,0,0,0.51,11.69,7.75,69.64
20250516,20250519,20250519,1,600105.SH,永鼎股份,breakout,65.27,0.6542,7.76,7.6,7.76,7.6,stop_loss,-0.020618556701030966,-1.0,0.020618556701030948,0,0,0,2.62,23.44,16.47,59.35
20250516,20250519,20250523,5,600222.SH,太龙药业,pullback,67.75,0.4598,5.42,5.31,5.42,5.37,time_exit,-0.009225092250922495,-0.4545454545454516,0.02029520295202958,0,0,0,1.12,8.41,5.83,57.43
20250516,20250519,20250519,1,600353.SH,旭光电子,breakout,72.19,0.3873,9.59,9.31,9.59,9.31,stop_loss,-0.029197080291970767,-1.0,0.029197080291970736,0,0,0,1.51,14.79,9.62,51.51
20250516,20250519,20250519,1,603113.SH,金能科技,pullback,57.34,0.3919,6.51,6.47,6.51,6.47,stop_loss,-0.006144393241167445,-1.0,0.006144393241167441,0,0,0,0.67,20.42,14.31,52.95
20250516,20250519,20250519,1,603285.SH,键邦股份,pullback,65.7,0.5393,23.5,23.41,23.55,23.41,stop_loss,-0.005944798301486198,-1.0,0.005944798301486223,0,0,0,0.98,12.16,5.2,30.42
20250519,20250520,20250526,5,000007.SZ,全新好,pullback,62.15,0.3873,7.44,7.32,7.45,7.61,time_exit,0.021476510067114152,1.2307692307692328,0.017449664429530186,1,1,1,0.63,14.82,11.59,67.14
20250519,20250520,20250526,5,000962.SZ,东方钽业,pullback,67.56,0.3754,16.68,16.18,16.68,18.95,time_exit,0.13609112709832138,4.539999999999999,0.02997601918465228,1,1,1,2.31,12.64,10.3,52.05
20250519,20250520,20250526,5,001300.SZ,三柏硕,pullback,69.18,0.4102,13.42,13.21,13.45,13.78,time_exit,0.024535315985130035,1.3750000000000093,0.017843866171003604,1,1,1,0.66,11.69,7.75,69.64
20250519,20250520,20250526,5,603113.SH,金能科技,pullback,60.43,0.3903,6.52,6.42,6.53,6.42,stop_loss,-0.016845329249617236,-1.0,0.0168453292496172,1,0,0,0.59,19.37,14.02,53.73
20250519,20250520,20250520,1,603130.SH,云中马,breakout,67.7,0.6496,29.75,29.23,29.75,29.23,stop_loss,-0.017478991596638682,-1.0,0.01747899159663864,0,0,0,1.99,22.79,12.81,50.85
20250519,20250520,20250520,1,603611.SH,诺力股份,pullback,66.5,0.3349,19.58,19.38,19.58,19.38,stop_loss,-0.010214504596527063,-1.0,0.010214504596527034,0,0,0,0.75,13.66,11.81,58.0
20250520,20250521,20250527,5,000007.SZ,全新好,pullback,65.57,0.3854,7.53,7.38,7.53,7.74,time_exit,0.027888446215139417,1.3999999999999964,0.01992031872509965,1,1,1,0.43,16.51,11.59,67.14
20250520,20250521,20250521,1,000657.SZ,中钨高新,pullback,61.43,0.5682,11.2,10.98,11.2,10.98,stop_loss,-0.019642857142857073,-1.0,0.019642857142857042,0,0,0,1.41,19.85,12.82,50.28
20250520,20250521,20250527,5,001326.SZ,联域股份,pullback,60.73,0.2841,34.39,33.0,34.39,33.75,time_exit,-0.018610061064262884,-0.46043165467625924,0.04041872637394593,0,0,0,1.07,16.59,8.65,43.61
20250520,20250521,20250527,5,600771.SH,广誉远,pullback,54.69,0.1498,21.34,20.78,21.34,21.25,time_exit,-0.004217432052483594,-0.16071428571428584,0.026241799437675666,0,0,0,0.98,20.57,11.0,56.55
20250520,20250521,20250521,1,603037.SH,凯众股份,breakout,68.87,0.3105,18.24,18.02,18.24,18.02,stop_loss,-0.012061403508771829,-1.0,0.012061403508771868,0,0,0,1.22,14.78,12.06,52.93
20250520,20250521,20250521,1,603173.SH,福斯达,pullback,59.67,0.3594,32.65,32.39,32.65,32.39,stop_loss,-0.007963246554364423,-1.0,0.00796324655436441,0,0,0,0.48,16.95,16.54,59.61
20250520,20250521,20250521,1,603216.SH,梦天家居,breakout,66.38,0.4596,13.19,13.0,13.22,13.0,stop_loss,-0.016641452344931973,-1.0,0.01664145234493197,0,0,0,1.92,10.05,10.02,64.54
20250520,20250521,20250521,1,603238.SH,诺邦股份,breakout,68.73,0.1983,17.15,16.73,17.15,16.73,stop_loss,-0.024489795918367196,-1.0,0.02448979591836724,0,0,0,1.1,16.45,13.02,43.66
20250520,20250521,20250522,2,603239.SH,浙江仙通,pullback,60.37,0.3059,14.91,14.58,14.98,14.58,stop_loss,-0.026702269692923886,-1.0,0.02670226969292392,0,0,0,1.16,17.06,10.64,57.01
20250521,20250522,20250522,1,000014.SZ,沙河股份,pullback,60.1,0.4014,11.68,11.51,11.75,11.51,stop_loss,-0.020425531914893602,-1.0,0.020425531914893637,0,0,0,1.25,17.85,9.86,68.12
20250521,20250522,20250522,1,000657.SZ,中钨高新,pullback,54.51,0.2063,11.05,10.82,11.05,10.82,stop_loss,-0.020814479638009087,-1.0,0.020814479638009087,0,0,0,1.21,19.85,12.82,50.28
20250521,20250522,20250523,2,001326.SZ,联域股份,pullback,60.43,0.2418,34.4,34.18,34.4,34.18,stop_loss,-0.006395348837209269,-1.0,0.006395348837209269,1,1,1,0.62,16.51,8.65,43.61
20250521,20250522,20250522,1,603980.SH,吉华集团,pullback,50.6,0.1777,5.11,5.06,5.11,5.06,stop_loss,-0.009784735812133238,-1.0,0.00978473581213321,0,0,0,2.13,24.91,13.38,55.58
20250522,20250523,20250523,1,000017.SZ,深中华A,breakout,71.62,0.6908,6.9,6.81,6.9,6.81,stop_loss,-0.013043478260869712,-1.0,0.013043478260869672,0,0,0,2.12,8.28,6.54,71.39
20250522,20250523,20250523,1,001317.SZ,三羊马,pullback,54.51,0.5465,44.97,44.29,44.97,44.29,stop_loss,-0.015121191905714926,-1.0,0.015121191905714915,0,0,0,1.19,25.52,11.36,69.68
20250522,20250523,20250529,5,603520.SH,司太立,pullback,56.98,0.2417,9.87,9.63,9.96,10.02,time_exit,0.0060240963855420215,0.1818181818181779,0.03313253012048193,1,0,0,2.81,21.03,10.35,60.88
20250523,20250526,20250530,5,001317.SZ,三羊马,pullback,56.37,0.5957,44.81,43.14,44.81,46.1,time_exit,0.028788216915867082,0.7724550898203579,0.03726846686007591,1,1,0,1.02,24.0,10.69,69.68
20250523,20250526,20250526,1,603520.SH,司太立,pullback,55.12,0.2282,10.06,9.93,10.06,9.93,stop_loss,-0.012922465208747624,-1.0,0.012922465208747591,0,0,0,2.8,20.61,11.72,58.07
20250526,20250527,20250603,5,000014.SZ,沙河股份,pullback,57.54,0.3378,11.48,11.36,11.48,11.58,time_exit,0.008710801393728262,0.8333333333333235,0.010452961672473953,1,1,1,0.99,15.95,9.36,66.44
20250526,20250527,20250527,1,000702.SZ,正虹科技,pullback,60.66,0.3367,7.18,7.06,7.18,7.06,stop_loss,-0.01671309192200554,-1.0,0.016713091922005586,0,0,0,1.26,16.51,8.39,36.84
20250526,20250527,20250603,5,600006.SH,东风股份,pullback,60.99,0.3228,7.74,7.6,7.78,8.06,time_exit,0.03598971722365052,1.5555555555555518,0.023136246786632467,1,1,1,1.64,14.57,8.18,46.25
20250526,20250527,20250527,1,603135.SH,中重科技,breakout,66.72,0.2412,11.26,10.97,11.42,10.97,stop_loss,-0.039404553415061216,-1.0,0.03940455341506124,0,0,0,3.07,18.5,12.64,57.79
20250527,20250528,20250604,5,600105.SH,永鼎股份,pullback,52.64,0.2367,8.25,8.05,8.25,8.2,time_exit,-0.0060606060606061,-0.25000000000000444,0.024242424242424156,1,1,1,1.47,22.85,12.03,71.29
20250527,20250528,20250528,1,603091.SH,众鑫股份,pullback,54.79,0.4646,53.14,51.21,53.14,51.21,stop_loss,-0.03631915694392174,-1.0,0.03631915694392171,0,0,0,1.63,22.08,11.83,65.53
20250527,20250528,20250604,5,603520.SH,司太立,pullback,55.49,0.1769,9.97,9.77,9.97,10.69,time_exit,0.07221664994984933,3.599999999999975,0.02006018054162498,1,1,1,1.06,19.69,11.44,58.85
20250528,20250529,20250530,2,000969.SZ,安泰科技,pullback,62.78,0.2799,13.14,12.91,13.14,12.91,stop_loss,-0.017503805175038134,-1.0,0.017503805175038082,1,1,0,1.49,11.7,9.51,55.25
20250528,20250529,20250529,1,601111.SH,中国国航,pullback,65.03,0.2004,8.12,8.02,8.12,8.02,stop_loss,-0.01231527093596052,-1.0,0.012315270935960548,0,0,0,0.73,11.59,9.0,57.92
20250528,20250529,20250605,5,603520.SH,司太立,pullback,55.92,0.2369,9.94,9.83,9.94,10.58,time_exit,0.06438631790744465,5.818181818181853,0.011066398390341996,1,1,1,0.81,19.12,11.21,58.07
20250529,20250530,20250530,1,600105.SH,永鼎股份,pullback,53.18,0.2706,8.73,8.61,8.84,8.61,stop_loss,-0.02601809954751133,-1.0,0.026018099547511362,0,0,0,1.39,21.01,10.87,76.17
20250529,20250530,20250603,2,605178.SH,时空科技,breakout,62.86,0.1387,19.86,18.91,20.0,18.91,stop_loss,-0.05449999999999999,-1.0,0.05449999999999999,0,0,0,4.41,15.5,13.79,55.31
20250530,20250603,20250609,5,600222.SH,太龙药业,breakout,71.01,0.5789,5.58,5.49,5.68,5.87,time_exit,0.033450704225352235,1.0000000000000047,0.033450704225352026,1,0,0,1.65,7.25,5.45,58.93
20250530,20250603,20250603,1,603896.SH,寿仙谷,breakout,61.21,0.1941,23.36,23.04,23.36,23.04,stop_loss,-0.013698630136986356,-1.0,0.013698630136986314,0,0,0,2.29,12.68,10.05,61.07
20250603,20250604,20250605,2,000599.SZ,青岛双星,breakout,77.12,0.4811,5.21,5.09,5.4,5.09,stop_loss,-0.05740740740740746,-1.0,0.0574074074074075,0,0,0,1.9,10.12,7.16,50.32
20250603,20250604,20250606,3,000777.SZ,中核科技,pullback,53.45,0.2383,19.47,18.94,19.87,18.94,stop_loss,-0.046804227478610905,-1.0,0.04680422747861095,0,0,0,1.13,20.94,12.17,58.63
20250603,20250604,20250610,5,603194.SH,中力股份,pullback,61.82,0.6121,39.8,38.83,40.18,43.04,time_exit,0.07117969138875058,2.118518518518516,0.03359880537580889,1,1,1,4.66,19.91,10.13,66.92
20250603,20250604,20250610,5,603207.SH,小方制药,pullback,62.45,0.2826,31.2,30.31,31.68,29.73,gap_stop,-0.061553030303030276,-1.423357664233575,0.043244949494949524,0,0,0,2.01,15.27,7.23,68.44
20250604,20250605,20250605,1,600721.SH,百花医药,pullback,59.22,0.2582,7.97,7.82,7.98,7.82,stop_loss,-0.020050125313283207,-1.0,0.020050125313283224,0,0,0,1.45,13.7,9.06,63.07
20250604,20250605,20250605,1,600987.SH,航民股份,breakout,70.27,0.4584,7.7,7.52,7.7,7.52,stop_loss,-0.023376623376623495,-1.0,0.023376623376623454,0,0,0,1.89,7.52,6.13,53.99
20250605,20250606,20250606,1,603211.SH,晋拓股份,breakout,70.26,0.7826,18.9,18.53,18.9,18.53,stop_loss,-0.01957671957671947,-1.0,0.019576719576719442,0,0,0,2.67,8.65,5.82,46.12
20250606,20250609,20250610,2,000888.SZ,峨眉山Ａ,pullback,64.1,0.422,14.47,14.28,14.47,14.28,stop_loss,-0.013130615065653162,-1.0,0.013130615065653163,0,0,0,1.64,15.08,7.23,49.95
20250606,20250609,20250613,5,001268.SZ,联合精密,pullback,64.91,0.5523,24.52,23.69,24.64,23.69,stop_loss,-0.03855519480519476,-1.0,0.03855519480519477,0,0,0,1.81,15.09,7.2,68.21
20250606,20250609,20250609,1,600830.SH,香溢融通,pullback,57.17,0.2678,9.61,9.55,9.63,9.55,stop_loss,-0.00830737279335414,-1.0,0.008307372793354108,0,0,0,2.06,15.12,8.52,63.94
20250606,20250609,20250610,2,603207.SH,小方制药,pullback,63.67,0.5004,30.72,30.45,30.88,29.73,gap_stop,-0.03724093264248696,-2.6744186046511613,0.013924870466321234,1,0,0,0.92,14.87,6.96,70.47
20250606,20250609,20250613,5,603906.SH,龙蟠科技,pullback,52.73,0.3094,13.73,12.93,13.73,14.2,time_exit,0.03423160961398386,0.587499999999998,0.058266569555717455,1,1,0,2.02,23.13,15.38,62.85
20250609,20250610,20250610,1,000888.SZ,峨眉山Ａ,pullback,64.19,0.2965,14.52,14.3,14.59,14.3,stop_loss,-0.019876627827278948,-1.0,0.0198766278272789,0,0,0,1.62,14.95,7.03,49.27
20250609,20250610,20250613,4,001368.SZ,通达创智,breakout,66.41,0.4386,23.3,23.1,23.3,23.1,stop_loss,-0.008583690987124415,-1.0,0.008583690987124432,1,1,1,1.23,7.55,3.96,68.57
20250609,20250610,20250616,5,600830.SH,香溢融通,pullback,61.71,0.3928,9.88,9.52,9.88,9.86,time_exit,-0.002024291497975894,-0.05555555555555912,0.036437246963562875,0,0,0,2.12,15.12,7.97,63.94
20250609,20250610,20250613,4,603099.SH,长白山,pullback,66.34,0.1791,37.06,35.79,37.08,35.79,stop_loss,-0.03478964401294493,-1.0,0.03478964401294496,0,0,0,1.8,16.29,7.55,48.64
20250609,20250610,20250613,4,603136.SH,天目湖,pullback,64.04,0.2379,12.75,12.5,12.75,12.5,stop_loss,-0.019607843137254943,-1.0,0.0196078431372549,1,0,0,1.89,12.39,6.49,45.86
20250609,20250610,20250613,4,603477.SH,巨星农牧,pullback,61.55,0.2505,22.81,22.05,22.81,22.05,stop_loss,-0.03331871985971058,-1.0,0.03331871985971057,1,0,0,1.29,16.46,9.54,54.83
20250609,20250610,20250616,5,603906.SH,龙蟠科技,pullback,51.61,0.39,13.94,13.37,13.94,14.41,time_exit,0.03371592539454804,0.8245614035087726,0.04088952654232427,1,1,1,1.67,23.45,15.65,60.77
20250610,20250611,20250613,3,000995.SZ,皇台酒业,pullback,66.07,0.5005,13.84,13.61,13.84,13.61,stop_loss,-0.016618497109826658,-1.0,0.01661849710982662,1,0,0,0.98,9.08,5.64,43.95
20250610,20250611,20250613,3,001268.SZ,联合精密,pullback,62.45,0.6709,24.49,23.93,24.59,23.93,stop_loss,-0.026840178934526282,-1.0,0.026840178934526237,0,0,0,1.77,15.09,6.72,70.78
20250610,20250611,20250613,3,001338.SZ,永顺泰,pullback,53.26,0.4286,12.61,12.45,12.61,12.45,stop_loss,-0.012688342585249868,-1.0,0.012688342585249814,1,0,0,1.4,22.79,9.99,56.14
20250610,20250611,20250611,1,600830.SH,香溢融通,pullback,58.45,0.3992,9.98,9.72,9.98,9.72,stop_loss,-0.02605210420841686,-1.0,0.02605210420841681,0,0,0,2.42,15.12,8.47,65.57
20250610,20250611,20250612,2,603083.SH,剑桥科技,pullback,54.35,0.4203,44.1,43.2,44.44,43.0,gap_stop,-0.0324032403240323,-1.1612903225806481,0.02790279027902779,0,0,0,1.11,23.35,10.94,70.13
20250610,20250611,20250611,1,603136.SH,天目湖,pullback,62.26,0.2839,12.7,12.54,12.7,12.54,stop_loss,-0.012598425196850394,-1.0,0.012598425196850406,0,0,0,1.58,12.39,6.49,45.86
20250610,20250611,20250611,1,603367.SH,辰欣药业,pullback,57.51,0.4011,15.71,15.43,15.71,15.43,stop_loss,-0.017823042647994947,-1.0,0.017823042647994978,0,0,0,2.04,16.53,9.41,49.01
20250610,20250611,20250612,2,603477.SH,巨星农牧,pullback,61.97,0.2509,22.67,22.3,22.67,22.3,stop_loss,-0.016321129245699173,-1.0,0.016321129245699204,1,1,0,0.81,18.39,9.54,54.83
20250611,20250612,20250613,2,000888.SZ,峨眉山Ａ,pullback,63.61,0.2763,14.62,14.23,14.62,14.23,stop_loss,-0.026675786593707174,-1.0,0.02667578659370717,0,0,0,1.44,14.69,7.03,49.27
20250611,20250612,20250612,1,000995.SZ,皇台酒业,pullback,64.95,0.49,13.82,13.8,13.82,13.8,stop_loss,-0.0014471780028942893,-1.0,0.001447178002894325,0,0,0,0.94,7.79,5.64,43.95
20250611,20250612,20250612,1,001268.SZ,联合精密,pullback,63.46,0.6589,24.79,24.15,24.94,24.15,stop_loss,-0.03167602245388945,-1.0,0.03167602245388944,0,0,0,1.07,15.09,6.3,71.64
20250611,20250612,20250612,1,001338.SZ,永顺泰,pullback,55.29,0.453,12.64,12.56,12.64,12.56,stop_loss,-0.006329113924050667,-1.0,0.006329113924050638,0,0,0,0.87,22.79,9.99,56.14
20250611,20250612,20250612,1,600749.SH,西藏旅游,pullback,64.77,0.3421,11.79,11.73,11.79,11.73,stop_loss,-0.0050890585241729624,-1.0,0.00508905852417292,0,0,0,1.09,7.58,5.77,56.65
20250611,20250612,20250613,2,600830.SH,香溢融通,pullback,57.61,0.4458,9.85,9.62,9.85,9.62,stop_loss,-0.023350253807106647,-1.0,0.023350253807106643,0,0,0,1.46,17.03,8.47,65.57
20250611,20250612,20250613,2,603099.SH,长白山,pullback,64.64,0.1951,37.36,36.52,37.5,36.52,stop_loss,-0.02613333333333323,-1.0,0.02613333333333325,0,0,0,1.41,17.04,7.95,50.21
20250611,20250612,20250613,2,603136.SH,天目湖,pullback,63.75,0.3319,12.7,12.52,12.7,12.52,stop_loss,-0.014173228346456623,-1.0,0.014173228346456672,1,1,0,1.24,12.39,6.49,45.86
20250611,20250612,20250612,1,603211.SH,晋拓股份,pullback,62.34,0.5944,18.78,18.54,18.78,18.54,stop_loss,-0.012779552715655007,-1.0,0.012779552715655057,0,0,0,1.01,14.07,5.12,50.89
20250611,20250612,20250613,2,603899.SH,晨光股份,pullback,58.45,0.2015,35.07,34.42,35.16,34.42,stop_loss,-0.021046643913537944,-1.0,0.021046643913537968,1,0,0,1.47,23.31,12.75,51.05
20250612,20250613,20250613,1,000409.SZ,云鼎科技,pullback,62.57,0.303,12.44,12.17,12.44,12.17,stop_loss,-0.02170418006430863,-1.0,0.02170418006430865,0,0,0,1.48,13.98,6.22,35.26
20250612,20250613,20250613,1,000970.SZ,中科三环,breakout,61.72,0.1781,12.82,12.65,12.89,12.65,stop_loss,-0.018619084561675714,-1.0,0.018619084561675735,0,0,0,3.77,16.43,10.65,39.17
20250612,20250613,20250613,1,001389.SZ,广合科技,pullback,54.86,0.1946,57.68,57.02,57.68,56.76,gap_stop,-0.015950069348127593,-1.3939393939394038,0.01144244105409148,0,0,0,2.01,21.29,13.2,51.53
20250612,20250613,20250613,1,600749.SH,西藏旅游,pullback,66.45,0.3694,11.8,11.71,11.81,11.71,stop_loss,-0.008467400508043954,-1.0,0.008467400508044001,0,0,0,0.91,7.73,5.77,56.65
20250612,20250613,20250613,1,601059.SH,信达证券,pullback,57.07,0.362,16.31,16.1,16.31,16.1,stop_loss,-0.012875536480686511,-1.0,0.01287553648068653,0,0,0,2.58,16.57,7.93,42.25
20250613,20250616,20250620,5,001389.SZ,广合科技,pullback,54.79,0.236,57.23,56.22,57.23,56.22,stop_loss,-0.017648086667831575,-1.0,0.017648086667831523,1,1,1,1.45,21.29,13.2,51.53
