signal_date,confirm_date,ts_code,signal_score,signal_grade,entry_price,ret_t1,ret_t2,ret_t3
20251231,20260105,600909.SH,70.1,A,6.86,0.10787172011661794,0.09766763848396498,0.036443148688046545
20251231,20260105,603885.SH,69.97,B,14.48,0.05386740331491713,0.046270718232044095,0.037292817679557944
20260105,20260106,600885.SH,76.24,B,31.54,-0.0069752694990488084,-0.015218769816106592,0.0025364616360177283
20260105,20260106,600312.SH,66.73,A,18.29,0.013121924548934016,0.030617823947512335,0.03827227993439042
20260105,20260106,000803.SZ,64.32,A,7.36,0.059782608695652106,0.06385869565217384,0.11277173913043459
20260106,20260107,601688.SH,75.55,B,24.41,-0.018844735764031117,-0.018844735764031117,-0.020483408439164297
20260106,20260107,000776.SZ,74.51,A,23.11,-0.03678061445261782,-0.03461704889658157,-0.017308524448290674
20260106,20260107,603379.SH,71.91,B,61.3,-0.03817292006525275,-0.034584013050570905,-0.06574225122349098
20260106,20260107,600312.SH,69.03,A,18.34,0.027808069792802703,0.03544165757906215,0.03925845147219187
20260107,20260108,600089.SH,70.05,B,23.84,0.04614093959731558,0.043624161073825496,0.14807046979865768
20260107,20260108,600312.SH,68.25,B,18.68,0.016595289079229136,0.020342612419700146,0.058886509635974305
20260107,20260108,600352.SH,63.92,A,11.17,0.009847806624887934,0.009847806624887934,0.0008952551477170445
20260108,20260109,000959.SZ,82.08,A,5.07,0.027613412228796763,0.021696252465483123,0.03155818540433919
20260108,20260109,600039.SH,71.19,B,10.21,0.023506366307541438,0.0186092066601371,-0.0009794319294810228
20260108,20260109,603499.SH,68.25,A,21.28,0.07283834586466154,0.04981203007518786,0.03054511278195471
20260109,20260112,603132.SH,70.26,A,15.38,0.020156046814044037,0.01820546163849146,0.057217165149545
20260112,20260113,000977.SZ,74.96,A,69.57,-0.00028748023573377246,-0.02069857697283306,-0.021273537444300605
20260112,20260113,603889.SH,60.75,A,8.28,0.09420289855072483,0.07487922705314021,0.07608695652173925
20260115,20260116,600487.SH,79.7,B,25.44,0.06446540880503138,0.09198113207547176,0.09944968553459099
20260116,20260119,600487.SH,78.84,A,25.44,0.09198113207547176,0.09944968553459099,0.06092767295597468
20260116,20260119,603500.SH,69.72,B,12.86,0.043545878693623585,0.0738724727838258,0.06531881804043538
20260119,20260120,001287.SZ,68.46,A,24.75,0.06101010101010118,0.05252525252525264,0.06585858585858584
20260120,20260121,603098.SH,74.02,B,14.83,0.022926500337154376,0.061362103843560334,0.06405933917734319
20260120,20260121,605111.SH,63.29,B,38.51,0.1023110880290834,0.11139963645806272,0.12204622176058177
20260121,20260122,603798.SH,69.89,B,17.38,0.06501726121979301,-0.0414269275028768,-0.09436133486766396
20260204,20260205,601872.SH,78.31,B,11.66,-0.025728987993139052,0.030874785591766596,0.05660377358490565
20260209,20260210,600163.SH,68.09,B,6.03,0.0016583747927030323,0.018242122719734466,-0.009950248756218971
20260224,20260225,600929.SH,71.98,A,6.23,0.05617977528089879,0.052969502407704594,0.052969502407704594
20260225,20260226,600929.SH,73.18,A,6.25,0.049599999999999866,0.049599999999999866,0.02400000000000002
20260226,20260227,600510.SH,65.57,A,10.01,-0.020979020979020935,-0.06593406593406592,-0.08391608391608385
