signal_date,ts_code,ret_t1,ret_t2,ret_t3
20250708,603444.SH,0.03205048495399154,0.008704302412335219,-0.014020144242725685
20250709,600113.SH,0.09505703422053235,0.07120636017974413,0.00656757690978238
20250709,600416.SH,-0.032376747608535705,-0.026490066225165476,-0.04415011037527594
20250710,603130.SH,0.06092755380418313,0.07244619581691425,0.06729311912700808
20250710,601718.SH,0.03324808184143224,0.012787723785166127,-0.017902813299232823
20250711,600698.SH,-0.02814258911819889,-0.04502814258911825,-0.06285178236397748
20250711,603538.SH,-0.036974789915966366,-0.02268907563025202,0.044117647058823595
20250714,600571.SH,-0.0793119923554706,-0.08361204013377932,-0.08265647396082176
20250714,600481.SH,-0.031746031746031744,-0.022927689594356204,0.021164021164021163
20250715,601519.SH,-0.03284671532846706,-0.029197080291970656,-0.04744525547445244
20250715,000617.SZ,-0.032608695652173836,-0.0010869565217390686,0.05869565217391304
20250716,605277.SH,0.05035080478745346,-0.0028889806025588216,-0.01733388361535293
20250717,000989.SZ,0.07850133809099002,0.09723461195361272,0.12578055307760905
20250717,603228.SH,0.07505030181086503,0.14647887323943642,0.09134808853118703
20250718,601609.SH,0.052896725440805925,0.11209068010075551,0.06045340050377823
20250718,603380.SH,-0.005253940455341555,-0.022066549912434286,0.003502626970227629
20250721,603093.SH,-0.035532994923857864,-0.05037094884810622,-0.029285435376805946
20250721,603811.SH,-0.005050505050505083,-0.012626262626262652,0.0033670033670032407
20250722,603013.SH,-0.002262443438914019,0.013574660633484115,-0.008144796380090469
20250722,605305.SH,-0.005633047210300446,-0.010997854077253288,0.0016094420600858417
20250723,000880.SZ,0.006316706599869493,0.0019603572206492448,0.013069048137660744
20250723,603308.SH,0.0,0.006259204712812938,0.0007363770250368162
20250724,601208.SH,0.07789613848202404,0.16511318242343553,0.1657789613848204
20250725,605118.SH,0.06096423017107311,0.06749611197511673,0.05754276827371707
20250725,601089.SH,-0.019312293923692936,0.07866227037211493,0.12764955252001897
