watch_date,entry_date,ts_code,name,industry,signal_score,pivot,trigger_price,stop_loss,confirm_time,entry_price,entry_bar_close,volume_ratio,vol_ma20_prev,signal_grade,position_ratio,ret_close0,ret_t1,ret_t2,ret_t3
20250805,20250806,603912.SH,佳力图,专用机械,68.39,9.55,9.57,9.28,10:50:00,9.57,9.53,1.0144672489583986,241081.21800000002,B,0.5,-0.012539184952978122,0.013584117032392706,0.03657262277951934,0.02925809822361547
20250806,20250807,000837.SZ,秦川机床,机床制造,61.48,12.58,12.61,12.21,09:55:00,12.61,13.08675392,1.073417563376821,326897.01749999996,B,0.5,0.04044409199048382,0.030927835051546504,0.03409992069785872,0.028548770816812175
20250806,20250807,603005.SH,晶方科技,半导体,64.32,29.46,29.52,28.49,10:55:00,29.52,30.32,1.0249674442686392,277890.77749999997,B,0.5,0.025406504065040636,-0.0013550135501354532,0.01592140921409202,0.03658536585365857
20250806,20250807,603270.SH,金帝股份,机械基件,76.24,27.35,27.4,26.71,14:30:00,27.4,27.25554336,1.002221421230847,45306.3555,B,0.5,0.004744525547445422,0.006934306569343018,0.007664233576642365,0.0
20250806,20250807,603660.SH,苏州科达,IT设备,65.41,7.53,7.55,7.3,10:00:00,7.55,7.82,1.0950130396694662,202289.8285,B,0.5,0.042384105960264984,0.015894039735099286,0.015894039735099286,0.01192052980132452
20250806,20250807,603662.SH,柯力传感,电器仪表,64.83,66.88,67.01,64.51,11:30:00,67.01,68.6,1.0082074373262513,81426.6955,B,0.5,0.03372630950604383,-0.0017907774958961786,0.01641546037904784,0.010296970601402666
20250806,20250807,603912.SH,佳力图,专用机械,67.63,9.55,9.57,9.27,10:25:00,9.57,9.6,1.0001332821069082,254599.06650000002,B,0.5,0.013584117032392706,0.03657262277951934,0.02925809822361547,0.07628004179728332
20250806,20250807,603915.SH,国茂股份,机械基件,73.51,15.94,15.97,15.35,14:25:00,15.97,15.75785104,1.0032197154483211,133728.4325,B,0.5,-0.0018785222291798354,-0.02254226675015658,-0.012523481527864866,-0.020037570444583652
20250808,20250811,603679.SH,华体科技,电气设备,76.14,15.88,15.91,15.41,10:35:00,15.91,16.63,1.0079238716587386,62514.64200000001,B,0.5,0.048397234443745996,0.05342551854179778,0.040854808296668654,0.019484600879949632
20250811,20250812,600499.SH,科达制造,专用机械,73.33,11.28,11.3,10.91,13:30:00,11.3,11.71,1.0059689536009455,166115.4645,B,0.5,0.03982300884955747,0.031858407079645934,0.01504424778761071,0.028318584070796238
20250811,20250812,603969.SH,银龙股份,其他建材,77.2,8.51,8.53,8.04,14:20:00,8.53,9.08,1.0062670417858135,510818.678,B,0.5,0.06799531066822984,0.07385697538100833,0.06565064478311844,0.10902696365767905
20250811,20250812,605020.SH,永和股份,化工原料,75.26,26.25,26.3,25.42,09:45:00,26.3,27.05,1.0236898876860459,50713.6005,B,0.5,0.07566539923954374,0.09201520912547512,0.05551330798479093,0.07946768060836495
20250812,20250813,000856.SZ,冀东装备,专用机械,73.39,12.29,12.31,11.82,14:10:00,12.31,12.32,1.0128955398956077,214877.0445,B,0.5,0.004874086108854536,-0.037367993501218555,-0.035743298131600376,-0.0170593013809911
20250813,20250814,603125.SH,常青科技,化工原料,67.44,17.89,17.93,17.28,10:05:00,17.93,19.16,1.0374360690426188,75573.8135,B,0.5,0.07083100948131626,0.06692693809258232,0.041829336307863896,0.025655326268823275
20250813,20250814,603278.SH,大业股份,钢加工,78.01,10.69,10.71,10.38,13:55:00,10.71,10.76,1.000238249421092,148050.727,B,0.5,-0.0018674136321196189,0.007469654528477809,0.014939309056956063,0.019607843137254832
20250813,20250814,603737.SH,三棵树,染料涂料,68.54,41.14,41.22,39.5,11:25:00,41.22,42.0455833,1.0140592167162898,47121.5085,B,0.5,0.04779233381853465,0.101892285298399,0.0786026200873362,0.06477438136826796
20250814,20250815,603713.SH,密尔克卫,仓储物流,70.53,56.47,56.58,55.04,11:25:00,56.58,59.16,1.052246061658973,17459.7945,B,0.5,0.04153411099328386,0.08342170378225511,0.07281724991162974,0.07564510427712978
20250815,20250818,000612.SZ,焦作万方,铝,78.06,9.05,9.07,8.81,14:40:00,9.07,9.08,1.0000322071996577,316652.80149999994,B,0.5,0.0022050716648289725,0.011025358324145529,0.029768467475192795,0.01764057331863289
20250815,20250818,000712.SZ,锦龙股份,证券,77.43,15.09,15.12,14.49,13:05:00,15.12,15.63,1.0171283317898974,594415.6515,B,0.5,0.017857142857143016,0.009920634920634885,0.021164021164021163,0.001322751322751392
20250815,20250818,000922.SZ,佳电股份,电气设备,78.79,12.18,12.2,11.92,14:45:00,12.2,12.39,1.0170896033597054,291270.306,B,0.5,0.024590163934426368,0.00819672131147553,0.0,-0.008196721311475419
20250815,20250818,600458.SH,时代新材,塑料,63.15,13.77,13.8,13.34,10:10:00,13.8,14.64429043,1.0858444192937267,102192.35650000001,B,0.5,0.06594202898550727,0.045652173913043326,0.09710144927536235,0.0768115942028984
20250815,20250818,603855.SH,华荣股份,专用机械,67.31,22.56,22.61,21.91,13:30:00,22.61,22.51,1.0491663206088835,77936.16549999999,B,0.5,-0.011941618752764227,0.0035382574082265528,0.009287925696594534,0.0008845643520565272
20250818,20250819,600577.SH,精达股份,电气设备,72.49,8.19,8.21,7.95,13:35:00,8.21,8.5863225,1.0047630588544598,821818.6295,B,0.5,0.05968331303288643,0.06333739342265532,0.0535931790499391,0.04750304506699132
20250818,20250819,603281.SH,江瀚新材,化工原料,68.24,25.56,25.61,24.9,14:45:00,25.61,26.94,1.0135609479236867,40397.17599999999,B,0.5,0.05154236626317843,0.05466614603670439,0.04451386177274497,0.03514252245216731
20250818,20250819,603341.SH,龙旗科技,通信设备,65.9,41.65,41.73,40.29,10:20:00,41.73,42.93,1.038383987860608,65737.724,B,0.5,0.03474718427989454,0.08219506350347472,0.09753175173735928,0.08938413611310825
20250818,20250819,603386.SH,骏亚科技,元器件,77.27,14.95,14.98,14.43,14:40:00,14.98,15.63,1.0050536548103917,157398.56199999998,B,0.5,0.05340453938584777,0.07676902536715602,0.05206942590120156,0.05073431241655535
20250819,20250820,603386.SH,骏亚科技,元器件,79.81,15.27,15.3,14.74,11:20:00,15.3,16.11,1.0052032325917644,163799.712,B,0.5,0.0542483660130717,0.030065359477124076,0.02875816993464042,0.019607843137254832
20250825,20250826,000807.SZ,云铝股份,铝,65.52,17.78,17.82,17.23,10:10:00,17.82,18.82669163,1.0434635754179027,372222.86350000004,B,0.5,0.05723905723905731,0.04938271604938271,0.04433221099887752,0.08810325476992142
